code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20232561,몸값part.2 (Bargain part.2),스릴러,장편 | 일반영화 | 스릴러 | 105분 13초 | 청소년관람불가 | 한국,2023-07-05,2022년,전우성,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_37765aa3badb4ca69bd08fc11ac9d999.jpg,"무너진 세상, 폭발하는 광기
미친 자들의 목숨을 건 거래가 시작된다!

서로의 ‘몸값’을 두고 위험한 거래를 하던 중 지진으로 무너진 건물에 갇힌 사람들.
위기를 기회로 바꾸기 위해 새로운 거래를 제안하는 ‘주영’,
구사일생으로 간신히 목숨을 구했지만 또다시 죽을 위기에 놓인 ‘형수’,
어떠한 대가를 치르고서라도 거래를 성사시키려는 ‘극렬’,

누구도 믿을 수 없는 곳,
각자 앞에 놓인 마지막 기회를 붙잡기 위해 세 사람은 위험한 거래를 시작한다."
20232560,몸값part.1 (Bargain part.1),스릴러,장편 | 일반영화 | 스릴러 | 102분 40초 | 청소년관람불가 | 한국,2023-07-05,2022년,전우성,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_93cc067f5ce44cf88d826b3421010b99.jpg,"무너진 세상, 폭발하는 광기
미친 자들의 목숨을 건 거래가 시작된다!

서로의 ‘몸값’을 두고 위험한 거래를 하던 중 지진으로 무너진 건물에 갇힌 사람들.
위기를 기회로 바꾸기 위해 새로운 거래를 제안하는 ‘주영’,
구사일생으로 간신히 목숨을 구했지만 또다시 죽을 위기에 놓인 ‘형수’,
어떠한 대가를 치르고서라도 거래를 성사시키려는 ‘극렬’,

누구도 믿을 수 없는 곳,
각자 앞에 놓인 마지막 기회를 붙잡기 위해 세 사람은 위험한 거래를 시작한다."
20232506,극장판 아름다운 그: 이터널 (My Beautiful Man ~Eternal~),멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 103분 16초 | 15세이상관람가 | 일본,2023-07-12,2023년,사카이 마이,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"“몇 번이고 너를 찾아, 몇 번이라도 너를 사랑할 거야-”

말더듬증으로 언제나 학급에서 외톨이였던 ‘히라’가 첫눈에 사랑에 빠진 것은
학교 최고의 인기인으로 군림하는, 아름다운 킹 ‘키요이’였다.

고등학교를 졸업하고 연인 사이가 된 ‘히라’와 ‘키요이’.
두 사람은 ‘히라’의 집에서 행복한 동거생활을 시작하지만,
사진작가 어시스던트로 일하는 '히라'와 배우의 길을 걷는 '키요이' 사이에
조금씩 균열이 생기기 시작하는데...

‘키요이’는 킹이자 유일한 아름다움이라고 생각하는 ‘히라’와
그런 ‘히라’와 대등한 보통의 연인이 되고 싶은 ‘키요이’.

‘구원’에서 ‘영원’이 될 두 사람의 새로운 이야기가 시작된다!"
20232491,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라 (Pinkfong Sing-Along Movie3: Catch the Gingerbread Man),애니메이션,장편 | 일반영화 | 애니메이션 | 65분 14초 | 전체관람가 | 한국,2023-07-26,2023년,변희선,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_6856a99594cd455da47364ec947f21f1.png,"“세상에서 가장 맛있는 아이스크림을 먹고 싶어!”

아기상어가 원하는 최고의 아이스크림을 위해
진저브레드맨을 잡아라!

맛있는 아이스크림을 향한 달콤바삭 추격전
핑크퐁 & 호기와 SING나게 떠나볼까?"
20193879,비공식작전 (Ransomed),드라마,장편 | 일반영화 | 드라마 | 132분 0초 | 한국,2023-08-02,2022년,김성훈,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_922937cb36314cada977e696b0ebd77d.jpg,실종된 동료를 구하기 위해 레바논으로 떠난 외교관 민준과 현지 택시기사 판수의 버디 액션 영화
20232559,젖은 백합 (When the rain falls),멜로/로맨스(1),"장편 | 일반영화 | 멜로/로맨스, 드라마 | 84분 13초 | 청소년관람불가 | 일본",해당정보없음,2022년,카네코 슈스케,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"출판사에서 근무하는 키미하라 하즈키는 떠나간 사랑에 대한 트라우마로 연애에 소극적인 태도를 보이지만 매혹적인 상사, 시오리를 동경하며 남몰래 호감을 품는다. 한편, 시오리는 같은 회사의 편집장인 남편과의 관계에서 갈등을 빚으며 힘들어 한다. 그러던 어느 날, 하즈키는 우산을 놓고 간 시오리를 뒤쫓아 가고 시오리는 그런 하즈키에게 호텔로 들어가 젖은 몸을 씻어내자고 제안한다. 그리고 두 사람은 점차 서로의 허전한 마음을 채워가는데..."
20202801,슬기로운 아내 수업 (How to Be a Good Wife),코미디(1),"장편 | 예술영화 | 코미디, 드라마 | 109분 32초 | 12세이상관람가 | 프랑스",2023-07-12,2020년,마르탱 프로보스트,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_9c69bfdf6d9a497baa207fa0e91f3076.jpg,"1960년대 프랑스,
교훈은 ‘현모양처 7계명‘, 교과목은 ‘걸레질, 요리, 바느질’로 꽉 채워진
현모양처 양성 학교의 새 학기가 밝았다.
학교의 교장인 로베르와 그의 아내 폴레트는
새로운 학생들을 ‘완벽한 주부’로 탈바꿈시키는 데 여념이 없는 와중
갑작스러운 사고로 로베르가 세상을 떠난다.

홀로 남은 폴레트는 울며 겨자 먹기로 학교 운영을 떠맡는데
엎친 데 덮친 격! 남편이 남긴 도박빚으로 파산 위기에 놓인다.

파리의 홈 페어에서 열릴 최우수 주부학교 선발식에
지역 대표로 선출된 기회를 포기할 수 없던 폴레트는
운전부터 은행 계좌 개설까지 모든 것을 처음 겪으며 홀로서기를 시작하고
새로운 세대의 소녀들과 함께 진취적으로 변모해간다."
20231455,익스트림 페스티벌 (Extreme Festival),코미디(1),"장편 | 독립영화 | 코미디, 드라마 | 93분 34초 | 12세이상관람가 | 한국",2023-06-07,2022년,김홍기,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_d69fcfd5ca884226b3939e94ef4c3634.jpg,"개최 일주일 전 갑자기 정종 문화제에서 연산군 문화제로 바뀐 망진의 지역 축제.
스타트업 대표 ‘혜수’는 축제를 무사히 진행시키기 위해 고군분투한다.
그런데! 무늬만 이사 ‘상민’은 퇴사한 직원 ‘래오’를 알바로 데려오고,
축제 당일 현지에서 뽑은 인턴 ‘은채’는 과하게 열정적이다.
설상가상…! 축제의 막이 오르기 직전
객석은 텅 비고, 초대가수는 펑크 나고, 지역 극단은 보이콧을 선언하는데…
맘대로 되는 게 하나도 없는 이 죽일 놈의 축제

그래도 축제는 계속돼야 한다! 반드시!"
20232556,슈퍼 키드 헤일리,애니메이션,장편 | 일반영화 | 애니메이션 | 76분 21초 | 전체관람가 | 노르웨이,2023-07-20,2022년,라스무스 A. 실버르센,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_336ea3484fad48398fea57896c94a0ed.jpg,"안녕? 내 이름은 헤일리, ‘슈퍼 라이언’이야!


아기 혼자 탄 유모차가 움직이고 있어요
악동 여우원숭이가 동물원을 탈출했어요
기차의 브레이크가 고장나서 멈추지 않아요

마을의 안전과 평화를 지키는 슈퍼 히어로,
‘슈퍼 라이언’의 정체는 바로 우리 가족이야.
수백 년 전부터 할머니, 아빠까지 대대로 ‘슈퍼 라이언’이 되어 마을을 지키고 있지.
이제는 내가 그 자리를 물려 받을 차례!

그런데 사촌 아드리안이 탐내고 있다고?
비록 난 운동신경도 꽝, 초능력도 꽝이지만…
내가 진짜 ‘슈퍼 라이언’이라는 걸 증명해내겠어!"
20232536,명탐정코난: 흑철의 어영 (Detective Conan The Movie: Black Iron Submarine),애니메이션,장편 | 일반영화 | 애니메이션 | 109분 35초 | 12세이상관람가 | 일본,2023-07,2023년,타치카와 유즈루,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_2ba9a479c6ff439ab7fff64a1cff61ba.jpg,"인터폴의 최첨단 정보 해양 시설인 ‘퍼시픽 부이’.
일본과 유럽의 CCTV 정보를 확인할 수 있을 뿐 아니라, 장기 수배범이나 유괴당한 피해자를 전 세계에서 찾아낼 수 있는 ‘전연령 인식’이라는 획기적인 AI 기술을 개발 중이다.

그러던 중 독일에서 검은 조직에 의해 유로폴 직원이 살해되는 사건이 발생하고 뒤를 이어 ‘전연령 인식’의 핵심 기술자가 납치된다. 나이와 상관없이 안면 인식이 가능한 기술이 검은 조직의 손에 들어가면 독약 APTX4869(아포톡신 4869) 개발 후 사망한 것으로 알려진 코드명 ‘셰리’이자 하이바라 아이도 위험하게 되는데!

코난, FBI, CIA, 공안 경찰이 합세, 하이바라 아이와 함께 전 세계를 위험에 빠지게 할 절체절명의 오션 배틀 로열이 시작된다!"
