code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20196480,A는 아구스틴의 A (A is for Agustin),다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 73분 0초 | 필리핀,해당정보없음,2019년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"""학교를 다닌 적 없어 글을 모르는 아구스틴은 늘 손해를 보고 부당한 대우를 받는다고 생각해, 초등학교라도 졸업하는 게 꿈이다.
하지만 부양할 가족과 생활고 앞에서 학업은 사치일 뿐 등교조차 버겁기만 하다. 6년째 초등학교 1학년인 만학도 아구스틴의 힘겨운 글자 깨치기."""
20215311,A형젖큰여자친구,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 70분 0초 | 청소년관람불가 | 한국,2021-01-29,2020년,판,채승하 | 민도윤,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"동정남에게는 너무나 치명적인 매력~ 한번 맛보면 멈출 수 없는 그녀의 육체에 취하다
하나뿐인 동생(태진)이 서른이 다 되어 가도록 모태솔로에 동정 딱지를 떼지 못하고 있는 상황이다. 불쌍히 여긴 친형 경진은 여자친구 민정의 도움으로 여러 여자를 집에 데려와 태진에게 소개해 주었지만 소심한 태진의 성격 때에게 그녀들과의 소개팅은 번번히 실패로 끝나고 말았다.
하지만 민정에게는 마지막 비장의 무기가 있었는데 바로 주변 친구들에게 동정 킬러이자 일명 착즙기라는 별병을 가진 선영이 기다리고 있었기 때문이다. 소심한 듯 조신하게 집에 들어오는 그녀 하지만 그녀의 섹기 넘치는 눈빛과 감출 수 없는 볼륨감에 침을 꼴깍 넘기며 자신의 방에 그녀를 들이는 태진.
역사적인 첫 경험과 함께 선영의 기술이 어우러져 하루에 15번이라는 경이로운 기록을 새우는 태진과 선영. 그들의 멈출 줄 모르는 섹스 본능에 위기감을 느낀 민정과 경진은 그 둘이 만나지 못하도록 방해를 하는데…"
20100295,A-특공대 (The A-Team),액션,장편 | 일반영화 | 액션 | 119분 0초 | 15세이상관람가 | 미국,2010-06-10,2010년,조 카나한,리암 니슨 | 퀸튼 잭슨 | 브래들리 쿠퍼 | 제시카 비엘 | 샬토 코플리 | 패트릭 윌슨,https://www.kobis.or.kr/common/mast/movie/2011/12/thumb_x192/thn_ba7fe120fd0a4e118a61add29e5113b2.jpg,"무조건 해치운다!

최고의 실력을 자랑하던 특공대가 돌연 자취를 감춘 지 1년. 누구도 해결할 수 없고, 아무도 도울 수 없는 문제들을 해결하기 위해 최고의 해결사 A-특공대가 되어 다시 돌아왔다!

비상한 두뇌 회전의 소유자 한니발의 기상천외한 작전 지휘 아래, 작업의 달인 멋쟁이의 수려한 외모와 화려한 언변으로 실마리를 풀면 두려움을 모르는 짐승 파이터 B.A가 선방을 날리고 똘끼 충만한 천재 돌+I 파일럿, 머독의 화려한 공중전이 펼쳐진다!"
20010229,A.I. (A.I.),SF(1),"장편 | 일반영화 | SF, 드라마 | 144분 0초 | 12세관람가 | 미국",2001-08-10,2001년,스티븐 스필버그,할리 조엘 오스먼트 | 주드 로 | 프란시스 오코너 | 브렌단 글리슨,https://www.kobis.or.kr/common/mast/movie/2014/03/thumb_x192/thn_56e6ebe87b0646ddb14b3aa73f3aefa0.jpg,"과학문명은 천문학적 속도로 발전하고 있지만 극지방의 해빙으로 도시들은 물에 잠기고 천연자원은 고갈되어 가던 미래의 지구. 모든 생활을 감시받고, 먹는 음식조차 통제되는 그 세계에서 인간들은 인공지능 (Artificial Intelligence)을 가진 인조인간들의 봉사를 받으며 살아간다. 정원가꾸기, 집안 일, 말 동무등 로봇이 인간을 위해 해줄수 있는 일은 무한하다. 단 한가지 '사랑'만 빼고...

로봇에게 '감정'을 주입시키는 것은 로봇공학 발전의 마지막 관문이자, 논란의 쟁점이기도 했다. 인간들은 로봇을 정교한 가재 도구로 여길 뿐, 그 이상의 것을 용납하지 않았다. 그러나 많은 부부가 자식을 가질 수 없게 되면서 인간들은 로봇에게서 가재 도구 이상의 가치를 찾게 된다.

어느날 하비 박사는 감정이 있는 로봇을 만들겠다고 선언한다. 하비 박사의 계획에 따라 로봇 회사 Cybertronics Manufacturing을 통해 감정을 가진 최초의 인조인간 데이빗이 탄생하고, 데이빗은 Cybertronics사의 한 직원, 헨리 스윈튼의 집에 입양된다.

인간을 사랑하게끔 프로그래밍된 최초의 로봇 소년 데이빗. 스윈튼 부부의 친아들 마틴은 불치병에 걸려 치료약이 개발될 때까지 냉동된 상태다. 데이빗은 그들 부부의 아들 역할을 하며 인간사회에 적응해간다. 스윈튼 부부를 부모로 여기던 데이빗은 마틴이 퇴원하면서 버려지고 만다.

엄마가 들려준 피노키오 동화를 떠올리며 진짜 인간이 되어 잃어버린 엄마의 사랑을 되찾을 수 있다고 생각하는 데이빗은 자신의 장난감이자 친구이며 보호자인 테디 베어를 데리고 여행을 떠난다. 도중에 만난 남창 로봇 지골로 조가 데이빗과 동행하고 두 사이보그는 힘겨운 여정을 거치며 수몰된 맨하탄까지 찾아가지만..."
20195761,A.I. 라이징 (A.I. Rising),SF(1),"장편 | 일반영화 | SF, 멜로/로맨스 | 82분 26초 | 세르비아",해당정보없음,2018년,라자르 보드로자,,https://www.kobis.or.kr/common/mast/movie/2019/09/thumb_x192/thn_54cca3d2499248fb80affdd061f67bb5.jpg,"고립된 우주공간...
인간이 사이보그에게 느낄 수 있는 충격적인 감정

점점 황폐화되고 있는 2148년의 지구.
인간들은 생존을 위해 자원을 사회주의적인 방법으로 통제하기 시작하고,
다국적 거대기업 에델레지는 지구 밖으로 시선을 돌려
우주 식민지 개척사업에 박차를 가한다.
이를 위해 화성탐사 경력이 있는 베테랑 우주인 밀루틴을 고용해
알파별 탐사 임무를 부여하고 밀루틴은 사이보그 니마니와 함께
알파별을 향한 긴 여정을 시작한다.
고립된 우주공간. 고독한 시간이 길어질수록
그는 여성의 모습을 한 니마니에게 묘한 감정을 가지기 시작하는데…"
20204962,A.K: 구로사와 아키라의 초상 (A.K.),다큐멘터리,"장편 | 일반영화 | 다큐멘터리 | 75분 0초 | 프랑스, 일본",해당정보없음,1985년,크리스 마르케,구로사와 아키라,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"크리스 마르케 감독이 구로사와 아키라 감독의 <란>(1985) 촬영 현장을 찾아 연출한 다큐멘터리. 감독은 촬영 현장의 풍경을 꼼꼼하게 기록하면서 구로사와 아키라 감독이 배우, 다른 스태프들과 나누는 대화를 귀기울여 듣는다. 구로사와 아키라의 촬영 현장을 생생하게 엿볼 수 있는 작품이자 크리스 마르케의 영화에 관한 접근법을 확인할 수 있는 작품."
20207305,AK-47 (Kalashnikov),전쟁(1),"장편 | 일반영화 | 전쟁, 드라마 | 104분 39초 | 러시아",해당정보없음,2020년,,유리 보리소프 | 아서 스몰랴니노프,https://www.kobis.or.kr/common/mast/movie/2020/09/thumb_x192/thn_a6a0b7d9c5874858b573717da0f4cf52.jpg,"1941년, 소련군 ‘미하일 칼라시니코프’는 제2차 세계대전에 T-34의 전차장으로 참전했다가 중상을 입게 된다.
고향으로 돌아가던 중 소련군 총기의 설계 결함으로 독일군에게 다시 한 번 죽다 살아나게 되고,
그는 독일군에 대항할 수 있는 수제 소총을 설계하기로 결심한다.
발명한 무기를 군대에서 사용하기 위해 거쳐야하는 무기경진대회 우승을 위해
소총 개발에 매진하게 되는데...

세계에서 가장 많이 사용된 무기, AK-47의 탄생 비화가 밝혀진다"
20223088,AOMG ONLINE CONCERT : Above Ordinary 2021 (AOMG ONLINE CONCERT : Above Ordinary 2021),공연,장편 | 일반영화 | 공연 | 170분 0초 | 한국,해당정보없음,2021년,김지홍,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"국내 최고의 힙합 레이블인 AOMG의 온라인 레이블 콘서트로 AOMG 대표 아티스트인 사이먼 도미닉, 로꼬, 그레이, 유겸, 우원재, 이하이가 출연합니다.
이번 공연에서만 볼 수 있는 국내 최고의 XR 콘텐츠 제작사에서 제작한 사이먼 도미닉과 유겸의 XR콘텐츠도 기대하셔도 좋습니다.
아티스트들이 처음 공개하는 다양한 무대와 아티스트들끼리의 짜릿한 콜라보레이션까지!
멋진 무대 기대해주시고 집에서도 공연장처럼 신나게 즐겨보세요~ 이 영상을 보는 바로 그 곳이 공연장입니다!"
20215807,ARKO LIVE 뮤지컬 시데레우스,뮤지컬(1),"장편 | 일반영화 | 뮤지컬, 공연 | 106분 53초 | 전체관람가 | 한국",2021-02-11,2020년,,,https://www.kobis.or.kr/common/mast/movie/2021/02/thumb_x192/thn_d0567cc1152f4ce4ad194ce9f386fda9.jpg,"태양이 지구의 주위를 돌고 있다고 믿고 있는 1598년.
수학자이자 이탈리아의 대학교수인 갈릴레오는 독일의 수학자 케플러에게 ‘우주의 신비’라는 책과 함께 우주에 대한 연구를 제안 받는다.
갈릴레오는 단번에 거절하지만 끈질긴 케플러의 설득에 그의 가설이 틀린 것을 증명하기 위한 연구를 하던 중 언급조차 금기 시 되던 지동설을 대입한다면 이 황당한 가설이 맞을 수도 있다는 답을 내리게 되는데…"
20210944,AS센터 대신맨,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 70분 0초 | 청소년관람불가 | 한국,2021-11-17,2021년,Mr.나|남욱재,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"서로 오래된 절친 사이인 ‘소진’과 ‘윤희‘는 룸메이트로 함께 살고 있다. 하지만 집에 여자만 둘이다보니 때로는 남자의 손길이 필요한 일이 많다. 형광등 교체, 막힌 싱크대 뚫기 등 별 것 아닌 것처럼 보이지만 둘이서 하기에는 너무 어렵기만 하다. 그러던 중 이런 잡일까지 모두 도와주는 <대신맨> 어플을 알게 되고 마침 싱크대가 막혀 혼자 고생 중이던 소진은 서비스를 신청한다. 곧 이어 연장 도구를 들고 강력한 남성 페로몬을 뿜으며 ‘단테’가 등장하고… 그에게 싱크대 수리 외에 특별한 옵션 서비스까지 받은 소진은 윤희와 함께 <대신맨> 어플에 중독되기 시작한다."
