code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20174323,B급 며느리 (Myeoneuri: My Son's Crazy Wife),다큐멘터리,"장편 | 예술,독립 영화 | 다큐멘터리 | 80분 10초 | 12세이상관람가 | 한국",2018-01-17,2017년,선호빈,,https://www.kobis.or.kr/common/mast/movie/2017/12/thumb_x192/thn_fa27bec77c1f4e0abd76c8f2f4a5d847.jpg,"난 정말 이상한 여자랑 결혼한 걸까?
어느 집에나 있는 이야기, 어느 집에도 없는 며느리!

대한민국 며느리들이 짊어져 온
모든 억압과 착취에 맞서겠다는 B급 며느리 ‘진영’ 덕분에
오늘도 난 엄마와 진영 사이에서 등 터진 새우 꼴이 된다.

그런데 이상하다. 사람들이 나의 불행을 좋아한다.
그래서 난 나의 불행을 팔아먹기로 했다.
나를 갈아 넣으면 멋진 다큐 하나 나오겠지?!"
20218207,B급 청춘,드라마,장편 | 독립영화 | 드라마 | 102분 46초 | 15세이상관람가 | 한국,2021-06-16,2021년,민채연,,https://www.kobis.or.kr/common/mast/movie/2021/06/thumb_x192/thn_67db29755f7d4a03b7951ff7136d66d5.jpg,"예술대 영화과 연출 전공 4학년 ‘겨레’는 하루 아침에 정성을 다해 쏟은 졸업 영화 시나리오를 전 남자친구이자 졸업한 학과 선배 ‘현수’에게 스틸 당한다.
망연자실하던 겨레는 급히 다른 시나리오로 준비하기에 이른다. 완벽하지 않은 졸업영화 팀원들이 모여 그들의 성장과 사랑을 담은 이야기다."
20207657,B급호러단편선,공포(호러),장편 | 예술영화 | 공포(호러) | 13분 28초 | 15세이상관람가 | 한국,해당정보없음,2019년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"화장실이나 엘리베이터, 숲 속이나 낚시터에서 기이한 경험을 하는 인물들을 다룬 호러 단편 옴니버스 영화"
20223722,B컷 (B Cut),범죄(2),"장편 | 일반영화 | 범죄, 액션, 스릴러 | 92분 33초 | 청소년관람불가 | 한국",2022-03-30,2022년,김진영,,https://www.kobis.or.kr/common/mast/movie/2022/03/thumb_x192/thn_aaf88f578e75471785c8b55a7543ea5f.jpg,"대선후보의 B컷을 둘러싼 충격 스캔들이 펼쳐진다!

스마트폰 수리 및 데이터 복구 업체를 운영하는 ‘승현’은 고객들의 B컷,
즉 숨기고 싶어 삭제했던 데이터까지 복구해서 협박하며 돈을 뜯어낸다.
어느 날, 한때 최고의 여배우였던 ‘민영’은 ‘승현’에게 망가진 핸드폰 수리를 맡기고,
그 폰 안에서 찾아낸 ‘민영’의 B컷에는 그의 남편이자 유력한 대통령 후보자인 ‘태산’의 충격적인 진실이 들어있는데…!

누군가에게는 살기 위해 반드시 공개해야만 하는,
누군가에게는 살기 위해 반드시 숨겨야만 하는 대선후보 스마트폰 안의 B컷이 잠금해제 된다!"
20230114,B컷 감독판 (B Cut: Director's Cut),범죄(2),"장편 | 일반영화 | 범죄, 액션, 스릴러 | 95분 16초 | 청소년관람불가 | 한국",해당정보없음,2022년,김진영,김동완(승현) | 전세현(민영) | 김병옥(태산),https://www.kobis.or.kr/common/mast/movie/2023/01/thumb_x192/thn_e1fb83541b794ed4b8ab29d662d03bea.jpg,"대선후보의 B컷을 둘러싼 충격 스캔들이 펼쳐진다!

스마트폰 수리 및 데이터 복구 업체를 운영하는 ‘승현’은 고객들의 B컷,
즉 숨기고 싶어 삭제했던 데이터까지 복구해서 협박하며 돈을 뜯어낸다.
어느 날, 한때 최고의 여배우였던 ‘민영’은 ‘승현’에게 망가진 핸드폰 수리를 맡기고,
그 폰 안에서 찾아낸 ‘민영’의 B컷에는 그의 남편이자 유력한 대통령 후보자인 ‘태산’의 충격적인 진실이 들어있는데…!

누군가에게는 살기 위해 반드시 공개해야만 하는,
누군가에게는 살기 위해 반드시 숨겨야만 하는 대선후보 스마트폰 안의 B컷이 잠금해제 된다!"
20203788,B형물많고화끈한처제,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 69분 59초 | 청소년관람불가 | 한국,2020-12-25,2020년,판,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"남자 없이는 못사는 화끈한 처제와 두 형제의 섹스 스캔들, 오늘 밤은 누구와 할까?
여느 때처럼 민수와 영희 부부의 집에서 자고 간다 말하는 민수 동생 경수. 출장으로 바쁜 영희와 일 때문에 나간 민수로 인해 혼자 집을 보던 중 갑자기 찾아온 영희의 동생 가희와 마주하게 되고 집안에 둘만 있는 어색한 상황을 무바하기 위해 맥주 한잔 하자고 제의하는 가희. 경수와 맥주를 먹던 가희가 술에 취해 어떨결에 경수와 섹스를 하게 된다. 사실 가희는 형부를 유혹하기 민수가 혼자 있을 때 찾아 온 것이다. 술에서 깬 가희는 밤에 조용히 민수의 방으로 향하는데. 과연, 민수는 가희의 유혹 참을 수 있을까?"
20216926,B형물많고화끈한처제-무삭제,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 90분 5초 | 청소년관람불가 | 한국,2021-03-17,2020년,판,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"남자 없이는 못사는 화끈한 처제와 두 형제의 섹스 스캔들, 오늘 밤은 누구와 할까?
여느 때처럼 민수와 영희 부부의 집에서 자고 간다 말하는 민수 동생 경수. 출장으로 바쁜 영희와 일 때문에 나간 민수로 인해 혼자 집을 보던 중 갑자기 찾아온 영희의 동생 가희와 마주하게 되고 집안에 둘만 있는 어색한 상황을 무바하기 위해 맥주 한잔 하자고 제의하는 가희. 경수와 맥주를 먹던 가희가 술에 취해 어떨결에 경수와 섹스를 하게 된다. 사실 가희는 형부를 유혹하기 민수가 혼자 있을 때 찾아 온 것이다. 술에서 깬 가희는 밤에 조용히 민수의 방으로 향하는데. 과연, 민수는 가희의 유혹 참을 수 있을까?"
20217144,BBC프롬스: 거슈윈 영화 음악 콘서트 (BBC Proms: The John Wilson Orchestra Performs Gershwin),공연,장편 | 일반영화 | 공연 | 118분 26초 | 전체관람가 | 독일,2021-04-01,2016년,,,https://www.kobis.or.kr/common/mast/movie/2021/03/thumb_x192/thn_626ed44142ab4a14beb1e8f3e421ab28.jpg,"대중음악 역사상 가장 위대한 작곡가로 평가받는 조지 거슈윈의 영화 음악 콘서트 실황이다. 오드리 헵번 주연의 <화니 페이스>부터 최근 리메이크되어 큰 사랑을 받은 <스타 이즈 본>의 첫 번째 리메이크작까지, 1930년대-1950년대 할리우드 전성기의 작품 중 가장 음악성 높은 영화의 삽입곡이 차례로 연주된다. 웨스트엔드 최고의 뮤지컬 스타 3인방 루이즈 디어맨, 매튜 포드, 줄리안 오벤든(다운튼 애비 출연)이 무대에 함께 오른다."
20216225,BBC프롬스: 그라치니테-틸라와 버밍엄 심포니 (BBC Proms: Mirga Grazinyte-Tyla and CBSO),공연,장편 | 일반영화 | 공연 | 91분 59초 | 전체관람가 | 독일,2021-03-02,2017년,미르가 그라치니테-틸라,,https://www.kobis.or.kr/common/mast/movie/2021/02/thumb_x192/thn_e422f9b33a6e48c2b18a62b303329b0f.jpg,"여성 최초, 버밍엄 시립 교향악단 음악 감독으로 발탁되며 클래식 음악계에 큰 화제가 된 미르가 그라치니테-틸라는 이번 공연에서 정치와 예술의 자유를 지휘한다. 폭력과 억압을 뛰어넘는 진실의 힘을 음악으로 아름답게 표현한 ‘레오노레 서곡’을 비롯한 베토벤의 걸작과 현대 작곡가 제럴드 배리의 작품이 세계 최초로 연주된다. 신고전주의 걸작으로 불리며 다층적 감성을 내포한 스트라빈스키의 유일한 바이올린 협주곡 또한 감상할 수 있다."
20215047,BBC프롬스: 아르헤리치와 바렌보임 콘서트 (BBC Proms: Martha Argerich And Daniel Barenboim),공연,장편 | 일반영화 | 공연 | 120분 11초 | 전체관람가 | 독일,2021-02-02,2016년,다니엘 바렌보임,마르타 아르헤리치,https://www.kobis.or.kr/common/mast/movie/2021/01/thumb_x192/thn_8976252c81c84cc089ef34064f5bdfec.jpg,"영국 런던의 로열 앨버트 홀에서 개최되는 세계적인 클래식 음악 축제 공연 실황이다. 세계적인 지휘자이자 피아니스트, 다니엘 바렌보임과 평화와 화합의 상징이 된 서동시집 오케스트라 그리고 전설적인 피아니스트, 마르타 아르헤리치가 함께 클래식 명작을 연주한다. 아르헤리치는 언제나처럼 강렬한 타건과 정교한 기교로 리스트의 ‘피아노 협주곡 제1번’을 연주하며 잊지 못할 음악적 경험을 선물한다. 바렌보임과 아르헤리치는 오랜 친구이자 동료로 앙코르에서 슈베르트의 ‘론도’를 완벽한 호흡으로 연주하며 관객을 매료시킨다."
