code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20210397,가가린 (Gagarine),SF,장편 | 예술영화 | SF | 97분 57초 | 12세이상관람가 | 프랑스,2022-12-22,2020년,파니 리에타르|제레미 트루일,피네건 올드필드 | 드니 라방 | 알세니 바틸리 | 리나 쿠드리,https://www.kobis.or.kr/common/mast/movie/2022/11/thumb_x192/thn_c36543e82f0b49818d87e276ea2ed806.jpg,"가가린 옥상에서 하늘을 보며 우주비행사를 꿈꾸던 10대 소년, 유리.
사랑하는 사람들과 함께 꿈을 키운 공간이었던 가가린 주택단지의 철거가 결정되고,
유리는 가가린을 지키기 위해 고군분투한다.
유리는 자신의 우상이자 우주, 그리고 집이었던 가가린 주택단지를 지켜낼 수 있을까?"
20209771,가나의 혼인잔치: 언약 (Before the Wrath),다큐멘터리(1),"장편 | 일반영화 | 다큐멘터리, 드라마 | 73분 28초 | 전체관람가 | 미국",2020-11-26,2020년,,,https://www.kobis.or.kr/common/mast/movie/2020/10/thumb_x192/thn_94de0ea812d84926afd04a95717bec5b.jpg,"우리는 소망을 잃어버렸다.
예수의 언약을 잊어버렸다.

하지만 최근 연구를 통해
숨겨둔 언약의 비밀이 드러나게 되는데…
예수는 무엇을 약속하셨는가!

역사를 통해 드러난 충격적인 비밀이
우리의 영성을 두드린다.

가장 안전하고 정확하게 언약 속 비밀을 맞이하라!"
20192817,가난한 새댁 : 몸으로 내는 월세 (HITOZUMA KASEIHU),드라마,장편 | 일반영화 | 드라마 | 63분 56초 | 청소년관람불가 | 일본,2019-06-28,2019년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"실직한 남편의 재취업이 뜻대로 이루어지지 않으면서 생활고에 시달리는 사토미는 지금 사는 집에서 언제 쫓겨날지 몰라 전전긍긍한다.
한편, 아내를 잃고 난 후 여자를 보면 환장하는 집주인 마츠오카는 사토미를 자신의 것으로 만들기 위해 호시탐탐 기회를 엿본다."
20163603,가디언즈 오브 갤럭시 VOL. 2 (Guardians of the Galaxy VOL. 2),액션(1),"장편 | 일반영화 | 액션, SF | 135분 34초 | 12세이상관람가 | 미국",2017-05-03,2017년,제임스 건,크리스 프랫 | 조 샐다나 | 데이브 바티스타 | 빈 디젤 | 브래들리 쿠퍼,https://www.kobis.or.kr/common/mast/movie/2017/03/thumb_x192/thn_6cb7abca1818435eb00284ced3946704.jpg,"지구엔 ‘어벤져스’, 우주엔 ‘가.오.갤’이 있다!

최강 빌런 ‘타노스’에 맞서 은하계를 구하고 최고의 해결사로 등극한 ‘가.오.갤’ 멤버들.
하지만 외계 여사제 ‘아이샤’가 맡긴 임무를 수행하던 중
실수로 또 다시 쫓기는 신세로 전락한다.
한편 자신에게 숨겨진 힘의 원천에 대해 고민하던 리더 ‘스타로드’는
갑작스레 나타난 아버지로 인해 또 다른 위기에 빠지게 되는데…"
20231496,가디언즈 오브 갤럭시: Volume 3 (Guardians of the Galaxy Volume 3),액션,장편 | 일반영화 | 액션 | 149분 51초 | 12세이상관람가 | 미국,2023-05-03,2023년,제임스 건,크리스 프랫 | 조 샐다나 | 데이브 바티스타 | 카렌 길런 | 폼 클레멘티에프 | 빈 디젤 | 브래들리 쿠퍼 | 윌 폴터,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_1073d2e8cca44222a3573d0c25b1c581.jpg,"‘가모라’를 잃고 슬픔에 빠져 있던 ‘피터 퀼’이 위기에 처한 은하계와 동료를 지키기 위해 다시 한번 가디언즈 팀과 힘을 모으고, 성공하지 못할 경우 그들의 마지막이 될지도 모르는 미션에 나서는 이야기"
20212930,가면-감춰진 진실 (In the Name of Confucius),다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 52분 19초 | 12세이상관람가 | 캐나다,2021-12-31,2017년,,,https://www.kobis.or.kr/common/mast/movie/2021/12/thumb_x192/thn_077dedcb837d4ee38affa5fbe3cd8ffd.jpg,"중국이 수십억 달러를 들여 설립한 ‘공자학원’이라는 중국어 학습기관의 정체를 폭로하고, 이를 둘러싸고 비등하는 국제적 논란(“학문의 진실성을 유린하고, 외세의 영향을 받으며, 인권규정을 위반할 뿐 아니라 국가 안보를 위협한다”는)을 소개한 최초의 다큐멘터리이다.
공자학원은 중국이 외국 대학 등 해외교육기관과 파트너십을 맺어서 설립하는 중국의 어학 ∙문화교육 프로그램이다. 2004년 이후, 공자학원은 그들의 방식으로 세계 1,700여 대학과 학교들에 세워졌다. 베이징은 공자학원을 중국의 “해외공작소 건립”에 중요한 일부라고 공언하며 1~2주에 1개씩 새로운 공자학원을 계속해서 설립하고 있다. 그러나 2013년 이후 공자학원과의 협약을 종결하는 학교가 늘어나고 있다."
20223799,가무악칠채 (SEVEN BEATS),공연,장편 | 일반영화 | 공연 | 71분 41초 | 전체관람가 | 한국,2022-03-17,2020년,손인영|이재화,,https://www.kobis.or.kr/common/mast/movie/2022/02/thumb_x192/thn_67dec00467bc4b19bfe6e9f35ce50250.jpg,"공연소개
젊은 ‘가‧무‧악’ 꾼들의 에너지로, ‘칠채’의 무한 변주!
국립무용단 ‘가무악칠채’
◈ 국립무용단원 이재화, 차세대 무용수를 넘어 안무가로서 가능성 증명
- 2018년 초연, 관객과 평단의 호평 받은 이재화의 안무 데뷔작
◈ 전통 장단인 ‘칠채’, 동시대 감각으로 유쾌하게 풀어내다
- 농악에 쓰여 온 빠르고 현란한 칠채 장단의 무한 변주
◈ 예술적 상상력을 끌어내는 춤, 음악, 인터랙티브 영상의 조화
- 무대 위 모든 요소를 아우르는 새로운 시도로 새로운 칠채를 탄생시키다
◈ 국내 최고의 가·무·악 ‘꾼’들이 한자리에!
- 국립무용단 무용수 7인, 실력파 연주자 7인, 소리꾼 김준수와 가객 박민희까지


국립극장(극장장 김철호) 전속단체 국립무용단(예술감독 손인영)은 오는 11월 20일(금)부터 22일(일)까지 국립무용단원 이재화 안무의 ‘가무악칠채’를 달오름극장에서 공연한다. 뛰어난 테크닉과 탁월한 리듬감을 지닌 무용수로 주목받아온 국립무용단원 이재화의 안무작으로, 농악에서 주로 쓰이는 칠채 장단을 활용해 우리 춤의 새로운 매력을 선보인다. 2018년 국립무용단 차세대 안무가 발굴 프로젝트 ‘넥스트 스텝Ⅰ’에서 30분가량으로 창작된 소품을 2배 분량으로 확장․발전시켜 같은 해 말에 국립무용단 정규 레퍼토리로 선보인 작품이다.
‘가무악칠채’는 칠채 장단의 무한한 변주를 주제로 한다. ‘칠채’는 농악 행진에 쓰이는 빠르고 현란한 장단으로, 한 장단에 징을 일곱 번 치는 데서 유래한 명칭이다. ‘가무악칠채’는 칠채를 노래·춤·연주 등을 통해 다각도로 변주함으로써 장단과 몸의 감각이 충돌하며 생기는 표현의 확장에 초점을 맞춘 작품이다. 전통 장단을 소재로 하지만 결코 무겁거나 난해하지 않다. 2018년 초연 당시, 전통 장단과 한국무용을 세련된 감각으로 풀어낸 역동적인 무대로 “록 콘서트를 능가하는 에너지가 느껴지는 작품” “한 번도 지루한 적 없이 신나고 유쾌하다” 등의 호평을 받았다.
이재화는 복잡한 변박으로 이뤄져 무용에서는 좀처럼 사용되지 않는 칠채 장단에 우리 춤사위를 얹어 ‘정중동’의 미학으로 통하는 한국무용의 틀을 깨버린다. 그는 “칠채가 과거의 장단이 아닌 현재의 리듬으로 전달되길 바란다”라며 “음악이나 무용에 대한 사전 지식 없이도 무대 위에 펼쳐지는 칠채 장단의 무한한 변주를 충분히 유쾌하게 즐기실 수 있을 것”이라고 말한다.
2년 만의 재공연을 위해 국내 최고의 가·무·악 ‘꾼’들이 한자리에 모였다. 국립무용단을 이끄는 젊은 무용수 7인과 음악감독 허성은을 필두로 한 연주자 7인, 소리꾼 김준수와 정가 가객 박민희까지 총 16명의 예술가들이 나선다. 무용수로는 초연 무대에 올랐던 송설·이재화·박혜지·이요음·황태인·조승열과 함께 국립무용단의 떠오르는 신예 최호종이 가세해 작품에 활력을 불어넣는다. 국립창극단원 김준수가 칠채 장단을 재담으로 이끌며 흥을 더하고, 새롭게 합류한 가객 박민희는 한 음절을 길게 늘어뜨려 이어가는 정가 창법을 통해 작품에 또 다른 매력을 더할 더한다. 음악감독 허성은은 해금·아쟁·태평소·장구·북·징 같은 국악기와 기타·드럼·베이스 등 서양악기를 함께 사용해 칠채를 다양한 음색으로 표현할 예정이다. 이들은 칠채에 대한 끊임없는 변형과 실험을 하며 긴장감 넘치는 공연으로 다시 관객을 만날 준비를 하고 있다.
이번 재공연에서는 무용수의 움직임에 따라 유기적으로 변화하는 인터랙티브 영상 기술을 구현할 예정으로, 칠채를 시각화하려는 새로운 연출적 시도가 기대감을 한층 끌어올린다. 이외에도 정가만의 음악 어법으로 새롭게 풀어낸 칠채 장단과 어우러지는 여성 2인무를 구성해 더욱 다채로운 흐름으로 전개될 예정이다."
20128687,가문의 영광5 - 가문의 귀환 (Return of the Mafia),코미디,장편 | 일반영화 | 코미디 | 104분 0초 | 15세이상관람가 | 한국,2012-12-19,2012년,정용기,,https://www.kobis.or.kr/common/mast/movie/2012/12/thumb_x192/thn_795436e805434609bee99fcbc3e935d3.jpg,"복덩인 줄 알았더니 재앙이었네… 쓰리제이家의 보배로운 엘리트 사위를 맞아 들인지 어언 10년…
“이젠…내쫓아야 한다!”
‘가문의 영광’을 위해 명문대 출신 엘리트 벤처 사업가 대서(정준호)를 사위로 들였던 조폭 가문 쓰리제이파.
10년 후, 가문의 고명딸 진경이 사고로 세상을 떠나자 이 일로 쓰리제이파는 천직(?)인 조폭을 청산하고 ‘장삼건설’을 차려 어엿한 기업인으로서 건실한 삶을 살게 된다.
하지만 쓰리제이파의 순수혈통 삼형제(유동근,성동일,박상욱)가 아닌 대서가 사장직을 맡게 되고, 대서가 후원하는 사랑나누리 재단의 간사 효정(김민정)과 가까워지면서 이들의 사이는 점점 금이 가게 된다. 언젠간 대서가 회사를 몽땅 뺏을지도 모른다는 불안감에 삼형제는 10년 전 진경과 대서를 결혼시키기 위해 했던 것처럼 또다시 엄청난 작당(?)을 꾸미게 된다.
10년 전 공들여 들인 엘리트 사위 대서를 다시 내쫓고 가문의 영광을 되찾기 위한 쓰리제이 삼형제의 초특급 반란이 시작된다!"
20184896,가버나움 (Capharnaum),드라마,장편 | 예술영화 | 드라마 | 126분 42초 | 15세이상관람가 | 기타,2019-01-24,2018년,나딘 라바키,자인 알 라피아 | 요르다노스 시프로우 | 보루와티프 트레저 반콜 | 나딘 라바키,https://www.kobis.or.kr/common/mast/movie/2019/01/thumb_x192/thn_9c1eb5c2636b47ccbe96722aed9b2d20.jpg,"나를 세상에 태어나게 한
""부모님을 고소하고 싶어요...""
-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터"
20060022,가부와 메이 이야기 (Stormy Night),애니메이션,장편 | 예술영화 | 애니메이션 | 107분 5초 | 전체관람가 | 일본,2005년,개봉,스기이 기사부로,나카무라 시도(가브) | 나리미야 히로키(메이),https://www.kobis.or.kr/common/mast/movie/2014/02/thumb_x192/thn_f82ba3636d0b4554a64b89713b6e2441.jpg,"어제는 음식! 오늘은 친구!?
늑대 가부와 염소 메이의 눈물 나게 군침 도는 ‘친구 되기’ 프로젝트!
어느 폭풍우 치던 밤, 오두막에 숨어있던 염소 ‘메이’는 다리를 다친 늑대 ‘가부’를 만나게 된다. 어두운 밤인데다가 코감기 때문에 서로의 정체(?)를 알 수 없던 둘은 대화를 나누면서 돈독한 정을 나누게 되고 다음 날 다시 만날 것을 약속하며 아쉬운 작별을 한다.
그리고 다음 날, 오랜만에 잘 통하는 친구를 만났다는 기쁨에 부풀어 약속장소에 나간 ‘가부’와 ‘메이’는 서로의 정체를 알게 되고 깜짝 놀라게 되는데!
시간이 지날수록 점점 더 서로에게 마음을 열게 되는 ‘가부’와 ‘메이’. 그렇지만, 늑대의 주식인 염소를 눈앞에서 보고 있어야 하는 늑대 ‘가부’는 배고픔과 우정 사이에서 괴롭기만 하다.
비밀리에 우정을 쌓아가던 어느 날! 늑대들이 염소사냥을 나서고 ‘가부’는 ‘메이’를 지켜내지만, 결국 둘의 우정이 들통나고 만다. 늑대들의 규칙에 따라 사형을 선고 받는 ‘가부’, 같은 무리로부터 추방당할 위기에 놓인 ‘메이’. 벌을 피할 수 있는 유일한 조건은 각자 서로의 정보를 빼내는 것.

친구를 배신하지 않으면 무리에서 쫓겨나거나 목숨을 잃을 절대적 위기상황!
늑대 ‘가부’와 염소 ‘메이’는 과연 그들의 우정을 지켜낼 수 있을까?"
20111774,가비 (Gabi),드라마(2),"장편 | 일반영화 | 드라마, 멜로/로맨스, 미스터리 | 115분 0초 | 15세이상관람가 | 한국",2012-03-15,2012년,장윤현,,https://www.kobis.or.kr/common/mast/movie/2012/02/thumb_x192/thn_d802d654c04e4bd980ee61d98c60bab5.jpg,"1896 고종, 들이지 말아야 할 것을 들였다!

1896년, 고종(박희순)이 러시아 공사관으로 피신(아관파천)해 대한제국을 준비하던 혼돈의 시기,
러시아 대륙에서 커피와 금괴를 훔치다 러시아군에게 쫓기게 된 일리치(주진모)와 따냐(김소연)는,
조선계 일본인 사다코(유선)의 음모로 조선으로 오게 된다.

고종의 곁에서 커피를 내리는 조선 최초의 바리스타가 된 따냐,
그녀를 지키기 위해 사카모토(주진모)란 이름으로 스파이가 된 일리치,
그들은 사다코로 인해 은밀한 고종암살작전에 휘말리게 되는데…

‘가비 작전’이 시작되면 서로 모르는 사이가 되어야만 한다!"
20208941,가슴 큰 가인,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 74분 26초 | 청소년관람불가 | 한국,2020-05-15,2020년,이동준,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"어렸을 적, 혼자 힘들게 살던 유리를 데려와 살던 지연.
가족처럼 생각하며 함께 지내고 있다.
지연이 몸이 안 좋아 일을 그만두게 되자 유리는 급한 마음에 새 알바를 시작한다.
노래방 일을 시작하면서 승환과의 관계를 정리한다.
일을 시작하고 얼마 지나지 않아 진상에게 잡혀 길에서 실랑이를 하던 중 지나가던 철민이 유리를 도와준다.
철민은 유리를 도와주고 추파를 던지다가 뺨을 맞는다.
유리 욕을 하며 철민을 지나친다.
철민 정희와 지연의 집을 가기로 이야기한다.
철민은 지연의 집으로 찾아간다.
철민 한달 동안 잘 지내자며 인사를 하다가 지연을 유혹한다.
승환은 유리를 못 잊고 찾아가려고 한다."
20205382,가슴 큰 가인 - 무삭제판,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 94분 30초 | 청소년관람불가 | 한국,2020-08-19,2020년,이동준,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"어렸을 적, 혼자 힘들게 살던 유리를 데려와 살던 지연. 가족처럼 생각하며 함께 지내고 있다.
지연 몸이 안 좋아 일을 그만두게 되지 유리 급한 마음에 새 알바를 시작한다. 노래방일을 시작하면서 승환과의 관계를 정리한다.
일을 시작하고 얼마 지나지 않아 진상에게 잡혀 길에서 실랑이를 하던 중 지나가던 철민이 유리를 도와준다.
철민은 유리를 도와주고 추파를 던지다가 뺨을 맞는다. 유리 욕을 하며 철민을 지나친다. 철민 정희와 지연의 집을 가기로 이야기한다.
철민은 지연의 집으로 찾아간다. 철민 한달동안 잘 지내자며 인사를 하다가 지연을 유혹한다. 승환은 유리를 못 잊고 찾아가려고 한다."
20210582,가슴 큰 그녀:질펀한 마사지,멜로/로맨스(1),"장편 | 일반영화 | 멜로/로맨스, 드라마 | 63분 42초 | 청소년관람불가 | 일본",2021-09-20,2020년,버드맨 텟페이,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,나는 마사지사다. 자주 어울리는 후배의 와이프는 L컵이다. 이 엄청난 거유를 꼭 한번 만져보고 싶다는 생각에 후배 부부에게 공짜로 마사지를 시술하기로 했다. 그러던 어느 날 후배의 와이프가 편의점에서 물건을 훔치는 모습을 목격하고 말았다. 이를 빌미로 그녀의 가슴을 만질 묘수를 생각해내게 되는데…
20209465,가슴 큰 뒷집소녀,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 청소년관람불가 | 한국,2020-05-27,2020년,이동준,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"동네 친구인 득찬과 철수 두 남자의 진한 우정 사이에 뒷집에 사는 미영이라는 여자가 들어온다.
미영은 평상시에는 너무나 무뚝뚝하고 차가운 성격이지만 침대에서만큼은 그 어떤 여자보다도 정열적이다.
그런 그녀에게 사랑으로 다가서는 득찬과 여전히 섹스 파트너로 남기를 바라는 철수
한편 미영을 사랑하게 된 득찬에게는 오래된 섹스 파트너 희진이 있었는데 득찬의 친구 철수는 희진에게 관심을 보이고....
누구에게도 사랑을 줄 여력이 없는 희진은 그런 철수를 안타까워하기만 한다.
아찔하고 달콤한 두 청춘 남녀의 러브스토리가 이제 막 시작된다."
20208591,가슴 큰 새 누나,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 64분 15초 | 청소년관람불가 | 한국,2020-04-29,2020년,이동준,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"오랜만의 휴가에 집으로 내려온 철수. 동네를 둘러보다가 민정과 마주친다. 철수의 첫사랑이었던 동네누나 민정. 마침 혼술을 하려던 민정과 함께 술을 마시게 된 철수.
술을 마시던 두 사람은 민정의 집에서 정사를 한다. 집으로 돌아가던 철수는 민정과 함께 친하던 영훈을 만나게 된다. 영훈은 자신이 좋아하는 유리와 데이트를 하던 중. 오랜만에 철수를 보고 신나서 유리를 소개한다. 하지만 영훈에게 관심이 없던 유리는 철수를 보고 호감을 느낀다. 영훈과 2차를 하는 철수.술을 마시다 민정과 있었던 일에 대해 이야기하자 놀란 영훈. 영훈은 바로 민정을 찾아간다. 영훈도 옛날에 민정을 좋아했고 여러번 퇴짜를 맞았다. 술을 먹고 민정에게 따지러 온다. 민정은 취한 영훈을 한심하게 생각하다가 영훈에게 진짜 사랑을 가르쳐 준다."
