code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20231775,노트르담 온 파이어 (Notre-Dame on Fire),드라마,장편 | 일반영화 | 드라마 | 109분 50초 | 12세이상관람가 | 프랑스,2023-06-29,2022년,장 자끄 아노,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_078e95298d5d44b482726d153d4380c9.jpg,"2019년 4월 15일, 노트르담 대성당의 목재 지붕에서
믿을 수 없는 화재가 발생한다.

860년 역사가 살아 숨 쉬는 건물과
가시면류관, 성 십자가, 십자가 못 등 귀중한 성유물이
모두 한 줌의 재가 될 수도 있는 상황.

신고를 받은 파리 소방대가 다급하게 출동하지만
복잡한 파리 시내를 뚫고 성당 앞에 도달하는 일조차 쉽지 않은데…

화염으로 뒤덮인 '파리의 심장'을 지키기 위해
모든 걸 바친 영웅들의 뜨거운 이야기가 생생하게 살아난다!"
20239958,낭만 캠퍼스 (Romance campus),드라마,장편 | 독립영화 | 드라마 | 90분 1초 | 15세이상관람가 | 한국,해당정보없음,2022년,박동기,신민재(민재) | 송보은(미오) | 이경욱(경욱),https://www.kobis.or.kr/common/mast/movie/2023/01/thumb_x192/thn_95f000dff6a249e9a30476c2b9fd57ff.jpg,일상에 지친 배우 민재가 고향친구이자 동료 배우인 경욱과 함께 이제는 연고도 없는 고향 남원으로 훌쩍 떠난다. 쇠락한 남원에서 어릴 적 기억을 떠올리며 추억여행을 하던 민재와 경욱은 남원의 한 식당에서 우연히 대학시절 경욱의 여자 친구 였던 미오를 만나게 된다. 미오와 그녀의 직장상사와 술자리를 가지게 된 민재와 경욱은 민재의 여자 친구 였던 유진을 만나러 내일 남해로 간다는 미오의 이야기를 듣고는 미오를 쫓아 그 들이 대학시절을 보낸 경남 남해로 떠난다. 이십여년 만에 다시 만난 민재와 경욱 그리고 미오와 유진은 남해에서 술자리를 가지게 되고 그 동안 숨겨 왔던 민재의 첫사랑의 정체가 드러나게 되는데...
20232516,너를 줍다 (Flower of Mold),기타,장편 | 일반영화 | 기타 | 103분 0초 | 한국,해당정보없음,2022년,심혜정,김재경 | 현우,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"사랑에 배신당한 지수는 사람의 외면보다 그에게서 버려진 쓰레기가 진실에 가깝다고 믿는다. 그녀는 밤마다 타인의 쓰레기를 뒤져 정보를 수집한다. 어느 날, 수집한 옆집 남자의 쓰레기에서 남다른 품위가 느껴진다. 그녀는 그에게 접근하기 시작한다."
20130581,나비 사냥 (Chasing Butterflies),드라마,"장편 | 일반영화 | 드라마 | 115분 0초 | 프랑스, 독일, 이탈리아",해당정보없음,1992년,오타르 이오셀리아니,나르다 블란쳇,https://www.kobis.or.kr/common/mast/movie/2013/07/thumb_x192/thn_30da56e61c364169a72ba2e033d5ba8e.jpg,"프랑스 교외의 낡은 성의 주인인 마리 아네스는 그녀의 사촌과 한가로운 여생을 즐긴다. 그런데 마을의 이웃과 그녀의 친족들이 성을 매각하려 하면서 평화로운 마을이 들썩이기 시작한다. 인간관계를 뒤바꿔버리는 자본의 힘과 예측할 수 없는 삶의 신비가 풍요롭게 그려진 작품으로, 감독 특유의 귀족적인 무정부적 개성이 시니컬하게 표현됐다.(2013시네바캉스서울)"
20232503,낙엽 (Falling Leaves),드라마,장편 | 일반영화 | 드라마 | 100분 0초 | 러시아,해당정보없음,1966년,오타르 이오셀리아니,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,순수한 이상을 쫓는 청년 니코는 오래된 와이너리에 취직한다. 이곳에서 일하는 동안 니코는 사회의 부조리와 정면으로 마주하며 좌절을 겪는다.
20232094,나비효과 (butterfly effect),코미디(2),"장편 | 일반영화 | 코미디, 드라마, 멜로/로맨스 | 94분 11초 | 12세이상관람가 | 한국",2023-06-22,2022년,민준기|전원창,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_73d403d9ba6645aca37bb3e8192246bd.jpg,"노래면 노래, 춤이면 춤!
못 하는 게 없는 밴드 ‘나비효과’의 보컬 ‘주연’(홍수아)

현실에 치여 음악을 그만 둔 그녀 앞에,
별안간 아버지의 시한부 선고가 쿵! 떨어진다

시한부 아버지의 마지막 소원은 바로,
죽기 전에 ‘주연’의 모습을 TV에서 보는 것!

‘주연’은 아버지의 마지막 소원을 들어드리기 위해,
천재 기타리스트이자 친구인 ‘승기’(윤성모)와 함께
다시 무대에 서기로 결정하는데…

빽 없음, 열정 있음!
인디밴드 ‘나비효과’의 성공을 향한 도전이 시작된다!"
20239611,"너의 눈을 들여다보면 (Small, Slow but Steady)",드라마,장편 | 예술영화 | 드라마 | 99분 39초 | 전체관람가 | 프랑스,2023-06-14,2021년,미야케 쇼,키시이 유키노(케이코) | 미우라 토모카즈(체육관 회장) | 미우라 마사키(마코토),https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_b9071c566910451b8713df283eab61f7.jpg,"선천적 청각장애로 양쪽 귀가 들리지 않는 프로 복서 케이코.
재개발이 진행되고 있는 도쿄 도심의 작은 복싱 체육관에서 훈련을 거듭하며 다음 시합을 준비한다.

끊이지 않는 고민과 말로 표현할 수 없는 생각들이 마음에 쌓여만 가고,
체육관 회장에게 당분간 쉬고 싶다는 편지를 썼지만 끝내 보낼 수 없다.

그러던 어느 날, 케이코는 체육관이 문을 닫는다는 소식을 듣는다."
20232265,내일은 일본 맑음 (Tomorrow There Will Be Fine Weather),드라마,장편 | 일반영화 | 드라마 | 65분 0초 | 일본,해당정보없음,1948년,시미즈 히로시,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,언덕을 힘겹게 오르는 어느 낡은 버스. 이 버스 안에는 다양한 사연을 가진 사람들이 타고 있다.
20232264,노부코 (NOBUKO),드라마,장편 | 일반영화 | 드라마 | 90분 0초 | 일본,해당정보없음,1940년,시미즈 히로시,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,큐슈 출신의 코미야마 노부코는 신임 여학교 교사로서 큐슈에서 상경해 게이샤의 외양간을 하고 있는 친척 오가씨의 집에서 하숙한다.
20231641,나의 사소한 슬픔 (All My Puny Sorrows),드라마,장편 | 예술영화 | 드라마 | 102분 51초 | 15세이상관람가 | 캐나다,2023-06-14,2021년,마이클 맥고완,알리슨 필 | 메어 위닝햄,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_c1143f15183d463996fefaadc9a28b2f.jpg,"인류 역사상 가장 당연한 사실 ‘우리 모두는 죽는다’
“그런데 왜 다들 죽으려고 난리지?”

언니가 ‘자살시도’를 했다는 엄마의 전화를 받았다.
작가라면서 글 한 줄 쓰는 것도 힘겹고, 이혼 위기로 엉망진창인 동생도 이렇게 잘 살고 있는데…
다정한 남편에 해외순회 공연까지 다니는 잘 나가는 피아니스트인 자기가 도대체 왜?
아빠처럼 그렇게, ‘똑같이’ 죽고 싶었던 거야?
그러고도 정신 못 차리고 엄마, 형부 몰래 ‘스위스’로 데려다 달라고?

언니는 왜 죽고 싶은 걸까? 자살할 사람은 정해져 있는 걸까?
언니는 자기가 가장 좋아하는 시처럼,
‘나의 사소한 슬픔’을 그 누구에게도, 나에게조차 토해낼 수 없었던 걸까?"
