code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20226500,달짝지근해: 7510,코미디,장편 | 일반영화 | 코미디 | 한국,2023,2022년,이한,유해진 | 김희선 | 차인표 | 진선규 | 한선화 | 정다은,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,중독적인 맛을 개발해온 천재적인 제과회사 연구원 치호(유해진)가 무엇이든 긍정적으로 생각하는 대출심사 회사 콜센터 직원 일영(김희선)을 만나게 되면서 달짝지근한 변화를 겪게 되는 이야기
20218935,더 문 (The Moon),SF(2),"장편 | 일반영화 | SF, 액션, 드라마 | 한국",2023-08-02,2021년,김용화,설경구 | 도경수 | 김희애,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_d27bf18b0c8041dc9cec6baf51bed923.jpg,사고로 인해 홀로 달에 고립된 우주 대원 선우와 필사적으로 그를 구하려는 전 우주센터장 재국의 사투를 그린 영화
2023C924,돌이킬 수 없는 주말 (One Fatal Weekend),공포(호러)(2),"온라인전용 | 일반영화 | 공포(호러), 드라마, 미스터리 | 89분 11초 | 영국",해당정보없음,2015년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_8ce4b37d287e4e148eabcf58eb1d0d26.jpg,"결혼을 앞두고 친구 수잔과 다트무어의 초원으로 주말 여행을 온 베키. 미스터리한 현지인 남자 크리스를 만나 그의 농장에서 하룻밤을 묵게 되는데, 은근히 느껴지는 기시감. 과거 크리스의 농장에서 일어났던 끔찍한 일에 자신이 연루되어 있다는 추측을 한 베키는 미스터리를 파헤치기 시작하고, 결국은 어두운 진실을 마주한다. 과연 농장에서는 무슨 일이 있었을까?"
2023C882,더 오퍼링 (The Offering),공포(호러),온라인전용 | 일반영화 | 공포(호러) | 93분 15초 | 미국,해당정보없음,2022년,올리버 팍,폴 케이 | 앨런 코더너,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_cfe22f0c78c04cbfb628ab2c47e64290.jpg,"‘아서’는 아내 ‘클레어’의 출산을 앞두고 하시딕 유대인이자 영안실을 운영하는 아버지를 찾아간다.
저녁 식사를 하던 중 자살한 주술사의 시체가 들어오고, 아서는 아버지를 도와 부검을 준비한다.
그런데 실수로 시체의 목에 걸려있는 펜던트를 깨뜨리게 되고 주술사의 몸에 봉인되어 있는 절대적 존재가 깨어나게 되는데…

감히 대적하거나 거부 할 수 없는 초월적 공포가 서서히 다가온다!"
20232236,더 썬 (The Son),드라마,장편 | 일반영화 | 드라마 | 121분 59초 | 15세이상관람가 | 영국,2023-07-19,2022년,플로리안 젤러,휴 잭맨 | 로라 던 | 바네사 커비 | 젠 맥그라스(니콜라스) | 안소니 홉킨스(안소니),https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_22d81e5ca14b4d2c9abf56e98b98d2da.jpg,"“그 무엇보다 좋은 아버지가 되고 싶었어…”

성공한 변호사로 뉴욕에서 행복한 새 가정을 이룬 피터는
어느 날, 전처에게 아들 니콜라스가 학교를 나가지 않는다는 소식을 듣는다.
좋은 아버지가 되고 싶었던 피터는 아들을 집으로 데려오지만
애를 쓸수록 두 사람의 사이는 어긋나기만 하는데…"
20225825,다섯 번째 흉추 (The Fifth Thoracic Vertebra),드라마(1),"장편 | 예술,독립 영화 | 드라마, 스릴러 | 64분 41초 | 15세이상관람가 | 한국",2023-08,2022년,박세영,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_a6a899cc258e4a77840041114ebb8913.jpg,"""너의 증오가 날 꽃피웠어""

헤어진 연인의 매트리스에서 피어나
사랑과 슬픔을 먹고 자란 곰팡이 꽃
인간의 척추뼈를 탐하며 생명체가 되는데...

이상하고 아름다운 스트레인저
<다섯 번째 흉추>"
20212364,또 바람이 분다 (Again the Wind Blows),다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 96분 3초 | 한국,해당정보없음,2019년,주로미|김태일,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"민중의 세계사를 기획한 상구네는 10년간 여러 나라를 돌며 작업을 해왔다. 광주의 5월 항쟁, 캄보디아 소수부족인 부농족의 삶, 이스라엘 점령하에 살아가는 서안지구 사람들의 이야기를 담고, 네 번째 작업을 시작했다. 내전의 아픔을 겪은 보스니아의 집시에 관한 작업이었다. 1차 촬영을 마친 후 2차 촬영을 준비하던 중 예기치 않은 상황을 맞게 된다. 코로나19로 세상은 멈췄고 상구네의 네 번째 작업도 멈췄다. 봉쇄의 시간은 기약 없이 길어졌다. 멈췄을 때 매 작품마다 주인공의 곁을 지켜왔던 여성들의 삶이 보였다.
<또 바람이 분다>는 5월 항쟁 기간 주먹밥을 만들어 주었던 아주머니, 고단한 노동을 감내하며 살아가는 부농족 여성, 점령하에도 삶을 멈추지 않았던 팔레스타인의 어머니들, 그리고 정착했지만 떠나고 싶어 하는 집시 여성들과 함께 어린아이에서 20대 청년이 된 감독의 두 아이는 영화 속에서 성장의 모습을 보인다. 그들과 상구네는 어딘가 닮은 듯 교차된다."
20130567,달의 애인들 (Favorites of the Moon),드라마(1),"장편 | 일반영화 | 드라마, 범죄 | 101분 0초 | 프랑스, 이탈리아, 소련",해당정보없음,1984년,오타르 이오셀리아니,카티아 루프 | 알릭스 드 몬타이거,https://www.kobis.or.kr/common/mast/movie/2013/07/thumb_x192/thn_1c3d0c7abb154d709f94e3b9801da12b.jpg,"파리의 아침. 택시를 타려는 사람들, 어딘가로 바삐 이동하는 사람들로 분주한 거리는 생명력이 넘친다. 여자의 누드를 그리는 화가, 시골에서 만들어져 도시로 팔려 나간 접시. 누드 그림이 전시된 전시장에는 그 접시가 놓여 있다. 아내와 다툰 남편, 또 다른 남자를 만나는 아내. 남편 또한 아내가 아닌 다른 여자를 만난다."
20232095,디어 마이 러브 (My Sailor My Love),멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 103분 8초 | 전체관람가 | 기타,2023-07-12,2022년,클라우스 해로,제임스 코스모,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_1ee72b548e5d41b4853d1cf116ea33e7.jpg,"아일랜드의 바닷가 마을,
딸 ‘그레이스’가 소개한 가사도우미 ‘애니’에게 사랑의 감정을 느낀 ‘하워드’
두 사람은 삶도 사랑도 처음인 것처럼 서로에게 빠져든다.
하지만 둘의 관계를 인정할 수 없는 딸 ‘그레이스’는 ‘애니’에게 아버지를 떠나 달라 부탁하는데..."
20232134,돌핀 (Dolphin),기타,장편 | 일반영화 | 기타 | 90분 0초 | 한국,해당정보없음,2022년,배두리,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,작은 바닷가 마을에서 평생을 살아온 나영에게 가장 중요한 것은 가족과 마을 사람들을 챙기는 일이다. 그런데 엄마는 추억이 깃든 소중한 집을 팔려고 하고 남동생은 서울에 가겠다고 고집을 부린다. 변화를 받아들이기 어려워 혼란을 겪는 동안 우연히 나영에게 찾아온 볼링. 나영은 점점 볼링장에서 많은 시간을 보내기 시작한다.
20232135,똥통 (Shit Can),기타,장편 | 일반영화 | 기타 | 104분 0초 | 한국,해당정보없음,2023년,장권호,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"'똥통'에서 공연을 한다는 문자를 '한주'에게서 받고 강화도로 온 두 남자. '작가'를 만나기 위해 강화도로 온 두 여자, 예술인으로 살았던 옛 기억을 잡고 '하루'를 버티는 이들과 미래에 대한 불안감으로 '하루'를 버티는 이들의 행로가 '하루'가 언제인지 모를 시간과 공간 속에서 교차한다."
