code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20201982,라 보엠 (La Boheme),공연(2),"장편 | 일반영화 | 공연, 드라마, 멜로/로맨스 | 129분 13초 | 전체관람가 | 독일",2020-11-29,2012년,,안나 네트렙코 | 표트르 베찰라,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"파리의 라틴 지구 다락방에서 시인 로돌포와 그의 예술가 친구들은 가난하지만 즐겁게 살아간다. 그러던 어느 크리스마스 이브, 로돌포는 촛불을 빌리러 온 이웃집 미미와 우연히 만나 한눈에 사랑에 빠지고 마르첼로는 옛 연인이었던 무제타와 재회한다. 그러던 중 미미의 폐병 증상이 점점 악화되고 서로에게 해줄 수 있는 것이 없어 괴로워하던 미미와 로돌포는 결국 헤어지게 된다."
19808057,라 붐 (La Boum),드라마(2),"장편 | 예술영화 | 드라마, 멜로/로맨스, 코미디 | 109분 10초 | 15세이상관람가 | 프랑스",2013-10-24,1980년,클로드 피노토,"소피 마르소(빅 ) | 클로드 브라세(빅의 아빠, 프랑소와) | 브리지트 포세이(빅의 엄마, 프랑소와르 )",https://www.kobis.or.kr/common/mast/movie/2020/05/thumb_x192/thn_47e9697af4b145e8bbecceb4a2f22752.jpg,"13살 소녀, 낭만의 도시 파리에 오다!
파리로 전학 온 첫 날, 13살 소녀 빅(소피 마르소 분)은 새로운 친구들을 사귀며 즐거운 학교생활을 시작한다. 이제 막 이성에 눈을 뜨기 시작한 소녀들. 잘생긴 학교 선생님부터 학교 인기짱 남학생까지 그들의 이야기만으로도 시간가는 줄을 모른다.

13살 소녀, 첫사랑을 만나다!
어느 날 친구들의 초대로 가게 된 파티에서 잘생긴 친구 마튜(알렉산드르 스텔링 분)를 만나게 된다. 첫눈에 반한 그녀. 마튜는 디스코에 빠져있는 친구들 틈에서 빅에게 헤드폰을 씌워주며 둘만의 로맨틱한 시간을 만든다.

13살 그녀, 사랑이 어렵다!
사랑이 어려운 13살 소녀 빅, 그녀는 고민 끝에 친구처럼 지내는 할머니 푸펫트(故 데니즈 그레이 분)에게 사실을 고백하고 연애코치를 받는다. 첫사랑 그와의 짜릿한 밤을 위해 할머니와 작전을 짜고 드디어 감행하기에 이르는 데…

빛나고 아름다웠던 시절, 모든 것이 서툴지만 행복했던 이들의 사랑 이야기가 지금 시작된다."
20070522,라 비 앙 로즈 (La Vie En Rose),드라마,"장편 | 예술영화 | 드라마 | 140분 2초 | 12세이상관람가 | 프랑스, 영국, 체코",2007년,개봉,올리비에 다한,마리옹 꼬띠아르(에디트 피아프) | 장 피에르 마틴(마르셀 세르당),https://www.kobis.or.kr/common/mast/movie/2022/11/thumb_x192/thn_0957be708c6747df8e1edb1dbb473467.jpg,"1915년 12월 19일, 프랑스의 한 빈민가에서 태어난 '작은 참새' 에디트 피아프.
불우한 만큼 처절했던 과거 기억을 오직 노래, 하나로 견딘 그녀의
개화부터 '장밋빛 인생'이 지는 마지막 순간까지를 담아낸 '사랑의 찬가'."
20185327,라 파미에 (Lola and Her Brothers),드라마(1),"장편 | 예술영화 | 드라마, 코미디 | 104분 48초 | 12세이상관람가 | 프랑스",2019-12-12,2018년,장-폴 루브,루디빈 사니에(로라) | 장-폴 루브(브누아) | 호세 가르시아(피에르) | 람지 베디아,https://www.kobis.or.kr/common/mast/movie/2019/11/thumb_x192/thn_8ad390e5d1a14fe4a8ccda3f5a3ae498.jpg,"결혼만 세번째! 사랑 앞에 답정너 로맨티스트 첫째 피에르,
나의 실직은 절대 비밀! 자존심만은 하늘만큼 높은 둘째 브누아,
오빠들의 철없음을 받아주느라 누구보다 철든 막내 롤라.

롤라가 평생을 함께 하고 싶은 사랑을 만난 기쁨도 잠시,
그녀 인생 최고의 시련이 찾아 오는데..."
20060284,라디오 스타 (Radio Star),드라마,장편 | 일반영화 | 드라마 | 115분 0초 | 12세관람가 | 한국,2006-09-28,2006년,이준익,,https://www.kobis.or.kr/upload/up_img/cleansing/x00/03/12/thumb_x192/thn_mov_20060284_42750.jpg,"잠잠했던 88년도 가수왕 최곤. 매니저 속도 모르고 또 사고 치다. 명곡 '비와 당신'으로 88년 가수 왕을 차지했던 최곤은 그 후 대마초 사건, 폭행사건 등에 연루돼 이제는 불륜커플을 상대로 미사리 까페촌에서 기타를 튕기고 있는 신세지만, 아직도 자신이 스타라고 굳게 믿고 있다. 조용하나 싶더니 까페 손님과 시비가 붙은 최곤은 급기야 유치장 신세까지 지게 되는데…일편단심 매니저 박민수는 합의금을 찾아 다니던 중 지인인 방송국 국장을 만나고, 최곤이 영월에서 DJ를 하면 합의금을 내준다는 약속을 받아낸다. 라디오 DJ로 컴백한 철없는 락스타의 겁없는 방송이 시작된다. 프로그램 명 '최곤의 오후의 희망곡' 하지만 DJ자리를 우습게 여기는 최곤은 선곡 무시는 기본, 막무가내 방송도 모자라 부스 안으로 커피까지 배달시킨다. 피디와 지국장마저 두 손 두발 다 들게 만드는 방송이 계속되던 어느 날, 최곤은 커피 배달 온 청록 다방 김양을 즉석 게스트로 등장시키고 그녀의 사연이 많은 이들의 심금을 울리며 방송은 점차 주민들의 호응을 얻는다. 그러나 성공에는 또 다른 대가가 있는 법… 서로 눈빛만 보아도 알 것 같은 두 남자 때문에, 오늘 전국이 울고 웃는다."
20206447,라라걸 (Ride Like a Girl),드라마,장편 | 예술영화 | 드라마 | 98분 11초 | 전체관람가 | 호주,2020-04-15,2019년,레이첼 그리피스,테레사 팔머 | 샘 닐 | 설리반 스탭플턴,https://www.kobis.or.kr/common/mast/movie/2020/03/thumb_x192/thn_177704be31f04bfdb689a3ce9c4b9b05.jpg,"""승리의 신은 모두에게 평등해!""
3200번 출전 · 16번 골절 · 7번 낙마
1등 가능성은 단 1%?

155년 역사상 여성 참가자는 단 4명뿐이었던 세상에서 가장 위험하고 거친 레이스 '멜버른 컵'
집보다 마구간이 편한 '말 덕후'이자 10남매 패밀리의 막내 '미셸'의 꿈은
여성 최초로 그 결승선을 통과하는 것이다.

스파르타 선생님인 아빠 '패디'가 알려준 우승의 비결은
누구보다 강하고 빠르게!...가 아닌 기적의 틈을 찾을 때까지 자신만의 질주를 하는 것!!

투지로 달리고 열정으로 버티며 인내심으로 질주하는
칠전팔기 승부사 '미셸'의 위대한 레이스가 시작된다!"
20167904,라라랜드 (LA LA LAND),드라마(2),"장편 | 일반영화 | 드라마, 뮤지컬, 멜로/로맨스 | 127분 53초 | 12세이상관람가 | 미국",2016년,개봉,데이미언 셔젤,,https://www.kobis.or.kr/common/mast/movie/2020/12/thumb_x192/thn_e4f13fe70955417ba72f1e5000e50ccb.jpg,"황홀한 사랑, 순수한 희망, 격렬한 열정…
이 곳에서 모든 감정이 폭발한다!

꿈을 꾸는 사람들을 위한 별들의 도시 ‘라라랜드’.
재즈 피아니스트 ‘세바스찬’(라이언 고슬링)과 배우 지망생 ‘미아’(엠마 스톤),
인생에서 가장 빛나는 순간 만난 두 사람은
미완성인 서로의 무대를 만들어가기 시작한다."
20191842,라라와 움직이는 비밀의 숲 (Yugo & Lala 4),애니메이션,장편 | 일반영화 | 애니메이션 | 74분 17초 | 전체관람가 | 중국,2019-08-22,2018년,왕운비,,https://www.kobis.or.kr/common/mast/movie/2019/06/thumb_x192/thn_e2d7ab9b84944118aa781ba1935b60d2.jpg,"올 여름, 가장 아름답고 신비로운
숲 속 어드벤처가 시작된다!

사라진 엄마를 찾기 위해 반짝반짝 구름고래를 타고 비밀의 숲으로 떠난
마법 라이거 ‘라라’와 말괄량이 소녀 ‘유고’.
하지만 수상한 길잡이 펭귄 아저씨는 사악한 용이
비밀의 숲을 지키는 신의 힘을 빼앗으려 한다는 사실을 알려준다.
‘라라’와 ‘유고’는 엉뚱미 폭발 ‘곰 오빠’, 매력만점 ‘판다 언니’와 함께
마법의 힘으로 가득 찬 비밀의 숲 속으로 기상천외한 모험을 떠나기로 결심하는데..

과연 ‘라라’와 ‘유고’는 힘을 합쳐 사악한 용의 비밀을 풀고
위험에 빠진 비밀의 숲을 구할 수 있을까?"
20212217,라라와 크리스마스 요정 (Christmas at Cattle Hill),애니메이션(2),"장편 | 예술영화 | 애니메이션, 가족, 어드벤처 | 68분 35초 | 전체관람가 | 노르웨이",2021-12-15,2020년,,,https://www.kobis.or.kr/common/mast/movie/2021/12/thumb_x192/thn_1523b4ecbee64801962d706b0427506b.jpg,"전 크리스마스가 참 좋아요.
이번 크리스마스는 아빠와 함께 캐틀힐 농장에서 보내게 돼서 더 신나요.
하지만 막상 농장에 와보니 크리스마스 트리 하나 없이 썰렁 그 자체 ㅜㅜ

아빠를 위한 깜짝 선물로 직접 크리스마스 장식을 해보기로 결심했어요!
트리도 구해 와야 하고 지붕에 전구도 매달아야 하는데
요정에게 도움을 청해 봐야겠어요.

매년 크리스마스에 요정에게 오트밀을 준다는 얘기를 들었는데
맛있는 오트밀을 만들어주면 도와주지 않을까요?"
20197801,라라의 신비한 모험 (Cattle Hill),애니메이션,장편 | 예술영화 | 애니메이션 | 66분 15초 | 전체관람가 | 기타,2021-03-18,2018년,리스 오스볼,김소희(라라) | 허성재(고티) | 김성화(엄마) | 김용(아빠),https://www.kobis.or.kr/common/mast/movie/2021/03/thumb_x192/thn_dd0a9ac0b8704078b42e264e06f5a212.jpg,"내 꿈은 슈퍼스타!
위험에 빠진 아빠와 캐틀힐 농장을 구해라!

오디션 프로그램에서 우승해서 슈퍼스타가 되는 것이 꿈인 라라.
유명한 가수로 성공한 아빠를 찾아 시골마을 캐틀힐에 도착했지만,
사실은 아빠가 농장에서 일한다는 사실을 알고 실망한다.

한편, 자꾸만 농장의 사과가 없어지는 것을 알게 된 라라는
고티와 함께 악당을 잡기 위한 기상천외한 계획을 세우게 되는데…"
