code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20232631,미션 임파서블: 데드 레코닝 PART ONE (Mission: Impossible - Dead Reckoning Part One),액션(2),"장편 | 일반영화 | 액션, 스릴러, 어드벤처 | 163분 13초 | 15세이상관람가 | 미국",2023-07-12,2023년,크리스토퍼 맥쿼리,톰 크루즈 | 헤일리 앳웰 | 빙 라메스 | 사이먼 페그 | 레베카 퍼거슨 | 바네사 커비 | 에사이 모랄레스 | 폼 클레멘티에프,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_fbc864b8a3f64ee98e22372534a81cec.jpg,"가장 위험한 작전, 그의 마지막 선택

모든 인류를 위협할 새로운 무기를 추적하게 된 에단 헌트(톰 크루즈)와 IMF팀은
이 무기가 인류의 미래를 통제할 수 있다는 사실을 알게 된다.

전 세계가 위태로운 상황에 처한 가운데, 이를 추적하던 에단 헌트에게 어둠의 세력까지 접근하고
마침내 미스터리하고 강력한 빌런과 마주하게 된 그는
가장 위험한 작전을 앞두고 자신이 아끼는 사람들의 생명과 중요한 임무 사이에서
선택을 해야 하는 상황에 놓이게 되는데…"
20232629,마야 3: 숲속 왕국의 위기 (Maya the Bee 3: The Golden Orb (2021),애니메이션,장편 | 일반영화 | 애니메이션 | 88분 9초 | 전체관람가 | 독일,2023-08-17,2021년,노엘 클리어리,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"환상의 그린리프를 찾아 떠나는
‘꿀’잼 ‘꿀’귀 숲속 어드벤처!

기나긴 겨울이 지나고 봄과 함께 깨어난 ‘마야’와 단짝 ‘윌리’ 앞에
근육 만땅 딱정벌레들로부터 쫓기는 한 개미가 나타난다.

개미가 가방 속에서 꺼내든 것은 바로 비밀의 황금알!
둘은 다친 개미를 대신해 황금알을 배달하기로 한다.

뾰족 나무를 지나, 위험천만 시냇물 그리고 무시무시한 붐버그들의 요새까지…
과연 환상의 꿀베프 ‘마야’와 ‘윌리’는
최종 목적지인 ‘그린리프’까지 무사히 도착할 수 있을까?

숲속 왕국의 운명이 걸린 초특급 모험이 시작된다!"
20232051,뮤지컬 청춘소음,공연,장편 | 일반영화 | 공연 | 100분 40초 | 12세이상관람가 | 한국,2023-06-07,2023년,우진하,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_75a219bab34741f7bc5a75c16cc6adc2.png,"오늘을 살아가는 청춘, 언젠가 나의 시절이었을 청춘

2022년, 서울 외곽의 낡은 빌라
여행 한 번 안 가본 여행 홍보 작가 오영원
방음에 취약한 자취방에서 꾸역꾸역 글을 써내며
언젠가는 진짜 여행을 다니는 진짜 작가가 되길 꿈꾼다.

그런 그의 윗집에 알바를 하며 취직을 준비하는 한아름이 이사 온다.
아름의 팍팍한 현실 속에서 영원의 여행기만이 유일한 위안이다.
그러나 얼굴도, 이름도 모르는 서로는 정반대의 생활 방식이 만들어 내는 일상의 소리에 점차 신경이 쓰인다.

급기야 전문가의 상담까지 받게 되는 두 사람.
영원은 소음에 대한 불만을 적은 쪽지를 윗집에 붙인다.
아름은 여자 혼자 살면 해코지라도 당할까 비밀스런 과거를 가진 남자인 척한다.
거짓말은 금세 들통 나고 제대로 사이가 틀어진 영원과 아름,
바람 잘 날 없는 나날을 보내는데...

“당신과 나 사이 고작 십오 센티 벽 하나 내 방은 당신의 바로 근처에 있죠”

정답 없는 층간소음 속에서 어떻게 살아남을 수 있을까?"
20232597,"마이클 1부 나의 비즈니스 파트너, 마이클을 소개합니다. (MICHAEL PART1 : Introducing our new business partner, Michae)",기타,장편 | 일반영화 | 기타 | 99분 20초 | 12세이상관람가 | 한국,2023-07-07,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_c78bfaff0c4d42b5b23670c2eb72d3e7.jpg,"“나도 사장할래!!”
홧김(?)에 햄버거 집을 창업하게 된 세 명의 친구. 그들은 매장 공사를 하다 벽에서 의문의 해골 시체와 3억의 거금이 든 돈 가방을 발견한다.
당장 경찰에 신고를 해야 하지만… 턱없이 부족한 창업자금에 눈빛이 흔들리는 세 친구. 결국 그들은 3억을 ‘투자금’이라는 말~도 안되는 명분으로 사용하고… 의문의 해골 친구(?)에게 <마이클>이라는 이름까지 붙여주며, 그를 ‘4번째 동업자’로 멋대로 받아들인다. 세 친구의 우정과 성장 그리고 <마이클>의 정체를 밝혀내는 좌충우돌 코믹 스릴러 작품."
20184585,만해 한용운 님의침묵 (Manhae Han Yong-un's Silence),드라마,장편 | 일반영화 | 드라마 | 143분 57초 | 15세이상관람가 | 한국,2023-06-29,2022년,한명구,오안진(만해 한용운),https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_707d4156b37248e598094471fd6ed456.jpg,"홍주성(지금의 홍성)에서 동학란(동학농민운동)이 일어난다. 16세의 몸으로 동학란에 참여를하는 소년 만해, 1천냥을 탈취하여 군자금으로 보내는 활동을한다. 55세 성북동에있는 심우장에서 만해는 재혼(유숙원)을한다. 아내의 삯바느질등으로 생활을 영위하면서도 만해는 집필과 함께 창씨개명운동반대, 조선인학병출정반대운동등에 참여를하며 일제에 항거를 계속한다. 용정명월 백화마담에게서 군자금을 넘겨받는다. 이화영이 군자금을 만해와 함꼐건낸다. 1944년 만해는66세를 일기로 입적하고만다."
20232536,명탐정코난: 흑철의 어영 (Detective Conan The Movie: Black Iron Submarine),애니메이션,장편 | 일반영화 | 애니메이션 | 109분 35초 | 12세이상관람가 | 일본,2023-07-20,2023년,타치카와 유즈루,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_8fe9f193e6f9464e8860d5d6e4a99263.jpg,"인터폴의 최첨단 정보 해양 시설인 ‘퍼시픽 부이’.
일본과 유럽의 CCTV 정보를 확인할 수 있을 뿐 아니라, 장기 수배범이나 유괴당한 피해자를 전 세계에서 찾아낼 수 있는 ‘전연령 인식’이라는 획기적인 AI 기술을 개발 중이다.

그러던 중 독일에서 검은 조직에 의해 유로폴 직원이 살해되는 사건이 발생하고 뒤를 이어 ‘전연령 인식’의 핵심 기술자가 납치된다. 나이와 상관없이 안면 인식이 가능한 기술이 검은 조직의 손에 들어가면 독약 APTX4869(아포톡신 4869) 개발 후 사망한 것으로 알려진 코드명 ‘셰리’이자 하이바라 아이도 위험하게 되는데!

코난, FBI, CIA, 공안 경찰이 합세, 하이바라 아이와 함께 전 세계를 위험에 빠지게 할 절체절명의 오션 배틀 로열이 시작된다!"
2023C642,뮤턴트 워리어 Z (Johnny Z),액션,온라인전용 | 일반영화 | 액션 | 94분 41초 | 미국,해당정보없음,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_6c2c63bcf3034a2eb5a84a9a2e01c010.jpg,"쟈니는 반은 인간이고 반은 좀비인 살인 병기.
거대 조직의 실험실에서 실험체로 지내다 탈출한 쟈니는
아들을 잃고 복수에 불타는 존 레이 형제를 만나
그들로부터 각종 무술을 배우게 된다.
쟈니와 존 레이 형제는 감염자들의 치료제를 만들 수 있는 의사를 찾는 동시에
좀비를 사냥하며 자신들을 뒤쫓는 용병단들과 치열한 대결을 벌이게 되는데..."
20228892,마에스트로 (Maestro),드라마,장편 | 예술영화 | 드라마 | 88분 4초 | 12세이상관람가 | 프랑스,2023-08,2022년,브뤼노 시슈,이반 아탈 | 피에르 아르디티 | 미우-미우,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_d2c5ec4b7c73405696983653a205dee6.jpg,"권위 있는 빅투아르 음악상을 수상하며 차세대 거장으로 자리매김한 지휘자 ‘드니 뒤마르’.
그가 넘어야 할 가장 큰 산은 다름 아닌
같은 지휘자이자 음악계의 거장인 아버지 ‘프랑수아 뒤마르’이다.

한편, 아버지 ‘프랑수아’는 존경받는 최고의 지휘자지만
곧 정상의 위치에서 밀려날지도 모른다는 위기감과 함께,
같은 분야에서 승승장구하는 아들 ‘드니’에게 묘한 경쟁심을 느끼고 있다.

그러던 중 ‘프랑수아’는 평생을 소망하던, 이탈리아 ‘라 스칼라’ 극장의
지휘자 자리를 제안하는 전화를 받고 뛸 듯이 기뻐한다.
하지만 아들 ‘드니’는 자신에게 가야 할 제안이 아버지에게 잘못 전달되었음을 알게 되고,
인생 최대의 고민과 마주한다.

꿈의 무대를 두고 마주한 아버지와 아들!
‘라 스칼라’ 무대에 서게 될 주인공은 과연 누구일까?"
20232392,뮤지컬 윌리엄과 윌리엄의 윌리엄들 영화상영관상영중,공연,장편 | 일반영화 | 공연 | 96분 34초 | 12세이상관람가 | 한국,2023-06-28,2023년,김은영,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_6bd2479239ee4161a5c1b507adcada70.png,"산업혁명이 시작된 18세기 말 런던.
바쁘게 돌아가는 공장만큼 늘어나는 자본이 신분마저 바꿔주던 그때,
사람들의 이목을 단번에 주목시킨 사건이 발생한다.

셰익스피어의 유물이라면 무엇이라도 열광하던 런던사회에 소네트 원본부터, 유언장, 차용증서, 서신까지 셰익스피어 미공개 유물들을 쏟아내던 ‘아일랜드 부자’가 희곡<보르티게른> 위작 논란으로 재판에 서게 된 것.

‘셰익스피어의 작품이냐, 아니냐’를 두고 벌어지는 치열한 공방-
아들을 위해 열정적인 변론을 펼치는 윌리엄 사무엘 아일랜드,
진술 대신 자신의 이야기를 시작하는 윌리엄 헨리 아일랜드,
그리고 새로운 유물을 들고 나타난 미지의 신사 H.

이 재판의 결과는 과연 어떻게 될 것인가?"
20232561,몸값part.2 (Bargain part.2),스릴러,장편 | 일반영화 | 스릴러 | 105분 13초 | 청소년관람불가 | 한국,2023-07-05,2022년,전우성,진선규(형수) | 전종서(주영),https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_37765aa3badb4ca69bd08fc11ac9d999.jpg,"무너진 세상, 폭발하는 광기
미친 자들의 목숨을 건 거래가 시작된다!

서로의 ‘몸값’을 두고 위험한 거래를 하던 중 지진으로 무너진 건물에 갇힌 사람들.
위기를 기회로 바꾸기 위해 새로운 거래를 제안하는 ‘주영’,
구사일생으로 간신히 목숨을 구했지만 또다시 죽을 위기에 놓인 ‘형수’,
어떠한 대가를 치르고서라도 거래를 성사시키려는 ‘극렬’,

누구도 믿을 수 없는 곳,
각자 앞에 놓인 마지막 기회를 붙잡기 위해 세 사람은 위험한 거래를 시작한다."
