code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20149678,뱀파이어에 관한 아주 특별한 다큐멘터리 (What We Do in the Shadows),코미디,"장편 | 일반영화 | 코미디 | 86분 15초 | 뉴질랜드, 미국",해당정보없음,2014년,제메인 클레멘트,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"뉴질랜드에서 매년 개최되는 가면무도회에는 좀비, 마술사, 뱀파이어, 늑대인간 등 초대받은 자들(?)만 참석할 수 있다. 다큐멘터리 촬영팀은 취재를 위해 뱀파이어들이 사는 집에 몇 달 동안 체류한다. 단, 자신들을 물지 않겠다는 약속을 받고 목에는 십자가를 건 채로. 무서울 것 같다고? 무도회에서 돋보이기 위해 서로 경쟁하고, 인간들이 자신을 무서워한다고 투덜대는 건 그들도 마찬가지."
20207415,빛의 아이 (Daughter of the Light),다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 100분 0초 | 중국,해당정보없음,2019년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"13살의 메톡 카르포는 티벳의 고아 기숙학교에 머무르고 있지만, 그녀의 부모는 이혼하여 멀쩡히 살아 있다. 외할머니, 외할아버지는 방학이면 외가로 돌아오는 메톡에게 툭하면 그녀의 아버지를 비난하는 말을 해 괴롭게 한다. 그녀의 어머니는 딱히 성공적으로 보이지 않는 재혼을 하고, 메톡은 아버지를 찾아 여정을 떠난다."
20207388,블랙 독 (Black Dog),액션(1),"장편 | 일반영화 | 액션, 스릴러 | 99분 57초 | 15세이상관람가 | 기타",해당정보없음,2019년,,,https://www.kobis.or.kr/common/mast/movie/2020/09/thumb_x192/thn_56bc89ec93b24723bbce9c90c09e6a21.jpg,"안드레이는 기억을 잃고 시리아에서 러시아로 투항하다. 자신의 이름도 직업도 기억해내지 못하던 중 스미르노바 요원을 만난 후 과거를 하나씩 떠올리게 된다. 가족과 직업, 이름을 기억해낸 후 자신이 잊고 있던 마지막 임무를 완수하려 하는데…"
19930026,부활의 노래 (The Song Of Resurrection),드라마,장편 | 독립영화 | 드라마 | 92분 0초 | 중학생이상관람가 | 한국,1991-03-01,1990년,이정국,김해연 | 박지수 | 이경영,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"사회정의실현을 꿈꾸던 철기는 야학에 참여하면서 정치,사회적 모순과 민중의 현실에 대한 이해를 더해간다. 야학선배인 태일과 민숙, 노동자 야학생 현실,봉준 등과 공장실태를 조사하던 철기는 유신과 긴급조치의 부당성을 깨닫는다. 10.26 이후 총학생회장에 당선되어 대중집회를 주도하여 민주화를 향한 행보를 가져갈 무렵, 비상계엄 확대에 따른 정치적 격변은 철기를 도피생활로 몰아넣는다. 그러던 중 철기는 현실과 봉준에게서 광주 상황과 태일,민숙의 장렬한 최후를 듣고 자책에 빠진다. 철기와 현실이 사랑으로 의지하며 새로운 생활을 준비할 무렵 체포 수감된 철기는 교도소내 민주화를..."
20207044,빌마르크 어사일럼 (Villmark 2),공포(호러),장편 | 일반영화 | 공포(호러) | 93분 47초 | 기타,해당정보없음,2015년,,안데르스 바스모 크리스티안센 | 엘렌 도리트 페테르센,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"지옥보다 더한 그곳
광기만이 존재하는 ‘빌마르크 어사일럼＇

깊은 산골짜기, 방치된 채로 오랜 시간 남겨진 한 요양원 건물로 파견된 5명의 유해폐기물 처리반. 요양원의 지하에서 끔찍한 비밀을 발견하게 되고, 임무수행을 거듭할수록 건물의 서슬퍼런 비밀을 마주하게 되는데…"
20204239,백악기 꼬마공룡을 찾아서 (Dino Dana - The Movie),어드벤처(1),"장편 | 일반영화 | 어드벤처, 가족 | 76분 46초 | 전체관람가 | 캐나다",해당정보없음,2019년,J.J. 존슨,,https://www.kobis.or.kr/common/mast/movie/2020/08/thumb_x192/thn_b0423e44a9e1498f82a878dd3080888b.jpg,"공룡을 좋아하는 호기심 많고 당찬 10살 소녀 다나는 과학은 새로운 발견이자 원래 알던 사실을 완전히 뒤바꿔버릴 수도 있는 마법과도 같은 것이라고 믿고, 오늘도 또 하나의 공룡 실험을 시작한다. 이름하여, ‘공룡 실험 9-0-1, 꼬마공룡들은 다 어디로 갔을까?’.

다나는 이 위대한 실험을 위해 이웃집에 새로 이사온 해디엘, 마테오 형제와 상상을 초월하는 선사시대로의 여행을 떠난다. 아빠가 만들어준 배낭을 짊어지면 눈앞에 공룡들이 나타나고, 공룡들 눈에 내가 공룡으로 보인다니! 마테오는 역사상 가장 몸집이 큰 티라노사우루스에게 잡혀가 아기 공룡 토비를 만나기도 한다. 한편, 다나가 날아다니는 짐승 중 가장 몸집이 큰 익룡 케찰코아틀루스에게 잡혀가 아기 공룡들의 먹이가 될 위기에 처하고, 해디엘과 마테오, 다나의 언니 사라가 다나를 구하기 위해 박물관 옥상으로 향한다. 공룡들과의 한판 승부를 벌인 끝에 다나와 친구들은 생김새는 달라도 서로 아끼는 마음이 있다면 한가족이 될 수 있음을 깨닫고 집으로 돌아온다. 늘 티격태격하는 다나와 사라, 해디엘과 마테오는 서로 부모는 다르지만 다름을 인정하고 형제, 자매이자 친구가 되기로 한다."
20193148,보체크 (Wozzeck),공연,장편 | 일반영화 | 공연 | 117분 52초 | 12세이상관람가 | 미국,2020-08-18,2020년,윌리엄 켄트리지,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"야니크 네제 세갱이 현대작곡가 알반 베르크의 표현주의 걸작 오페라 <보체크>를 지휘했다. 강렬한 감정과 천재적인 음악으로 화제가 되어 온 이 20세기 최고의 문제작을 윌리엄 켄트리지가 연출했다. 약자를 괴롭히는 사악한 사회에 희생당하는 병사 보체크가 주인공인 이 오페라는 알반 베르크가 1차 대전 중에 스스로의 체험을 반영해 작곡한 작품이다. 금방이라도 무너질 듯한 계단, 경사로, 버려진 가구들, 쓰레기 더미로 이루어진 무대에 켄트리지의 트레이드마크인 목탄화 애니메이션, 프로젝션, 영화 클립 등으로 거꾸러진 전투기, 서치라이트, 가스마스크, 전쟁터 등의 이미지를 조합한 연출이 대단히 생생하고 인상적이다. 돈 조반니 역으로 유명한 바리톤 페터 마테이가 보체크 역에 처음으로 도전하며, 엘자 반 덴 히버가 보체크의 아내 마리 역을 열연한다. 보체크를 괴롭히는 군악대장 역은 바그너 전문 테너 크리스토퍼 벤트리스가, 희극적인 연기가 탁월한 테너 게르하르트 지겔이 대위 역, 크리스티안 반 호른이 의사 역을 맡았다. 앤드류 스테이플스는 보체크의 동료 안드레스 역으로 메트에 데뷔한다. 메트에서 이미 베르크의 <룰루>와 쇼스타코비치의 <코>를 연출한 켄트리지는 이 프로덕션을 2017년 잘츠부르크에서 처음으로 공개했다. 메트, 캐나다 오페라 컴퍼니, 호주 오페라, 잘츠부르크 페스티벌이 공동제작한 프로덕션이다."
20201690,블러드 헌터스: 라이즈 오브 하이브리드 (Blood Hunters: Rise of the Hybrids),액션(1),"장편 | 일반영화 | 액션, 판타지 | 70분 0초 | 15세이상관람가 | 필리핀",2020-08-13,2019년,빈센트 소베라노,몬소어 델 로사리오 | 빈센트 소베라노,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"'아스왕' 종족과 그들을 죽이기 위해 결성된 용병들인 '블러드 헌터'간의 치열한 싸움.
아스왕 여왕의 피로 죽음에서 되살아난 '하이브리드'들도 목숨을 건 결투에 합세하는데…"
20203661,뱀파이어 헌터스 D (Blood Type),액션(2),"장편 | 일반영화 | 액션, 판타지, 공포(호러) | 61분 5초 | 15세이상관람가 | 미국",2020-08-07,2019년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"바이러스 치료제를 연구하는 아버지가 준 약을 먹은 10살짜리 꼬마 케일럽은 연구실 기계 안에서 깨어난다.
주변에 아무도 없음을 깨닫고 바깥세상으로 나오지만, 세상은 모든 것이 변해있다.
수통에 비친 자신의 모습이 중년의 남자임을 깨닫고 경악하는데, 이때 드래컨이 나타나서 그를 공격한다."
20193275,브링 더 소울 : 더 무비 (BRING THE SOUL : THE MOVIE),기타,장편 | 일반영화 | 기타 | 101분 9초 | 전체관람가 | 한국,2020년,개봉,박준수,김남준 | 김석진 | 민윤기 | 정호석 | 박지민 | 김태형 | 전정국,https://www.kobis.or.kr/common/mast/movie/2019/06/thumb_x192/thn_b5ef55af13c444e7a6f4f73a235a9e95.jpg,"서울을 시작으로 북미와 유럽까지 LOVE YOURSELF 투어를 마친 방탄소년단!
전세계의 팬들과 함께 호흡하고 열광했던 유럽에서의 콘서트가 파리를 마지막으로 끝났다.

그리고 모든 긴장이 풀어진 다음날, 파리의 작은 루프탑 테이블에서 멤버와 팬들에게
하지 못했던 그들만의 이야기를 나누는 작은 뒤풀이가 시작된다.

방탄소년단의 솔직담백한 이야기를 한 테이블에 둘러 앉아 들을 수 있는
설렘 가득한 시간이 펼쳐진다."
