code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
19930334,바그다드 카페 (Bagdad Cafe),코미디(1),"장편 | 일반영화 | 코미디, 드라마 | 91분 0초 | 고등학생이상관람가 | 독일",1993-07-17,1987년,퍼시 애들론,마리안느 세이지브레트(야스민) | CCH 파운더(브렌다) | 잭 팰런스(루디 콕스) | 크리스틴 카우프먼,https://www.kobis.or.kr/common/mast/movie/2011/12/thumb_x192/thn_174ac0f1f1f548a6b375f1e37de07890.jpg,관광여행 도중 부부싸움으로 남편과 헤어져 사막 한가운데에 내려버린 재스민은 정처없이 걷다가 '바그다드 카페'라는 곳에 도착한다. 그런데 이 모텔의 안주인 브렌다도 남편을 방금 내쫓은 참이었다. 지긋지긋해 하며 쟈스민의 방을 치우던 브랜다는 펼쳐져있는 남성용 옷들을 보고 도둑으로 의심해 보안관을 부른다. 그러나 손님으로써 흠잡을 데가 없기에 어쩔 수 없이 그냥 지켜보기만 하는데 결국 일이 터진다. 브랜다가 집을 비운 사이에 쟈스민이 카페를 대청소한 것이다. 미친듯 성을 내는 브랜다를 피해 방안에 들어온 쟈스민의 위안은 선물받은 요술세트다. 그리고 어느날 카페 손님에게 우연히 요술을 보여준 것을 계기로 용기를 내서 계속 요술을 하기 시작한다. 카페는 요술을 구경하러온 사람들로 붐비기 시작하고 쟈스민은 브랜다 가족의 일원이 되어간다.
20162926,바그다드 카페 : 디렉터스컷 (Bagdad Cafe),코미디(1),"장편 | 예술영화 | 코미디, 드라마 | 108분 43초 | 15세이상관람가 | 독일, 미국",1987년,개봉,퍼시 애들론,마리안느 세이지브레트 | CCH 파운더 | 잭 팰런스 | 크리스틴 카우프먼,https://www.kobis.or.kr/common/mast/movie/2021/04/thumb_x192/thn_6b23d269c21a41d6a6b6e3beaa63080a.jpg,"메마른 삶에 찾아온 마법 같은 인연
그렇게, 삶은 그 곳에서 다시 시작된다

남편과 다툰 채, 길을 떠난 ‘야스민’은
작고 허름한 바그다드 카페에 도착하고
그곳에서 삶에 지친 ‘브렌다’와 만나게 된다.

브렌다는 낯선 이방인인 야스민을 경계하지만
그녀의 따뜻한 배려와 호의에 결국 마음을 열게 되고
서로의 상처를 보듬기 시작한다.

두 사람은 작은 마술을 배워 카페를 찾은 손님에게 선보이며
난생 처음 자유와 행복을 만끽한다.
그러던 중, 야스민의 비자에 문제가 발생하고
그녀는 바그다드 카페를 떠날 위기에 처하게 되는데…"
20231620,바깥 나라의 소녀 (The Girl from the Other Side),애니메이션(2),"장편 | 예술영화 | 애니메이션, 판타지, 드라마 | 70분 2초 | 12세이상관람가 | 일본",2023-05-16,2022년,쿠보 유타로|마이야 사토미,후쿠야마 준 | 타카하시 리에,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_72b0b21ed97e438084574b66250eb0f2.jpg,"세계는 ‘안’과 ‘밖’으로 분단되어, 저주를 초래하는 외부인이 사는 땅은 '바깥 나라'라고 불리었다.
어느 날, 한 외부인이 ‘바깥 나라’의 국경에 방치된 시체 속 한 소녀를 발견한다.
소녀의 이름은 ‘시바’, 그녀는 자신을 발견한 외부인을 ‘선생님’이라 부른다.
서로 어울리지 않는 두 사람 사이의 고요한 조율-
이건 아침과 저녁, 그 사이에 멈춰선 두 사람의 이야기."
20192864,바꿔 할래?,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 60분 39초 | 청소년관람불가 | 한국,2020-03-16,2019년,한대위,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"누나 이제 방으로 들어가실래요?
한집에 사는 동원-민호 형제. 형 동원은 여자 친구도 없이 집에서 야동이나 보는 동생이 안쓰러워 여자를 소개해준다. 그날 밤, 동원의 여자친구 지원과 동생에게 소개해 줄 지수를 집에 초대해 같이 모여 술자리를 한다. 밤은 깊어지고 술은 취하는데.. 갑자기 지수가 민호에게 키스를 하며 유혹하자 둘은 그날 사랑을 나눈다. 다음 날, 다시 놀러 온 지수와 지원. 형은 동생의 연인이 된 지수가 탐이 나 몰래 그녀가 잠든 방으로 들어가는데..."
20192843,바꿔 할래? 무삭제,멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 81분 20초 | 청소년관람불가 | 한국,2020-04-09,2019년,한대위,민정(지수) | 유정(지원) | 지성(동원) | 신연호(민호),https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"누나 이제 방으로 들어가실래요?
한집에 사는 동원-민호 형제. 형 동원은 여자 친구도 없이 집에서 야동이나 보는 동생이 안쓰러워 여자를 소개해준다. 그날 밤, 동원의 여자친구 지원과 동생에게 소개해 줄 지수를 집에 초대해 같이 모여 술자리를 한다. 밤은 깊어지고 술은 취하는데.. 갑자기 지수가 민호에게 키스를 하며 유혹하자 둘은 그날 사랑을 나눈다. 다음 날, 다시 놀러 온 지수와 지원. 형은 동생의 연인이 된 지수가 탐이 나 몰래 그녀가 잠든 방으로 들어가는데..."
20218095,바꿔서 할까?,드라마,장편 | 일반영화 | 드라마 | 71분 12초 | 청소년관람불가 | 한국,2021-05-19,2021년,최성은,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"커플끼리 놀러온 소라와 하늘은 전날 술에 취해 우연히 짝을 바꿔서 섹스를 하게 되자 서로 어색해 한다.
하늘은 남자친구 시후에게 소라의 남자친구인 상우와 섹스를 한 걸 고백하고 시후와 쿨하게 헤어지기로 한다.
소라 또한 상우와 헤어지기로 하는데 어차피 이렇게 된 거 다시 한 번 바꿔서 하자는 제안을 한다.
두 커플은 서로의 파트너를 바꿔서 섹스를 한 후 각자 헤어지기로 하고 하늘만 남겨둔 체 펜션을 떠난다.
얼마 후, 시후가 핸드폰을 찾으려 다시 펜션으로 돌아오는데 외로움에 혼자 자위를 하는 하늘을 목격하게 되고 하늘을 위로해주며 섹스를 한다."
20170422,바나나쏭의 기적 (Singing with Angry Bird),다큐멘터리,"장편 | 예술,독립 영화 | 다큐멘터리 | 89분 55초 | 전체관람가 | 한국",2018-03-08,2018년,송우용|지혜원,김재창,https://www.kobis.or.kr/common/mast/movie/2018/02/thumb_x192/thn_73447d1f38cd4b78bbf1c8de414d2734.jpg,"“콘서트는 장난이 아니야!”
넘치는 카리스마 탓에 무섭기로 소문난 성악가 ‘김재창’. 그는 은퇴 후 인도에서 제2의 인생을 시작한다.
다름 아닌 한 번도 정식으로 노래를 배운 적 없는 빈민가 가족들을 모아 합창단을 꾸리기로 마음먹은 것.
하지만 단원들은 타고난 음치 박치인 데다, 이런저런 핑계로 결석만 늘어간다. 평균 출석 5명, 마음도 열리고 뚜껑도 열린다!
바나나 합창단과의 동행, 과연 이대로 괜찮을까?"
20188342,바니부기: 드래곤 에그를 찾아서 (Plan egg),애니메이션(1),"장편 | 일반영화 | 애니메이션, 어드벤처 | 76분 6초 | 전체관람가 | 중국",2018-09-12,2017년,리양우,,https://www.kobis.or.kr/common/mast/movie/2018/07/thumb_x192/thn_6a47ec8191d54c0ab559b48d32910e58.jpg,"시간 여행의 힘을 가진 전설의 드래곤 에그를 찾아라!
동물 보호 협회 최정예 요원 ‘바니’와 ‘부기’는 시간여행의 힘을 가진 신비한 “드래곤 에그”를 찾을 수 있는 유일한 단서 “용의 전설”을 찾아 달라는 ‘닥터 한스’의 의뢰를 받아 모험을 떠난다.
천신만고 끝에 “용의 전설”을 노리는 악당들을 피해 숨어있던 친구 ‘꼬부기’를 만나 용의 전설을 구하지만 갑자기 나타난 악당 로봇이 드래곤 에그를 찾아오라며 꼬부기를 납치한다.
드래곤 에그를 찾기 위해서는 위험천만한 다섯 가지 관문을 통과해야만 하는데…
과연, ‘바니’와 ‘부기’는 드래곤 에그를 찾고 꼬부기를 구할 수 있을까?"
20020317,바닐라 스카이 (Vanilla Sky),스릴러(2),"장편 | 일반영화 | 스릴러, 미스터리, 멜로/로맨스 | 135분 0초 | 18세관람가 | 미국",2001-12-20,2001년,카메론 크로우,페넬로페 크루즈 | 톰 크루즈,https://www.kobis.or.kr/upload/up_img/cleansing/x00/00/53/thumb_x192/thn_mov_20020317_35921.jpg,"남다른 매력과 탄탄한 재력으로 수많은 여성들의 시선을 한 몸에 받는 데이빗 에임즈. 그는 유력 출판사와 잡지사를 운영하는 와중에 줄리라는 여자를 만나지만 그녀는 단지 섹스 파트너일 뿐이다. 그러던 어느날 데이빗은 자신의 생일 파티에 온 친구 브라이언의 애인 소피아를 보고 한눈에 반한다. 그녀가 바로 자신이 꿈에 그리던 운명의 상대임을 직감하는 데이빗. 소피아 역시 그에게 이끌려 둘은 뜨거운 연인 사이가 된다. 하지만 데이빗에게 버림받은 줄리는 질투와 분노에 사로잡혀 이들을 미행하고, 마침내 데이빗과의 동반자살을 시도한다. 사고 이후 데이빗은 간신히 목숨을 건지지만 자기 얼굴이 알아볼 수 없게 망가진 것을 알고 괴로워한다."
20203043,바다 몬스터2 (Sea Monsters2),애니메이션,장편 | 일반영화 | 애니메이션 | 87분 39초 | 전체관람가 | 미국,2020-08-12,2018년,에반 트라멜,서반석 | 석승훈,https://www.kobis.or.kr/common/mast/movie/2020/07/thumb_x192/thn_f6b9b3f09f38492e857e070bdb6f1b74.jpg,"최고의 트림 몬스터를 찾아라!

매년 이색 콘테스트를 개최하는 슈머트 행성 바닷속.
올해는 최고의 트림 몬스터를 선발하는 대회가 열린다.
우승을 차지하고 싶은 악당 '바프'는 검은 마법을 이용하여
최고의 트림 트레이너 '마에스트로'를 납치하고
이 사실을 알게 된 그의 제자 '코랄리나'와 '찰리'는 위험천만한 모험을 떠나는데...!"
