code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20217982,서울괴담 (Urban Myths),공포(호러),장편 | 일반영화 | 공포(호러) | 122분 54초 | 15세이상관람가 | 한국,2022-04-27,2021년,홍원기,김도윤 | 봉재현 | 서지수 | 김현정 | 셔누 | 최예원 | 알렉산드라 크리스틴 슈나이더만 | 추소정 | 오륭 | 이민혁 | 이수민 | 이열음 | 이영진 | 이호원 | 정원창 | 주학년,https://www.kobis.or.kr/common/mast/movie/2022/04/thumb_x192/thn_8ef2c69d352d499987c2428d8b594259.jpg,"어두운 터널을 홀로 지날 때의 두려움
옆집에서 들려오는 의문의 소리
중고 가구에 얽힌 미스터리
다른 사람을 향한 그릇된 질투

복수, 저주, 욕망에서 시작된 죽음보다 더한 공포의 실체가 찾아온다!"
19780066,사운드 오브 뮤직 (The Sound of Music),드라마(1),"장편 | 예술영화 | 드라마, 뮤지컬 | 172분 12초 | 전체관람가 | 미국",1965년,개봉,로버트 와이즈,줄리 앤드류스 | 크리스토퍼 플러머,https://www.kobis.or.kr/common/mast/movie/2016/11/thumb_x192/thn_64ff96626350423e99649cd304263e76.jpg,"알프스에서 들려오는 환상의 하모니!
세상에서 가장 사랑스러운 합창이 시작된다! 다 함께 도-레-미~♪♬

음악을 사랑하는 말괄량이 견습 수녀 ‘마리아’는 원장 수녀의 권유로 해군 명문 집안 폰 트랩가의 가정교사가 된다. ‘마리아’는 좀처럼 마음의 문을 열지 않는 폰 트랩가의 일곱 아이들에게 노래를 가르치며 점차 교감하게 되고, 엄격한 ‘폰 트랩 대령’ 역시 마음을 문을 열게 된다. 그러던 어느 날, ‘마리아’는 자신이 ‘폰 트랩 대령’을 사랑하고 있다는 사실을 깨닫게 되고, 자신만의 비밀을 간직한 채 아이들의 곁을 떠나 다시 수녀원에 들어가기로 결심하는데…"
20226368,시네마테크 (Cinema Tech ),액션(1),"장편 | 일반영화 | 액션, 판타지 | 13분 0초 | 한국",해당정보없음,2021년,박선주,남연우(Jin) | 한태은(유랑) | 이건구(요원1) | 김경모(요원2) | 조아라(스턴트) | 정정남(성우) | 송지혁(커플남),https://www.kobis.or.kr/common/mast/movie/2022/07/thumb_x192/thn_8232e3242fe34d76b866fae3864a617b.jpg,"근 미래, 가상극장 ‘CinemaTech’에 접속해 영화를 함께 체험하는 유랑과 Jin.
두 사람은 자동 매칭 시스템으로 선정된 첩보영화 속 비밀요원이 되어 서로를 쫓고 쫓긴다.
가상과 현실을 넘나드는 ‘CinemaTech’시스템을 통해서 영화 속 주인공과 현재의 인물들이 크로스오버 되며
‘영화보기의 즐거움’을 재발견하는 VR 팝콘무비."
20226353,스카이 인베이젼 (Alien Troopers),액션(1),"장편 | 일반영화 | 액션, SF | 91분 0초 | 중국",해당정보없음,2021년,회우,,https://www.kobis.or.kr/common/mast/movie/2022/07/thumb_x192/thn_5b08420c3a8e4326a67ae3a91b827af9.jpg,"거대 외계 생명체의 침공으로 맞이한 지구 최후의 날, 끝까지 살아남아야 한다!

외계 생명체 ‘곤’의 공격으로 잿더미가 되어버린 지구.
남은 자들은 폐허가 된 지상을 떠나 지하 생활을 시작하고,
‘곤’이 땅으로 내려오는 순간을 노려 처치하려 한다.

한편 버려진 물건을 파는 보부상 ‘페이’는 ‘사사’와 몰래 지상으로 올라가지만
수많은 새끼 ‘곤’들에게 둘러싸인다.

때마침 임무 중인 특수부대 ‘블랙 이글’이 나타나고,
‘페이’는 인류 생존을 위해 자이언트 ‘곤’을 쓰러트리려는
최후의 작전에 합류하게 되는데…"
20136057,소수의견 (Minority Opinion),드라마,장편 | 일반영화 | 드라마 | 126분 30초 | 15세이상관람가 | 한국,2015-06-24,2013년,김성제,윤계상(진원) | 유해진 | 김옥빈,https://www.kobis.or.kr/common/mast/movie/2015/06/thumb_x192/thn_08bdacbda0054706b20388dcd9e1ea81.jpg,"“피고는 경찰이 아들을 죽였다고 하고, 검사는 철거용역이라고 한다
원고 국민, 피고 대한민국을 상대로 진실을 묻다!”

지방대 출신, 학벌 후지고, 경력도 후진 2년차 국선변호사 윤진원(윤계상). 강제철거 현장에서 열여섯 살 아들을 잃고, 경찰을 죽인 현행범으로 체포된 철거민 박재호(이경영)의 변론을 맡게 된다. 그러나 구치소에서 만난 박재호는 아들을 죽인 건 철거깡패가 아니라 경찰이라며 정당방위에 의한 무죄를 주장한다.

변호인에게도 완벽하게 차단된 경찰 기록, 사건을 조작하고 은폐하려는 듯한 검찰, 유독 이 사건에 관심을 갖고 접근해오는 신문기자 수경(김옥빈). 진원은 단순한 살인 사건이 아님을 직감하고, 선배인 이혼전문 변호사 대석(유해진)에게 사건을 함께 파헤칠 것을 제안한다.

경찰 작전 중에 벌어진, 국가가 책임져야 할 살인사건, 진압 중에 박재호의 아들을 죽인 국가에게 잘못을 인정 받기 위해 진원과 대석은, 국민참여재판 및 ‘100원 국가배상청구소송’이라는 과감한 선택을 하는데…"
20224608,상해풍운 (A Great Hero in Troubled Times),액션,장편 | 예술영화 | 액션 | 87분 31초 | 15세이상관람가 | 중국,해당정보없음,2020년,,,https://www.kobis.or.kr/common/mast/movie/2022/07/thumb_x192/thn_d9c160e0f6ef447c88200736e8a83b92.jpg,"상하이의 패권을 두고 각 파들은 치열한 대결을 벌인다.
귀하오가 운영하는 과일가게에 어느 날 한 도둑이 숨어든다.
그 도둑은 막강한 권력과 횡포를 부리던 안칭 상공회의 물건을 훔친 도둑으로,
궈하오의 가족과 친구들은 도둑과 연관이 있다는 오해를 받게 돼 위험에 빠진다.

도시 개항으로 새로운 시대를 맞이하는 상하이.
경찰조차 함부로 하지 못하는 거대 조직 안칭 상공회와 소시민인 궈하오의 대립.
이제 죽고 죽이는 조직들의 대 전쟁이 벌어지는데…"
20226213,서브라임 (Sublime),드라마,장편 | 일반영화 | 드라마 | 100분 0초 | 아르헨티나,해당정보없음,2022년,마리아노 비아신,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"""마법"". 마누엘은 펠리페가 나오는 꿈을 꾸기 시작하고, 꿈결에 항상 같은 단어를 중얼거린다. 해변가의 작은 마을에 사는 마누엘은 그의 친구들과 결성한 밴드에서 베이시스트를 맡고 있다. 어렸을 때부터 가장 각별한 사이였던 펠리페와 함께 곡을 써 내려가면서, 마누엘은 자신이 펠리페와 어떤 관계를 원하고 있는 것인지 고민한다. 두 소년들의 의미 모를 질문들과 노랫말 사이에 흘러들어오는 긴장감이 아르헨티나의 바닷가 위에 펼쳐진다. 주목받는 대신 조용히 무대 구석을 지키는 베이시스트처럼, '퀴어'하기엔 너무 내성적이었던 당신에게 바칩니다. 2022 시애틀국제영화제 이베로 아메리칸 경쟁부문 심사위원대상 수상."
20225661,섹스 앤 퓨리 (Love and Fury),멜로/로맨스(1),"장편 | 예술영화 | 멜로/로맨스, 드라마 | 90분 17초 | 15세이상관람가 | 핀란드",2022-07-14,2016년,,,https://www.kobis.or.kr/common/mast/movie/2022/07/thumb_x192/thn_94d4a686ad4a4408b1a8a3bdd2731509.jpg,"1980년 헬싱키를 배경으로, 사랑에 빠진 젊은 두 작가가 삶과 예술에 대한 열정을 불태우고 서로 갈등하는 내용의 영화"
20226142,서른 살의 죽음 (Half a Life),다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 95분 0초 | 프랑스,해당정보없음,1982년,로맹 구필,로맹 구필,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"1978년, 서른 살에 세상을 떠난 친구에 관한 영화. 자기변혁과 사회혁명에 대한 정열을 함께 불태웠던 친구 미셸 르카나티의 초상을 주축으로 작가의 사적 기억과 6-70년대에 혁명을 꿈꾸던 젊은 세대에 대한 기억이 담겨 있다. 68혁명에 참여한 로맹 구필 감독이 14세부터 찍어온 8미리 기록영상과 1982년 촬영한 픽션 및 인터뷰 영상을 섞어 만든 영화. 1982년 칸영화제 황금카메라 수상작."
20209533,소년의 사랑과 우정 (No Hard Feelings),드라마(1),"장편 | 일반영화 | 드라마, 멜로/로맨스 | 91분 25초 | 독일",해당정보없음,2020년,,,https://www.kobis.or.kr/common/mast/movie/2022/07/thumb_x192/thn_1433c673ce144cf5b6d6ea31fa3b7986.jpg,"춤추고 놀기 좋아하는 이란계 독일인인 파비스는 늘 사고를 치고 다니는 청년이다. 난민 센터에서 통역 봉사 활동 명령을 받은 파비스. 난민 센터에서 지내는 아몬은 첫날부터 완전히 일을 망치고 울던 파비스에게 다가가고, 두 사람은 함께 시간을 보내며 천천히 가까워진다."
