code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20232556,슈퍼 키드 헤일리 (Just Super),애니메이션,장편 | 일반영화 | 애니메이션 | 76분 21초 | 전체관람가 | 노르웨이,2023-07-20,2022년,라스무스 A. 실버르센,신은수,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_336ea3484fad48398fea57896c94a0ed.jpg,"안녕? 내 이름은 헤일리, ‘슈퍼 라이언’이야!

아기 혼자 탄 유모차가 움직이고 있어요
악동 여우원숭이가 동물원을 탈출했어요
기차의 브레이크가 고장나서 멈추지 않아요

마을의 안전과 평화를 지키는 슈퍼 히어로, ‘슈퍼 라이언’의 정체는 바로 우리 가족이야.
수백 년 전부터 할머니, 아빠까지 대대로 ‘슈퍼 라이언’이 되어 마을을 지키고 있지.
이제는 내가 그 자리를 물려 받을 차례! 그런데 사촌 아드리안이 탐내고 있다고?
비록 난 운동신경도 꽝, 초능력도 꽝이지만… 내가 진짜 ‘슈퍼 라이언’이라는 걸 증명해내겠어!"
20081375,샤이닝 (The Shining),공포(호러)(1),"장편 | 일반영화 | 공포(호러), 스릴러 | 144분 0초 | 미국",2023-06-28,1980년,스탠리 큐브릭,잭 니콜슨 | 셸리 듀발 | 대니 로이드,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_e36ed572c3aa432b857e8f66fe785909.jpg,"겨울 동안 호텔을 관리하며 느긋하게 소설을 쓸 수 있는 기회를 잡은 ‘잭’은 가족들을 데리고 눈 내리는 고요한 오버룩 호텔로 향한다.
보이지 않는 영혼을 볼 수 있는 ‘샤이닝’ 능력을 가진 아들 ‘대니’는 이 호텔에 드리워진 음산한 기운을 직감적으로 느낀다.
폭설로 호텔이 고립되자 환상과 현실의 경계에서 점점 미쳐가는 ‘잭’, 그리고 그를 지켜보는 아내 ‘웬디’와 아들 ‘대니’.
가까워져 오는 극한의 공포. 스탠리 큐브릭 감독이 남긴 스릴러 영화의 바이블."
20231795,"수능, 출제의 비밀",기타,장편 | 일반영화 | 기타 | 한국,해당정보없음,2023년,이용재,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,2급 국가기밀인 수능 출제위원단에 어쩌다 합류한 국어교사 맹보람이 외부차단 합숙생활을 하면서 겪는 40일간의 파란만장한 이야기.
20202801,슬기로운 아내 수업 (How to Be a Good Wife),코미디(1),"장편 | 예술영화 | 코미디, 드라마 | 109분 32초 | 12세이상관람가 | 프랑스",2023-07-12,2020년,마르탱 프로보스트,줄리엣 비노쉬 | 욜랭드 모로 | 노에미 르보브스키 | 에두아르 바에르 | 프랑수아 베를레앙,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_9c69bfdf6d9a497baa207fa0e91f3076.jpg,"1960년대 프랑스,
교훈은 ‘현모양처 7계명‘, 교과목은 ‘걸레질, 요리, 바느질’로 꽉 채워진
현모양처 양성 학교의 새 학기가 밝았다.
학교의 교장인 로베르와 그의 아내 폴레트는
새로운 학생들을 ‘완벽한 주부’로 탈바꿈시키는 데 여념이 없는 와중
갑작스러운 사고로 로베르가 세상을 떠난다.

홀로 남은 폴레트는 울며 겨자 먹기로 학교 운영을 떠맡는데
엎친 데 덮친 격! 남편이 남긴 도박빚으로 파산 위기에 놓인다.

파리의 홈 페어에서 열릴 최우수 주부학교 선발식에
지역 대표로 선출된 기회를 포기할 수 없던 폴레트는
운전부터 은행 계좌 개설까지 모든 것을 처음 겪으며 홀로서기를 시작하고
새로운 세대의 소녀들과 함께 진취적으로 변모해간다."
20232141,신입사원: 더 무비 (The New Employee: The Movie),기타,장편 | 일반영화 | 기타 | 115분 0초 | 한국,해당정보없음,2023년,김조광수,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"취업 성공 기원! 긴장 백배! 두근두근 첫 출근 날, 멍뭉미를 뽐내며 해맑게 인사하는 늦깎이 신입인턴 우승현 앞에 워커홀릭 파트장 김종찬이 나타났다.
얼굴도 피지컬도 모든 것이 완벽한 종찬에게 첫눈에 마음 빼앗겨버린 짝사랑 전문가 승현.
잘 보이고 싶은 마음이 앞설수록 일은 자꾸만 꼬여 가고 인턴도 연애도 처음이라 모든 것이 서툴기만 한데..."
20232515,샹트라파 (Chantrapas),드라마,장편 | 일반영화 | 드라마 | 122분 0초 | 기타,해당정보없음,2009년,오타르 이오셀리아니,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,좋은 영화를 만들고 싶어하는 니콜라스는 고향인 조지아에서 영화 제작을 시작한다. 그러나 모든 일이 잘 풀리지 않자 그는 ‘자유’와 ‘민주주의’가 살아 있는 프랑스로 향한다. 물론 현실은 프랑스에서도 그리 만만하지 않다.
20173301,"서서평, 천천히 평온하게",다큐멘터리,장편 | 예술영화 | 다큐멘터리 | 78분 43초 | 전체관람가 | 한국,2017-04-26,2017년,홍주연|홍현정,윤안나 | 안은새,https://www.kobis.or.kr/common/mast/movie/2017/03/thumb_x192/thn_1e08c4a513024a4687ed1c193a0bce59.jpg,"“성공이 아니라 섬김이다”
약 100여 년 전, 가난하고 억압받던 조선 땅에 '작은 예수'라 불리는 파란 눈의 여인이 있었다. 나환자와 걸인, 무지하고 힘없는 여성들의 어머니 ‘서서평’ 선교사. 이일학교(한일장신대학교 전신), 조선간호부회(대한간호협회 전신), 여전도회연합회 등을 창설하여 여성운동과 간호 분야에 힘쓴 그녀는 고아 14명을 자녀 삼고, 오갈 곳 없는 과부 38명과 한집에 머물렀다. 상처 많았던 그녀가 낯선 땅을 품고, 조선의 작은 밀알이 되어 상한 영혼들을 치유하기까지… 한 여인의 슬픔과 한 그리스도인의 뜨거움, 한 선교사의 치열함으로 가득한 이야기가 찾아온다."
20227654,수라 (Sura: A Love Song),다큐멘터리,"장편 | 예술,독립 영화 | 다큐멘터리 | 102분 6초 | 전체관람가 | 한국",2023-06-21,2022년,황윤,황윤,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_40ad2d6b602a4b06b5f9ec527f99b7cc.jpg,"마지막 갯벌 ‘수라’의 새들을 찾기 위해
오늘도 집을 나서는 ‘동필’과
그의 아들 ‘승준’.

오래전 갯벌에 관한 다큐를 만들다
포기했던 영화감독 ‘윤’은
이들을 만나 다시 카메라를 든다.

말라가는 ‘수라’에서
기적처럼 살아남은
도요새, 검은머리갈매기, 흰발농게 …

청춘을 바쳐 이들을 기록해온
사람들의 아름다운 동행

2023년 6월 21일
‘수라’에 희망의 물길이 차오른다!"
20232180,스파이더맨: 어크로스 더 유니버스 (Spider-Man: Across the Spider-Verse),애니메이션,장편 | 일반영화 | 애니메이션 | 139분 55초 | 전체관람가 | 미국,2023-06-21,2023년,,샤메익 무어 | 헤일리 스테인펠드 | 제이크 존슨 | 브라이언 타이리 헨리 | 오스카 아이삭,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_5d02668ff95e4b2f9694b7ff9ff666fc.jpg,"스파이더맨 VS 스파이더맨?!

여러 성장통을 겪으며 새로운 스파이더맨이 된 ‘마일스 모랄레스’.
그 앞에 다른 평행세계의 스파이더우먼 ‘그웬’이 다시 나타난다.

모든 차원의 멀티버스 속 스파이더맨들을 만나게 되지만,
질서에 대한 신념이 부딪히며 예상치 못한 균열이 생기는데…

상상 그 이상을 넘어서는 멀티버스의 세계가 열린다!"
20201787,손 (The Hand),공포(호러)(1),"장편 | 일반영화 | 공포(호러), 코미디 | 57분 51초 | 15세이상관람가 | 한국",2023-06-21,2021년,최윤호,이재원 | 박상욱,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_52427f4db29e4197b890993e8837771a.jpg,"도와주세요!
저희 집 변기에서 손이 솟아났어요!



‘변기에서 손이 솟아났다’니, 그게 무슨 황당한 말이냐고요?
제가 간밤에 술을 좀 많이 먹긴 했는데… 그래도 진짜예요, 믿어주세요!
아내는 놀라서 기절해버리고, 경비원 아저씨도 애꿎은 저를 의심해요.
이제 어떡하죠? 믿을 건 119 밖에 없는데!

으악!
‘손’이 제멋대로 움직이기 시작했어요!
이거 설마… 사람도 죽이는 건가봐요!

이제 저는 뭘 어떻게 해야 할까요?
저는 이 무시무시한 ‘손’으로부터 벗어날 수 있을까요?"
