code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20226431,오펜하이머 (Oppenheimer),드라마,장편 | 일반영화 | 드라마 | 미국,2023-07,2023년,크리스토퍼 놀란,킬리언 머피 | 에밀리 블런트 | 맷 데이먼 | 로버트 다우니 주니어 | 플로렌스 퓨 | 조쉬 하트넷 | 케이시 애플렉 | 라미 말렉 | 케네스 브래너,https://www.kobis.or.kr/common/mast/movie/2022/12/thumb_x192/thn_bacae6f1c28249a799ccf6b2b940bef7.jpg,제2차 세계대전 당시 핵무기 개발을 위해 진행되었던 비밀 프로젝트 ‘맨해튼 프로젝트’를 주도한 미국의 물리학자 ‘로버트 오펜하이머’의 이야기
20211796,아수라장: 범털들의 전쟁,범죄(1),"장편 | 일반영화 | 범죄, 액션 | 85분 53초 | 15세이상관람가 | 한국",해당정보없음,2022년,윤여창,정영주 | 안미나 | 배진아,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_b6e2a36cc8854c62af549233f0f157e2.jpg,"강한 자만이 살아남는 지옥, 정애여자교도소

반드시 원칙과 상식이 지켜져야 한다고 믿는
교도소의 왕 범털 ‘황석미’(정영주)

그녀의 군림 아래 평화를 유지하고 있는 정애여자교도소에
규율을 깨뜨리는 신입 ‘한소희’(안미나)가 등장한다

나열된 죄목만 읊어도 2박 3일,
막장 중의 막장 재벌 4세 ‘한소희’의 등장으로
평화를 유지하고 있는 교도소는 점점 아수라장이 되고,
감춰져 있던 비밀이 드러나게 되는데…

2023년 6월,
왕좌를 향한 그녀들의 치열한 전쟁이 시작된다!"
2023C461,에어 포스: 라스트 워 (Air Force The Movie: Danger Close),액션(1),"온라인전용 | 일반영화 | 액션, 전쟁 | 103분 36초 | 기타",해당정보없음,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_28468093516149edbd036df64c8dd86e.jpg,"내전으로 고통에 빠진 나라 남부리.
휴전 중인 중립 지역에서 공군 특수 부대 파스카우가 인도주의 작전을 수행한다.
하지만 총성과 함께 내전이 재개되고, 본국으로 복귀하던 중 적의 미사일 공습에 격추된다.
가까스로 탈출한 파스카우는 내전의 한가운데에 고립되고
살아서 돌아가기 위해 처절한 사투를 벌인다.
한편 정부는 위기에 빠진 파스카우를 구하기 위해
최정예 파일럿으로 구성된 구조대를 파견하는데...."
20232446,와일드캣 (Wildcat),전쟁(2),"장편 | 예술영화 | 전쟁, 액션, 범죄 | 92분 40초 | 15세이상관람가 | 미국",2023-07-06,2021년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_4b8db8a21dd0400783266c2702dff8fa.jpg,"전장에서 느낄 수 있는 고통의 한계치...
극복하지 못한다면 절대 살아남을 수 없다!

이라크 모술에서 외신 기자로 활동하는 카디자는 군 호송대를 따라 이동하던 중 테러 공격을 받는다.
생존자는 카디자와 해병대원 루크 단 2명. 미군의 정보를 캐려는 테러 집단에 둘은 납치되어
고문전문가에게 상상하기 힘든 고문을 당하게 되고, 정신적 육체적 인간의 고통 한계치를 시험 받는다.
무한의 고통에서 벗어날 길은 둘뿐이다. 조국을 버리거나 탈출하거나. 이제 생존을 위한 그들의 선택이 시작된다."
20232273,인디아나 존스: 운명의 다이얼 (Indiana Jones and the Dial of Destiny),어드벤처(1),"장편 | 일반영화 | 어드벤처, 액션 | 154분 17초 | 12세이상관람가 | 미국",2023-06-28,2023년,제임스 맨골드,해리슨 포드(인디아나 존스),https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_f7ba6aee45314df4ae7c6d70abf9aba8.jpg,"모험의 또 다른 이름, 마침내 그가 돌아왔다

1969년 뉴욕
전설적인 모험가이자 고고학자 ‘인디아나 존스’ 앞에
대녀 ‘헬레나’와 오랜 숙적 ‘위르겐 폴러’의 세력이 등장한다.

그들의 목표는 단 하나, 운명의 다이얼.
역사의 흐름을 바꿀 수 있는 다이얼을 차지하려는 쫓고 쫓기는 위협 속에
‘인디아나 존스’는 전 세계를 무대로 하는 새로운 모험에 뛰어드는데…

“난 평생 이걸 찾아 헤맸어”
끝나지 않은 모험, 전설은 영원하다"
20231781,애스터로이드 시티 (Asteroid City),드라마,장편 | 일반영화 | 드라마 | 105분 0초 | 12세이상관람가 | 미국,2023-06-28,2023년,웨스 앤더슨,제이슨 슈왈츠먼 | 스칼렛 요한슨 | 톰 행크스 | 제프리 라이트 | 틸다 스윈튼 | 브라이언 크랜스톤 | 에드워드 노튼 | 애드리언 브로디 | 리브 슈라이버 | 홉 데이비스,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_a8547ec1b51643ada893c59bb9e37dcf.jpg,"할리우드 대표 비주얼리스트 웨스 앤더슨 감독의 신작으로, 가상의 사막 도시 ‘애스터로이드 시티’에 모인 이들이 우연한 사건으로 인해 도시에 격리되면서 벌어지는 이야기"
20231546,어디로 가고 싶으신가요 (Where Would You Like to Go?),드라마,장편 | 독립영화 | 드라마 | 103분 44초 | 12세이상관람가 | 한국,2023-07-05,2023년,김희정,박하선 | 김남희 | 전석호 | 문우진,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_f369fe450cf0424693b2e89a62060021.jpg,"어느 봄날, 갑작스러운 사고로 남편인 ‘도경’을 잃은 ‘명지’는
슬픔에서 벗어나기 위해 폴란드 바르샤바로 잠시 떠난다.
하지만 ‘도경’의 소식을 모르는 대학 동창 ‘현석’과의 재회에
‘명지’는 낯선 곳에서 불쑥불쑥 남편과의 추억을 마주하게 되는데…

한편, 같은 사고로 단짝 친구인 ‘지용’과 이별한 ‘해수’는
곳곳에 남겨진 친구의 빈자리를 느끼며
하나뿐인 동생을 잃고 몸이 마비된 ‘지용’의 누나 ‘지은’을 돕는다.
그러던 중 ‘해수’는 ‘지은’에게 새 편지지와 함께 ‘명지’의 주소를 건네는데…

홀로 남겨진 나와 당신에게 들려주고 싶은
다정한 말 한마디
“어디로 가고 싶으신가요”"
20232575,욕망의 그림자 (Shades of Desire),범죄(1),"장편 | 일반영화 | 범죄, 스릴러 | 91분 34초 | 청소년관람불가 | 미국",해당정보없음,2023년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_bd2546374883468f82cff74d51053adb.jpg,"""제니퍼는 예전에 빌렸던 사채업자에게 한 번에 돈을 갚으라는 갑작스러운 통보를 받는다.
갑자기 돈을 구할 수 없던 제니퍼는 연락을 끊었던 쌍둥이 여동생 오브리를 찾아가고 오브리는 탐탁지 않지만 제니퍼를 도와주며 며칠 머물러 있게 허락한다.
하지만 다음 날 아침 일찍 출근하기로 한 오브리가 사라지고 제니퍼는 오브리의 실종에 대한 단서를 찾기 위해 오브리인 척하며 그 집에 며칠 더 머무른다."""
20231455,익스트림 페스티벌 (Extreme Festival),코미디(1),"장편 | 독립영화 | 코미디, 드라마 | 93분 34초 | 12세이상관람가 | 한국",2023-06-07,2022년,김홍기,김재화 | 조민재 | 박강섭,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_d69fcfd5ca884226b3939e94ef4c3634.jpg,"개최 일주일 전 갑자기 정종 문화제에서 연산군 문화제로 바뀐 망진의 지역 축제.
스타트업 대표 ‘혜수’는 축제를 무사히 진행시키기 위해 고군분투한다.
그런데! 무늬만 이사 ‘상민’은 퇴사한 직원 ‘래오’를 알바로 데려오고,
축제 당일 현지에서 뽑은 인턴 ‘은채’는 과하게 열정적이다.
설상가상…! 축제의 막이 오르기 직전
객석은 텅 비고, 초대가수는 펑크 나고, 지역 극단은 보이콧을 선언하는데…
맘대로 되는 게 하나도 없는 이 죽일 놈의 축제

그래도 축제는 계속돼야 한다! 반드시!"
20224579,악마들,액션(1),"장편 | 일반영화 | 액션, 스릴러 | 105분 33초 | 청소년관람불가 | 한국",2023-07-05,2022년,김재훈,장동윤 | 오대환 | 최귀화 | 장재호,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_b0980b579d93414eb4729311fa0f13e9.jpg,"“나한테 대체 무슨 짓을 한 거야?”

아무런 동기도, 흔적도 없이 이어지는 연쇄 살인.
살인마의 손에 소중한 동료이자 가족을 잃은 형사 ‘재환’은
증오에 휩싸여 그의 뒤를 쫓는데 몰두한다.

어느 날, 살인마 ‘진혁’과 추격전 끝에 병실에서 눈을 뜬 ‘재환’.
알 수 없는 이유로 ‘진혁’과 몸이 뒤바뀐 것을 확인하고,
‘진혁’은 가족을 인질 삼아 ‘재환’을 협박한다.

결국 살인마의 몸으로 살인마를 잡기 위해
다시 한번 목숨 건 추격을 시작하는 재환.

“아니, 진짜 게임은 지금부터야.”"
