code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20232643,지울 수 없는 기억 (Indelible Memories),멜로/로맨스(2),"장편 | 일반영화 | 멜로/로맨스, 드라마, SF | 98분 17초 | 전체관람가 | 일본",해당정보없음,2022년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"거리에서 즉흥 연기를 선보이는 배우 지망생 준이치는 어느 날 다른 공연자들의 다툼에 휘말려 부상을 입는다. 이를 발견한 인디 뮤지션 유이는 그를 병원으로 데려가고 우연으로 만난 두 사람은 서로에게 점차 끌리기 시작한다. 그렇게 서로의 마음이 깊어지던 중 어느
날 준이치가 갑작스레 사라져버린다. 그가 사라진 후 2 년 동안 준이치를 찾아 헤맨 유이. 그런 그녀 앞에 준이치 의 기억을 갖고 있다고 말하는 사람이 나타난다."
20232626,잠들 수 없는 함성 4.3항쟁,다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 56분 0초 | 한국,해당정보없음,1999년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"이 작품은 제주4.3항쟁을 민중항쟁의 시각으로 다룬 유일한 독립다큐멘터리이다. 이 작품은제주사람들의 정서를 통해 그동안 억눌리고, 은폐되어 말할 수 없었던 4․3의 원인과 성격, 피해의 참혹성을 민중항쟁의 시각에서 그려내고 있다. 뒷부분에 와서 무려 16분에 걸쳐 스크롤되는 1만 5천명의 4․3희생자의 명단은 이 영화에서 압권이다. 이 작품은 영상작품에 대해서 국가보안법 위반으로 문제가 되기도 했으나 오랜 법정투쟁 끝에 무죄를 선고 받았다."
20227891,지옥만세 (Hail to Hell),어드벤처,장편 | 일반영화 | 어드벤처 | 109분 0초 | 한국,해당정보없음,2022년,임오정,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"학창 시절 내내 왕따와 학교 폭력에 시달려 온 나미와 선우는 같은 반 아이들이 수학여행을 간 사이 자살을 시도한다. 여기까지 들으면 우리는 무언가 견디기 어려운 비극을 예상하게 되지만, <지옥만세>라는 이 엉뚱 발랄한 엇박자의 영화는 예측을 불허한다. 어리숙하면서도 우스꽝스러운 자살 실패 이후, 두 사람은 자신들을 가장 괴롭혔고 지금은 서울에서 행복하게 살고 있는 채린을 찾아 복수하려 한다. 하지만 복수도 실패할 위험에 처한다. 어처구니없게도 종교에 귀의한 채린이 너무도 선한 사람으로 변해 버렸다! 이제 어떻게 해야 할 것인가? <지옥만세>는 발칙한 기획력과 상상력을 겸비한 이야기꾼이 솜씨 좋게 탄생시킨 매혹의 모험극이자 아이러니한 도덕극이다."
20228571,작은정원 (Little Garden),다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 86분 13초 | 전체관람가 | 한국,2023-07-12,2022년,이마리오,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_1c2e1442006943e2a38a0f4ad7bb88ae.jpg,"“평균 나이 75세, 영화 좀 찍는 언니들이 온다!”

강릉의 대표적인 구도심 명주동의 이웃 모임 ‘작은정원’ 언니들은
3년간 배워오던 스마트폰 사진에서 한발 더 나아가 영화를 찍기로 마음먹는다.
평균연령 75세, 마음처럼 몸이 따라주지는 않지만 그래도 재미있다.
그렇게 만들어진 단편극영화 <우리동네 우체부>가
영화제에 초청이 되고 수상을 하기도 한다.
그렇다면 이제부터는 다큐멘터리 영화 만들기이다!

과연 언니들은 다큐멘터리를 완성할 수 있을까?"
20231691,좀비 사용 설명서 (Brain Freeze),공포(호러)(1),"장편 | 예술영화 | 공포(호러), 코미디 | 91분 14초 | 15세이상관람가 | 캐나다",2023-07-19,2021년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_af4d54c1a173465090f378dd24a1dff6.jpg,"제40회 브뤼셀판타스틱영화제 공식 초청!
[워킹 데드][기묘한 이야기] 제작진표 좀비 액션 코미디!

좀비인데 물에 반응하고 광합성을 즐기며,
심지어 신체에 풀이 자라기까지 한다?!

갑자기 이상한 좀비 떼가 거리를 활보하자
정부는 공작섬을 봉쇄하는데…

공작섬에 갇힌 생존자들!
본인만의 좀비 사용법을 익혀 탈출하라!"
20239967,"자우림, 더 원더랜드 (JAURIM, the Wonderland )",다큐멘터리,장편 | 독립영화 | 다큐멘터리 | 78분 52초 | 전체관람가 | 한국,2023-06-07,2023년,김지환|허민,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_69b9e8c26f2446a18eff282399454554.jpg,"대한민국 최고의 밴드 자우림은 데뷔 25주년을 맞이하여 117명의 팬들이 코러스로 참여하는 특별한 앨범을 만든다.
그리고 25년 기념 콘서트를 준비하게 되는데... 1997년 데뷔한 자우림의 세계관과 개인적인 에피소드들, 위기의 순간과 자우림 음악의 핵심인 ‘청춘’에 대한 진심 어린 이야기까지
어디에서도 볼 수 없었던 자우림의 솔직한 면모를 함께 들여다본다."
20232504,전원 (Pastorale),드라마,장편 | 일반영화 | 드라마 | 95분 0초 | 러시아,해당정보없음,1976년,오타르 이오셀리아니,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"클래식을 연주하는 젊은 연주자들이 작은 시골 마을에 도착한다. 낯선 사람들이 신기한 마을 사람들은 연주자들을 호기심 어린 눈으로 바라보고, 연주자들은 농촌 마을의 분위기에 조금씩 적응한다. 조지아 농촌 마을의 느긋하고 넉넉한 분위기가 깊은 인상을 남기는 작품."
2023C862,작전명 엄마야 (Surrogate Mom),코미디,온라인전용 | 일반영화 | 코미디 | 97분 41초 | 몽고,해당정보없음,2015년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"란착 부부는 아이를 가지지 못해 대리모를 구하고, 잡자는 빚을 갚기 위해 대리모가 된다. 다행히 인공 수정이 성공적으로 끝나고 잡자는 란착 부부의 집으로 들어가 함께 지내게 된다. 이후 잡자가 사기죄로 감옥에 갈 위기가 빠지자 란착 부부는 전재산을 털어 대신 빚을 갚아준다. 계속해서 일어나는 사건 사고 속에 란착 부부는 과연 무사히 아이를 만날 수 있을까?"
20224667,잠 (Sleep),미스터리,장편 | 일반영화 | 미스터리 | 한국,해당정보없음,2022년,유재선,정유미 | 이선균,https://www.kobis.or.kr/common/mast/movie/2022/04/thumb_x192/thn_9dce760740ad41cf8ed459377be48b7d.jpg,"행복한 신혼부부 현수와 수진을 악몽처럼 덮친 남편 현수의 수면 중 이상행동, 잠드는 순간 시작되는 끔찍한 공포의 비밀을 풀기 위해 애쓰는 두 사람의 이야기를 그리는 영화"
2023C842,정무문: 더 파이널 (Fists Power),액션,온라인전용 | 일반영화 | 액션 | 94분 2초 | 중국,해당정보없음,2021년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_fa1a19774872470da3e544c50b782309.jpg,시대의 절대 1인자 진진! 태극권의 액션 신화가 시작된다!
20226533,"좋.댓.구 (I Haven't Done Anything,)",코미디,장편 | 독립영화 | 코미디 | 80분 11초 | 15세이상관람가 | 한국,2023-07-12,2023년,박상민,오태경,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_88a63093267f4cddb3bd68b9e2cb24ff.jpg,"영화 <올드보이> ‘오대수’ 아역으로 이름 좀 날렸던 배우 오태경(오태경).
점차 대중에게 잊혀져 가던 그가
일진 참교육부터 산낙지 먹방까지
시키는 건 뭐든 다 하는 구독자의 노예 ‘리틀 오대수’가 되어 컴백을 꿈꾼다.

구독자 1만 명 돌파 기념 라이브방송에서 고액의 후원금과 함께 접수된 소원은
청계광장에서 종일 피켓을 들고 있는 남자의 사연을 알아내달라는 것.
갖은 노력 끝에 피켓남의 숨겨진 사연을 파헤치게 되고,
구독자는 순식간에 50만명을 돌파한다.

‘떡상 유튜버’로 전성기를 누릴 꿈에 부푼 날들도 잠시,
그가 밝힌 피켓남의 사연이 한순간에 ‘주작’ 논란에 휩싸이며
상황은 예기치 못한 방향으로 폭주하기 시작하는데…!

도대체… 누구냐 넌!
세상을 떠들썩하게 만든 ‘주작’ 유튜버의 정체가 궁금하다면!
좋아요·댓글·구독 +알람설정까지 plz"
20070303,조디악 (Zodiac),범죄(2),"장편 | 일반영화 | 범죄, 드라마, 스릴러 | 156분 0초 | 15세이상관람가 | 미국",2006년,개봉,데이빗 핀처,제이크 질렌할(로버트 그레이스미스) | 마크 러팔로(수사관 데이빗 토스키) | 로버트 다우니 주니어(폴 에이브리),https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_c23c13e51c014e10ad4dd93553190b15.jpg,"1969년 8월 1일, 샌프란시스코의 3대 신문사인 샌프란시스코 크로니클, 샌프란시스코 이그재미너, 발레호 타임즈 헤럴드 앞으로 한 통의 편지가 배달된다.
""친애하는 편집장께, 살인자가 보내는 바요…""라는 문장으로 시작하는 이 편지에는 1968년 12월 20일 허만 호숫가에서 총에 맞아 살해된 연인, 1969년 7월 4일 블루 락 스프링스 골프코스에서 난사 당해 연인 중 남자만 살아남았던 사건이 자세하게 서술되어 있었다. 그가 편지에 적힌 단서들은 사건을 조사한 사람 혹은 범인만이 알 수 있는 사실이었다.

신문사의 업무는 일대 마비가 된다. 희대의 살인마 잭 더 리퍼 이후 언론에 편지를 보내 자신의 신원에 대한 단서를 던지며 경찰을 조롱하는 살인범은 처음이기 때문. 범인은 함께 동봉한 암호문을 신문에 공개하지 않으면 살인을 계속하겠다고 협박한다. 그리스어, 모스 부호, 날씨 기호, 알파벳, 해군 수신호, 점성술 기호 등 온갖 암호로 뒤범벅된 이 암호문을 풀기 위해 CIA와 FBI, NIA, 해군정보부, 국가안전보장국의 전문가들이 동원되지만 풀리지 않았다. 신문에 게재된 이후 어느 고등학교의 교사 부부가 암호를 풀어 범인에 대한 실마리를 제공한다. 이어 샌프란시스코 크로니클의 삽화가이자 암호광인 로버트 그레이스미스(제이크 질렌할)가 1932년에 만들어진 영화 <가장 위험한 게임(The Most Dangerous Game)>을 참조해 살인의 숨겨진 동기를 해독하게 된다. 경찰은 범인이 자신의 별명을 '조디악'이라고 밝히자 그를 '조디악 킬러'라고 명명하고 수사에 착수한다.

조디악 킬러의 편지와 협박이 이어지는 가운데, 1969년 9월 27일 나파 카운티에서 젊은 연인이 두건을 쓰고 총과 칼로 무장한 채 나타난 조디악 킬러에게 습격 당해 여자는 칼에 찔려 살해되고 남자는 죽음의 문턱에서 살아남는 사건이 발생한다. 한 달 후인 10월 11일, 프레시디오 하이츠 부근에서 택시운전사가 총에 맞아 사망하고 3일 후 조디악은 이 역시 자신의 짓이라며 택시운전사의 셔츠조각과 함께 다섯 번 째 편지를 보낸다. 그러나 그 편지는 이제껏 보낸 어떤 편지보다도 끔찍하고 섬뜩한 내용을 담고 있었다. 사건 당일 경찰이 자신을 검거할 수 있었을 뿐만 아니라, 다음에는 스쿨버스에서 내리는 학생들을 기다렸다가 죽이겠다는 것.
샌프란시스코는 말 그대로 공포에 싸인 도시로 변한다.

사건은 커져만 가고, 그레이스미스와 크로니클의 간판기자 폴 에이브리(로버트 다우니 주니어), 샌프란시스코 경찰청 강력계 경위 데이빗 토스키(마크 러팔로)와 윌리엄 암스트롱 경위(안소니 에드워즈)는 수사를 진행할수록 사건에 집착하게 된다.

""…언제 살인을 할 것인지에 대해 더 이상 그 누구에게도 말하지 않겠다.
앞으로 저지를 살인은 단순강도나 우발적인 살해, 사고 등으로 보일 것이다.
너희들은 날 잡지 못한다. 난 너희보다 영리하니까…""
-1969년 11월 9일, 조디악 킬러의 일곱 번째 편지-

하지만 조디악은 추적 망을 피해 더 많은 협박을 담은 편지를 통해 조롱을 퍼부으면서 언제나 한 발 앞서 있었다. 그리고 범인이 보낸 편지들은 그레이스미스, 에이브리, 토스키, 암스트롱, 네 명의 인생을 뒤집어 놓는다. 집요하게 조디악 킬러를 쫓던 그레이스미스의 결혼생활은 엉망이 되고 토스키는 자작극의 루머까지 뒤집어 쓰며 불명예를 당한다. 암스트롱은 좌절한 채 수사를 포기하고 에이브리는 약물중독으로 폐인이 되어 신문사를 떠났다.

조디악은 더 이상 공격 대상을 밝히지 않았다. 모방범죄가 전국에서 속출했고 유력 용의자는 거리를 활보했다.
시간이 흘러 사람들의 기억 속에 조디악의 존재가 잊혀져 가고 있다.
그러나 그레이스미스는 범인의 추격을 포기하지 않았다."
20225880,잔고: 분노의 적자 (Jango: Uncharged),기타,장편 | 독립영화 | 기타 | 109분 0초 | 한국,해당정보없음,2022년,백승기,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"가난하지만 영화감독이 꿈인 잔고는 배우가 꿈인 동생 잔디와 자신의 꿈을 위해 택배를 하며 열심히 살아간다. 끼니까지 거르며 열심히 영화 만들 돈을 모은 잔고 그러나 유명 연예 기획사에 들어갈 수 있는 기회가 생긴 절실한 동생 잔디를 위해서 전 재산을 내어준다. 그럼에도 불구하고 보내야 하는 돈은 계속해서 늘어나고 잔고의 잔고는 적자가 되고 만다. 결국 큰 빚을 지고 노예로 전락해 어디론가 끌려가는 잔고. 그리고 그의 앞에 무자비한 현상금 사냥꾼 닥터 솔트가 나타나며 잔고는 각성한다. 그렇게 분노의 적자, 잔고의 모험이 시작된다."
20231937,제이홉 인 더 박스 (j-hope IN THE BOX),다큐멘터리,장편 | 일반영화 | 다큐멘터리 | 86분 4초 | 12세이상관람가 | 한국,2023-06-16,2023년,박준수,정호석,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_fe9c1d3e61d4495cb827bfc38ab3d8df.jpg,"BTS 10th Anniversary FESTA를 맞이하여,
전 세계 극장에서 개봉하는 제이홉 솔로 다큐멘터리.
다 같이 모여, 영화관 큰 스크린으로 즐기는 축제!

I'm your HOPE. You're my HOPE. I'm j-hope.
판도라 상자 안 가장 깊숙한 곳, 마지막으로 남은 것은 희망.
2022년 7월 31일 미국 시카고, 세계 최대 뮤직 페스티벌 ‘롤라팔루자’에 제이홉은 솔로 아티스트로서,
대한민국 뮤지션 최초로 메인 스테이지 헤드라이너로 무대에 섰다.
춤밖에 모르던 정호석에서 세계적인 그룹 방탄소년단의 메인 댄서이자 래퍼가 된 제이홉.
‘Dynamite’와 ‘Butter’의 대대적인 성공 이후, 그는 첫 공식 솔로 앨범 작업을 시작한다.
솔로 아티스트로서의 정체성에 대한 고민과 불안이 불현듯 밀려들지만,
제이홉은 자신에 대한 용기와 믿음, 춤과 음악 그 자체를 즐기는 긍정의 힘으로,
이제 상자 밖으로 나와 세상을 맞이하기 위한 준비에 나선다.
‘Jack In The Box’의 제작기와 리스닝 파티, ‘롤라팔루자’의 공연 준비부터 무대 위 비상하는 모습까지
200여 일간 아티스트 제이홉의 일상의 기록을 담아낸 다큐멘터리."
2023C806,적인걸: 절대병기의 비밀 (The Imperial Prosecutor: Arms hijacking case),액션,온라인전용 | 일반영화 | 액션 | 98분 36초 | 중국,해당정보없음,2021년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_5ae5bc889e34437582ce0406076e5e6e.jpg,"천재 수사관이 돌아왔다!

무안 변경 지역에서 비밀 무기 '늑대의 이빨'이 도난 당하는 사건이 발생한다. 이 사건을 해결하던 적인걸은 도난 사건에 변경 수비군 수장이 연루된 사실을 알아내는데......"
20232318,제복의 처녀 (Girls in Uniform),드라마,"장편 | 일반영화 | 드라마 | 95분 0초 | 프랑스, 독일",해당정보없음,1958년,,릴리 팔머 | 로미 슈나이더,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"1910년 베를린. 홀어머니가 죽어 고아가 된 사춘기 소녀 마누엘라 폰 마인하르디스는 엄격한 학칙으로 악명 높은 포츠담의 명문 여학교 졸업반에 보내진다. 마누엘라는 여학교의 교장과 대부분의 교사들이 보여주는 군국주의적인 태도에 금세 질려버리지만, 얼마 지나지 않아 자신뿐만 아니라 모든 학생들을 따뜻하게 아끼는 친절한 여교사 엘리자베스 폰 베른베르크의 눈에 들게 된다. 엘리자베스는 마누엘라에 특별한 관심을 갖고 엄격한 새로운 환경에 적응하도록 도와주려고 애쓰고, 마누엘라 역시 점차 선생과 가까워진다. 곧 선생에 대한 마뉴엘라의 감정은 격렬한 사랑으로 이어지고, 학교 연극의 뒤풀이 자리에서 술에 취한 마누엘라가 모두의 앞에서 엘리자베스 선생에 대한 사랑을 고백하면서 파국이 벌어진다."
20070184,줄 위의 종달새 (Skylarks on the String),드라마,장편 | 예술영화 | 드라마 | 94분 0초 | 15세이상관람가 | 프랑스,2007-05-17,1969년,이리 멘젤,블라스티미 브로드스키 | 루돌프 루신스키,https://www.kobis.or.kr/common/mast/movie/2011/12/thumb_x192/thn_c27706e6aea34e7b96dca047870413d0.jpg,"요리사 파벨은 종교적 이유로 토요일 노동을 거부해 해고된 뒤, 폐철처리장에서 일하게 된다. 폐철처리장 한편에는 체코에서 탈출하려다 붙잡힌 여자 죄수들이 일을 하고 있다. 경비원의 감시하에 남, 여 그룹은 서로 엄격하게 분리되어 일을 하고 있다. 그러나 감시와 통제에도 불구하고 파벨은 아름다운 아가씨 이트카와 사랑에 빠지고, 두 사람은 감시를 피해 만남을 갖기 시작한다. 그리고 몰래 결혼까지 약속하게 되는데..."
20113204,자유의 환영 (The Phantom of Liberty),코미디,장편 | 일반영화 | 코미디 | 104분 0초 | 청소년관람불가 | 프랑스,해당정보없음,1974년,루이스 브뉘엘,,https://www.kobis.or.kr/upload/up_img/2011/10/thumb_x192/thn_mov_I16AEI_20111031145744_1.jpg,"공산주의라는 유령이 부르주아를 두렵게 만든다고 말했던 칼 마르크스와는 달리 부뉴엘은 20세기 후반 부르주아를 가장 두려움에 떨게 만드는 게 자유라는 환영이라고 말한다. 1808년 프랑스군에 저항하다 학살된 스페인 혁명가들의 주검과 1970년 파리 부르주아들의 부조리한 삶을 연결시키면서 부뉴엘은 <부르주아의 은밀한 매력>에 이어 부르주아 계급의 가치, 질서의 몰락을 또 한번 코믹하게 묘사한다. 10개 남짓한 에피소드로 이루어진 영화는 꼬리에 꼬리를 물고 이어지며 초현실적인 분위기를 자아낸다."
20212937,제로웨이스트 (ZERO WASTE),다큐멘터리,장편 | 독립영화 | 다큐멘터리 | 71분 0초 | 한국,2023,2021년,김동현,,https://www.kobis.or.kr/common/mast/movie/2023/04/thumb_x192/thn_142f0ac7bc9f46d1b7aa57f1ef97e20f.jpg,"제로웨이스트 삶을 실천하기위해 고군분투하는 6명의 환경 실천가들의 일상을 담는다. 제주도에 거주하며 쓰레기 줍는 변수빈을 시작으로 코로나 19 이후 폐기된 수  많은 마스크로 보물을 만든 아티스트 김하늘을 통해 우리가 생각하는 플라스틱 폐기물에 대한 인식 변화도 살펴본다.
이외에도 각자의 삶에서 환경 실천을 위해 노력하는 다양한 이들을 조명하여 그들이 실천하고 있는 제로웨이스트 삶은 과연 어디까지 가능한지 성찰 해본다."
20231261,쥬라기 어드벤처: 비밀의 문 (The Adventures of Jurassic Pet: The Lost Secret),어드벤처(2),"장편 | 일반영화 | 어드벤처, 가족, SF | 75분 35초 | 전체관람가 | 미국",해당정보없음,2023년,라이언 벨가드,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_5610defeb302456e907630d1521a6032.jpg,"보름달이 뜨는 날이면
단 하루 동안 공룡들의 세계가 열린다!

할머니를 따라 공룡 세계로 들어간
모험심 강한 소녀 ‘웬디’와 호기심 많은 소년 ‘커티스’는
그곳에서 만난 꼬마 공룡 ‘주니어’와 친구가 된다!

그런데 말썽꾸러기 ‘주니어’가 인간 세계로 넘어오고,
다시 문이 열리기 전까지 무사히 지켜 주어야 하는데...
‘주니어’와 즐거운 한 때도 잠시!
사악한 악당들의 무시무시한 계획을 알게 되고
설상가상 ‘주니어’까지 납치되자 ‘웬디’와 ‘커티스’는 멘붕에 빠지는데…

상상이 현실이 되는 비밀스러운 모험이 시작된다!"
20231738,적인걸:음양미인도 (A Sleeping Princess),액션,장편 | 일반영화 | 액션 | 81분 34초 | 15세이상관람가 | 중국,해당정보없음,2020년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_2a121e3ecba5496da31b6ad5a3f957bb.jpg,"'음양벽화'는 서부 지역 둔황의 신비한 '음양벽화' 이야기를 주로 다루고 있으며, 기이한 유령들이 잦은 살인 사건으로 이어지고 있다. Dali Temple Shaoqing Qi Ling은 사건을 철저히 조사하라는 명령을 받았지만 무서운 음모에 연루되어 모함을 받고 눈이 멀었고 목숨을 구하기 위해 유령 시장으로 호송되었습니다."
2023C625,지옥갱 (BUNKER),전쟁(2),"온라인전용 | 일반영화 | 전쟁, 공포(호러), 액션 | 107분 26초 | 미국",해당정보없음,2022년,애드리언 랭글리,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_a54ab79b12a94770a287927fedb5f030.jpg,"1차 세계대전 중 땅속에 갱도를 파듯 만들어진 의문스런 벙커에 갇힌 한 무리의 미국과 영국 군인들. 서서히 서로를 믿지 못하고 경계하게 만드는 불순한 존재에 직면한다. 그들 사이에 편집증과 두려움이 커지고 결국 죽고 죽이는 갈등이 폭발한다, 그리고 군인들은 벙커에 숨어서 도사리며 먹이를 노리고 있는 진정한 악마와 직면한다."
20231198,전봇대 소년의 모험 (The Adventure of Denchu Kozo),SF(3),"장편 | 일반영화 | SF, 액션, 공포(호러), 판타지 | 45분 49초 | 청소년관람불가 | 일본",해당정보없음,1987년,츠카모토 신야,후지와라 케이지 | 타구치 토모로오,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_d34e82d9c0c54619b3d56946dba652f8.jpg,"등에 전봇대가 난 소년이, 강철 흡혈귀가 지배하는 가까운 미래의 세계로 타임 슬립한다.
미래에서 전봇대 소년을 기다리고 있던 수수께끼의 여교사 살리바 선생.

전봇대 소년은 살리바 선생과 함께 흡혈 그룹이 만들고 있는
초대형 암흑 병기가 완성되는 것을 막으러 대모험에 나선다."
2023C542,적인걸: 수리검의 비밀 (The Imperial Prosecutor: Corruption case),액션,온라인전용 | 일반영화 | 액션 | 95분 52초 | 중국,해당정보없음,2022년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,다시 돌아온 적인걸의 액션이 펼쳐진다!
20231637,줄리아의 인생극장 (The Vortex of Life),드라마(1),"장편 | 예술영화 | 드라마, 멜로/로맨스 | 120분 34초 | 12세이상관람가 | 프랑스",2023-05-24,2022년,올리비에 트레네,루 드 라쥬,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_e616e7e84b5c473bbb4d2866dfc50785.jpg,"그래, 결심했어!
그녀의 선택은?

2052년 파리. 80세의 줄리아는 생을 만끽했다.
인생은 매 순간 우연의 연속이었고, 인생은 드라마틱하게 흘렀다.

만일 그날 여권을 잊어버리지 않았다면!
서점에서 책을 떨어뜨리지 않았다면!
스쿠터 운전을 하지 않았더라면!

매 순간 사소한 일상의 조각들이 줄리아의 인생을 휘젓는다."
20231688,조인트 (Joint),범죄(3),"장편 | 일반영화 | 범죄, 스릴러, 드라마, 액션 | 114분 32초 | 15세이상관람가 | 일본",해당정보없음,2021년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_4672cbfa41f245888215f86b474697f2.jpg,"출소 후 도쿄로 돌아온 사기꾼 '이시가미 다케시'는 제대로 살기를 결심했지만,
어두운 지하세계를 완벽하게 벗어나기 위해 개인 정보 목록을 이용한 사기 등록 사업을 다시 시작한다.
사업이 성장함에 따라 지하세계에서 멀어지는 자신을 발견하지만 그를 주시하던 악의 세력들이
그를 점점 어둠 속으로 몰아넣는데…"
20218685,작은새와 돼지씨 (Small Bird and Mr. Pig),다큐멘터리,"장편 | 예술,독립 영화 | 다큐멘터리 | 76분 18초 | 전체관람가 | 한국",2022-08-25,2021년,김새봄,김춘나 | 김종석 | 김새봄,https://www.kobis.or.kr/common/mast/movie/2022/08/thumb_x192/thn_de6fdf0d5a2a4837ba2d1f006f5376c3.jpg,"그림을 그리는 ‘작은새’ 김춘나와 시를 쓰는 ‘돼지씨’ 김종석,
삶을 위로하는 일상 속의 예술이 펼쳐진다.
소녀 감성의 작은새와 흥도 많고 호탕하지만 눈물 많은 돼지씨는
연애 시절 시처럼 감미로운 손편지로 사랑을 속삭였다.
이들은 어느덧 황혼의 부부가 되어 글과 그림에 담아낸다."
2023C262,자이언트 스네이크 (Rising Boas in a Girl's School),액션(1),"온라인전용 | 일반영화 | 액션, 어드벤처 | 87분 28초 | 중국",해당정보없음,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_0948abf786c2416f9f3f90d28e4fe8c2.jpg,"거대한 놈이 나타났다!

유전자 변이로 태어난 거대 뱀이 근처의 항공 학교를 공격하고
절체절명의 상황에 처한 류차오는 학생들을 구하기 위한 사투를 벌인다."
2023C361,적인걸:해골요괴 살인사건 (Detective Di Skeleton General),액션,온라인전용 | 일반영화 | 액션 | 77분 27초 | 중국,해당정보없음,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/04/thumb_x192/thn_89881ddaa5364819835e886c39489aa7.jpg,"제한된 시간 3일, 요괴의 정체를 밝혀라!"
20231089,존 윅 4 (John Wick: Chapter 4),액션,장편 | 일반영화 | 액션 | 169분 5초 | 청소년관람불가 | 미국,2023-04-12,2023년,채드 스타헬스키,키아누 리브스 | 로렌스 피쉬번 | 이안 맥쉐인 | 빌 스카스가드 | 견자단,https://www.kobis.or.kr/common/mast/movie/2023/04/thumb_x192/thn_30be7bc08e504eaab8cd9545aa64749d.jpg,"죽을 위기에서 살아난 ‘존 윅’은 ‘최고 회의’를 쓰러트릴 방법을 찾아낸다.
비로소 완전한 자유의 희망을 보지만 NEW 빌런 ‘그라몽 후작’과 전 세계의 최강 연합은
‘존 윅’의 오랜 친구까지 적으로 만들어 버리고, 새로운 위기에 놓인 ‘존 윅’은 최후의 반격을 준비하는데...

레전드 액션 블록버스터 <존 윅>의 새로운 챕터가 열린다!"
