code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20211683,차별 (Discrimination),다큐멘터리,"장편 | 예술,독립 영화 | 다큐멘터리 | 90분 38초 | 전체관람가 | 한국",2023-03-22,2021년,김지운|김도희,,https://www.kobis.or.kr/common/mast/movie/2023/02/thumb_x192/thn_0763d2952e52462b956b5ea042fefdd5.jpg,"2010년부터 실시된 일본의 고교 무상화 정책에서 유일하게 제외된 조선 고급학교 10개교.

무상화 지원금이 재일본조선인총련합회 등에 의해 유용될 의혹이 있다는게 이유다. 이에 반발한 5개교의 조선 고급학교가 2013년 국가를 상대로 손해배상 소송을 청구한다.

70년 넘게 조선학교를 지켜오고 있는 재일동포들, 조선학교 학생들, 변호사들 그리고 조선학교와 함께 하는 사람들의 이야기를 통해 차별을 견디고 자신의 정체성을 지키고자 하는 재일 조선인들의 삶을 들여다본다."
20232146,차선변경-큐폴라를 올려다보며-,기타,장편 | 일반영화 | 기타 | 118분 55초 | 전체관람가 | 일본,2023-07-20,2022년,,무라카미 히로아키,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"주물공장의 아들로 오토바이 레이서의 노히라고우스케는 '상금왕'획득을 눈앞에 두고 라이벌인 도우죠도시유끼와 연습중에 오토바이 접촉을 일으켜 장애를 입게 된다.

그러한 고우스케를 기다리고 있던 것이 폐쇄된 환경과 불쌍히 여기는 세상의 눈이었다.

가와구찌의 주물공장을 계속 지키는 아버지와 가족의 인연을 축으로 서로서로가 안고 있는 여러가지 장애에 맞서가는 모습을 강력한 힘으로 그려낸다."
20190802,차원괴물 엑시엄 (The Axiom),공포(호러),장편 | 예술영화 | 공포(호러) | 98분 44초 | 15세이상관람가 | 미국,해당정보없음,2019년,니콜라스 우즈,,https://www.kobis.or.kr/common/mast/movie/2019/04/thumb_x192/thn_f393d9c4f23d42a09830f60ba049f8c8.jpg,"실종된 여동생 ‘메릴린’을 찾기 위해 ‘신더 국립공원’으로 향한 ‘맥켄지’와 일행들.
‘맥켄지’는 그곳에서 동생의 행적을 아는 유일한 남자 ‘리온’을 만나고,
그의 안내에 따라 일행들과 함께 폐장된 공원 안으로 들어간다.
하지만 공원 안을 살피면 살필수록 이상한 점이 한두가지가 아니고,
불안한 예감대로 그들 앞에 정체불명의 존재들이 하나 둘 나타나는데…

도망쳐라!!
놈들이 쫓아온다!"
19850019,차이나타운 (Chinatown),드라마,장편 | 일반영화 | 드라마 | 85분 0초 | 국민학생관람불가 | 한국,1985-03-23,1984년,박우상,정준,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"차이나타운, 이곳에서 채소 납품을 하고 있는 아버지를 도우며 한국계 클럽과 중국계 클럽이 항상 앙앙불락하는 고등학교에 다니고 있는 한국교포 철이는 한국계 클럽에의 가입을 거절, 한바탕 충돌이 일어나고 이 두 클럽은 공회당의 주도권 싸움으로 한쪽이 밀려나게 된다. 또한 중국계 여학생 리리를 좋아하고 있는 철은 리리를 좋아하는 마번으로부터 결투 신청을 받고 굴복시킨다. 언제부턴가 이곳에서 태권도장을 운영, 태권도를 통해 소수 이민 교포들의 화합을 위해 열심히 뛰는 백사범을 만난 철은 백사범을 돕고 수련하여 리리와의 사랑으로 향수를 달랜다. 그후 클럽의 리더로 추앙된 철은 중구계 리더인 첸의 결투를 받아 들여 어쩔 수 없이 결투를 하지만 결과는 얻은게 없이 화해를 하고 굳게 손을 잡는다. 공회당에 성대한 파티가 벌어진다."
20198887,차이니즈 봉봉(서울편),드라마,"장편 | 예술,독립 영화 | 드라마 | 71분 6초 | 전체관람가 | 한국",해당정보없음,2018년,신인기,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"중식 무한사랑 괴짜 동아리 '차이니즈 봉봉'에 속한 23살 여대생 ""은영"".
동아리 졸업을 위한 마지막 중대한 메뉴 선정 의식을 위해 고민하던 중, 고등학생 시절 자신의 비밀스런 노트에 얽힌 기억을 되짚어 보게 된다.
또래 남자 ""시헌""과의 순수하고 알콩달콩 중식당 투어를 떠올리던 그때, 그 시절 아파했던 자신과 다시 마주하며 점차 성장하는 자신을 발견하는데..
누구나 한 번쯤 아팠을 청춘의 기억!"
20126134,차이니즈 부키의 죽음 (The Killing of Chinese Bookie),범죄(1),"장편 | 일반영화 | 범죄, 드라마 | 135분 0초 | | 미국",해당정보없음,1976년,존 카사베츠,벤 가자라 | 세이무어 카셀,https://www.kobis.or.kr/common/mast/movie/2012/04/thumb_x192/thn_9b7593849ef24c67a5095a225628bce8.jpg,LA의 뒷골목을 배경으로 펼쳐지는 필름 누아르. 작은 클럽을 운영하는 코스모 비텔리는 거액의 노름빚을 탕감받는 조건으로 마피아로부터 청부 살인을 의뢰받는다. 존 카사베츠가 마틴 스콜세지와 함께 구상한 이야기로 <글로리아>와 더불어 갱스터 장르에 관한 카사베츠의 독특한 해석을 확인할 수 있다.
20122843,차이니즈 조디악 (12 Chinese Zodiac Heads),액션(1),"장편 | 일반영화 | 액션, 어드벤처 | 123분 0초 | 12세이상관람가 | 중국",2013-02-27,2012년,성룡,성룡 | 권상우,https://www.kobis.or.kr/common/mast/movie/2013/02/thumb_x192/thn_fe465fe981c74d059a53e33046376d6b.jpg,"전설의 보물을 찾기 위해 전설들이 모였다!!
국보급 보물을 도난 당한지 150여 년이 흐른 현재, 전세계 경매장에서 고액으로 거래되는 12개의 청동상의 행방을 추적하기 위해 세계 최고의 모험가이자 보물 사냥꾼 JC(성룡)와 그의 파트너 사이먼(권상우)가 고용된다. 이들은 아직도 행방이 묘연한 12지신의 청동상 중 나머지 6개의 청동상을 찾기 위해 전세계를 무대로 모험을 시작하는데..."
20217346,차이니즈 조디악 특별판 (12 Chinese Zodiac Heads),액션,장편 | 일반영화 | 액션 | 128분 4초 | 12세이상관람가 | 중국,해당정보없음,2012년,성룡,성룡 | 권상우,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"전설의 보물을 찾기 위해 전설들이 모였다!!
국보급 보물을 도난 당한 지 150여 년이 흐른 현재, 전세계 경매장에서 고액으로 거래되는 12개의 청동상의 행방을 추적하기 위해 세계 최고의 모험가이자 보물 사냥꾼 JC(성룡)와 그의 파트너 사이먼(권상우)이 고용된다. 이들은 아직도 행방이 묘연한 12지신의 청동상 중 나머지 6개의 청동상을 찾기 위해 전세계를 무대로 모험을 시작하는데..."
20204281,차이니즈봉봉(북경편),기타,장편 | 독립영화 | 기타 | 62분 53초 | 전체관람가 | 한국,해당정보없음,2018년,신인기,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,중화요리 매니아 동아리들의 음식 탐구를 그린 영화
20231416,차이콥스키의 아내 (Tchaikovsky's Wife),드라마,"장편 | 일반영화 | 드라마 | 143분 0초 | 러시아, 프랑스, 이탈리아",해당정보없음,2022년,키릴 세레브렌니코프,필리프 아브데예프,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,러시아 역사상 가장 유명한 작곡가 표트르 차이콥스키와 그의 아내 안토니나 밀류코바 사이의 격동의 감정을 보여준다.
