code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20219096,타다: 대한민국 스타트업의 초상 (TADA: A Portrait of Korean Startups),다큐멘터리,"장편 | 예술,독립 영화 | 다큐멘터리 | 91분 6초 | 전체관람가 | 한국",2021-10-14,2021년,권명국,,https://www.kobis.or.kr/common/mast/movie/2021/10/thumb_x192/thn_724c5d8af6584a38853a340c8e9a3d8c.jpg,"타다금지법 이후 6개월간의 악전고투 이야기
""어떻게든 살아남아야 한다!""

한국의 우버로 불리며 폭발적으로 성장하던 모빌리티 플랫폼 타다(TADA).
출시한 지 9개월 만에 100만 유저를 확보하며 승승장구하던 중 택시업계의 반발로 법적 공방에 휘말린다.
뜨거운 논란 속 치러진 1심에서 무죄 판결을 받은 날, 모든 팀원들은 함께 모여 ‘종이컵 와인 파티’로 자축한다.
하지만 그로부터 단 14일 뒤, ‘타다금지법’이 통과됐다는 청천벽력의 소식이 들려오는데...
그들은 이 최악의 위기를 뚫고 타다를 새롭게 부활시킬 수 있을까?

모빌리티 플랫폼 타다의 이야기로 세상에 공개되는
‘스타트업’에 대한 국내 최초의 다큐멘터리 필름"
20198308,타락 도시 (Corrupt City),스릴러,장편 | 일반영화 | 스릴러 | 한국,해당정보없음,2023년,노홍식,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"끝나지 않는 전쟁 ""타락 도시""
추악하게 타락해가는 인간의 군상들
이제부터 타락한 도시를 벌한다."
19959184,타락천사 (Fallen Angels),드라마,장편 | 일반영화 | 드라마 | 99분 16초 | 15세이상관람가 | 홍콩,1995년,개봉,왕가위,여명(황지민) | 이가흔(지민의 파트너) | 금성무(하지무) | 양채니(체리/찰리) | 막문위,https://www.kobis.or.kr/common/mast/movie/2021/01/thumb_x192/thn_fce3c4a60fa64506bf6df4ffce882237.jpg,"킬러가 청부 살인을 하는 동안 그의 파트너는 주인 없는 방에서 침대 시트를 정리하거나 쓰레기를 검사한다. 그들은 동업한 지 155주나 되었지만 한 번도 만난 적이 없다. 킬러는 이제 일을 그만두고 싶지만, 파트너에게 어떻게 말해야 할지 몰라서 다른 방법을 선택한다. 한편, 수감번호 223 하지무는 5살 때 유통기한이 지난 파인애플 통조림을 먹고 말을 잃었다. 밤마다 주인 없는 상점에 무단 침입해 장사하던 그는 어느 날 떠나버린 남자 때문에 힘들어하는 찰리를 만나고 그녀를 도와 밤거리를 헤매기 시작한다."
20140401,타마코 러브 스토리 (Tamako Love Story),애니메이션(3),"장편 | 예술영화 | 애니메이션, 드라마, 코미디, 멜로/로맨스 | 83분 50초 | 전체관람가 | 일본",2014-09-25,2014년,야마다 나오코,스자키 아야 | 타마루 아츠시 | 카네코 유키,https://www.kobis.or.kr/common/mast/movie/2014/08/thumb_x192/thn_535f20a81e9b435fab46ac9ed222cbcb.jpg,"“널 좋아해…”
소년의 오랜 시간 기다린 고백이
소녀의 마음을 움직이기 시작했다!

어려서부터 우사기야마 상점가 안 ‘타마야’떡집의 딸로 자라온 고 3 소녀 타마코는 자나 깨나 ‘떡’과 상점가, 그리고 방과 후 서클 바통부에 대한 생각뿐이다. 그러던 어느 날, 이웃 사촌이자 오랜 시간을 함께 보낸 친한 친구 모치조가 타마코에게 좋아한다고 고백한다. 갑작스러운 고백에 당황한 타마코는 그 자리를 황급히 피해버리고, 그 날 후로 모치조와 어색한 사이가 되어 버린다. 하지만 친구 미도리로부터 모치조가 도쿄의 대학에 진학하기 위해 떠난다는 사실을 알게 된 타마코는 지금까지 자신도 알지 못했던 모치조에 대한 마음을 깨닫게 되는데…"
20196161,타발루가와 얼음공주 (TABALUGA),애니메이션(2),"장편 | 예술영화 | 애니메이션, 어드벤처, 코미디 | 87분 17초 | 전체관람가 | 독일",2020-01-08,2018년,스벤 운터발트 주니어,,https://www.kobis.or.kr/common/mast/movie/2019/12/thumb_x192/thn_48a202d6d9a04ae38ed5ad2b8d090c66.jpg,"그린랜드에 사는 꼬마 용 ‘타발루가’는 진정한 용의 불을 찾기 위해 아이스랜드로 떠나고 그곳에서 얼음공주 ‘릴리’를 만나 둘은 친구가 된다.
한편, 속임수로 아이스랜드를 지배하던 악당 ‘악토스’는 마지막으로 살아남은 용 ‘타발루가’를 없애고 그린랜드까지 차지하려 하는데…

과연, ‘타발루가’와 ‘릴리’는 그린랜드와 아이스랜드를 지켜낼 수 있을까?"
20138106,타부 (Tabu),드라마,"장편 | 일반영화 | 드라마 | 118분 0초 | 포르투갈, 독일, 브라질, 프랑스",해당정보없음,2012년,미겔 고미스,테레사 마드루가 | 로라 소베랄,https://www.kobis.or.kr/common/mast/movie/2013/04/thumb_x192/thn_fd8f63b466ab4a6dac3cd8d822b3f606.jpg,"서로 다른 시간과 장소에서 일어나는 같으면서도 다른 이야기. 17세기, 죽은 아내를 잊지 못하던 아프리카의 탐험가는 스스로 악어에 잡아 먹힌다. 그리고 무대는 21세기의 포르투갈로 넘어와 한 늙은 여인과 그녀의 가정부, 그리고 정 많은 이웃의 이야기를 들려준다."
20151261,타부 : 금지된 사랑 (Taboo : forbidden love),멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 78분 10초 | 청소년관람불가 | 한국,2015-09-03,2015년,고구마,,https://www.kobis.or.kr/common/mast/movie/2015/08/thumb_x192/thn_16dce25dcb974d6a93a9886063e36b1d.jpg,"아이돌 연습생이던 은지는 자신을 스폰 해주던 진태에게 버림받고 친 언니인 선영의 집으로 향한다. 이젠 형부가 되어버린 첫사랑인 준환은 그런 은지를 따뜻하게 받아주지만 선영은 오랜만에 찾아온 은지를 어린애 취급하며 과거 아이돌 연습생을 포기했던 자신의 길을 걸을까 걱정한다.

그 후로도 은지와 선영의 사소한 다툼들이 이어지고 그때마다 준환은 은지를 보듬어주고 위로한다. 준환의 그런 모습에 은지는 준환에게 점점 의지하게 된다. 준환도 회사를 그만둔 사실은 은지에게 고백하며 그들은 그렇게 서로의 마음으로 조금씩 빠르게 스며들기 시작한다. 얼마 후, 선영은 일주일 간 집을 비우고 출장길에 오르고, 출장길에 오르는 날, 은지에게 그간의 다툼에 미안한 마음을 전한다. 쌍둥이 목각인형을 통해 서로의 추억을 공유한 두 사람.

그렇게 단둘만이 남게 된 집안. 과거 준환을 짝사랑했던 은지는 준환의 기사 등을 스크랩한 노트를 준환에게 보여주며 준환의 아픈 상처를 보듬어 주려 한다. 준환도 그런 은지에게 고마움을 느끼며 감추고 숨겨두었던 자신의 마음을 열기 시작한다. 결국 둘은 넘어선 안 될 선을 넘게 되고 일 주간의 뜨거운 여름날을 보내기로 한다. 시간이 지날수록 점점 서로에게 빠져드는 두 사람.

하지만 약속한 일주일이 시간이 다 되어가고 은지는 준환을 갖고 싶은 욕망에 언니를 향한 질투심까지 느끼게 된다..."
20191294,타부:상간녀,멜로/로맨스(1),"장편 | 일반영화 | 멜로/로맨스, 드라마 | 68분 0초 | 청소년관람불가 | 일본",2019-11-28,2018년,쿠로아카 긴조,아야나 리나,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"아내와의 사별후 일주일에 한번씩 찾아와 돌봐주는 며느리에게 흑심을 품은 못된 시아버지. 그녀와의 상간을 꿈꾸던 어느 날, 2층방에서 물건을 찾던 며느리는 시아버지의 대물 사진을 보게 되고, 기회를 잡은 시아버지는 그녀에게 대물을 실제로 맛보여주겠다며 치근대는데, 대물의 맛에서 헤어나질 못하는 며느리"
20188242,타샤 튜더 (Tasha Tudor: A Still Water Story),다큐멘터리,장편 | 예술영화 | 다큐멘터리 | 104분 4초 | 전체관람가 | 일본,2018-09-13,2017년,마츠타니 미츠에,,https://www.kobis.or.kr/common/mast/movie/2018/08/thumb_x192/thn_f8651003e5b042cdbf82f5e18e35e0d9.jpg,"동화 같은 사계절, 마법 같은 타샤의 세계로 초대합니다
전 세계에서 사랑 받는 베스트셀러 동화 작가이자
「비밀의 화원」과 「소공녀」, 백악관의 크리스마스 카드 삽화를 그리고
30만 평 대지를 천상의 화원으로 일구며, 꿈꾸는 대로 살았던 자연주의자 '타샤 튜더'

라이프스타일의 아이콘, 타샤가 직접 들려주는 그녀만의 행복 스토리!"
20210680,타실리냐 (TARSILINHA),애니메이션,장편 | 일반영화 | 애니메이션 | 91분 0초 | 브라질,해당정보없음,2020년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"타실리냐(TARSILINHA)는 엄마의 기억을 살리기 위해 여행을 떠나는 8살 소녀의 이야기이다. 엄마의 기억을 살리는 유일한 방법은 엄마가 기억상자에 보관하다 도난당한 유품과 특별한 물건을 찾는 것. 이 물건들은 환상적인 생명체들로 가득 찬 이상한 세계에서 캐터필러가 가져갔다. 타실리냐는 낯선 세상을 헤쳐나가면서 두려움을 극복하고 적과 맞닥뜨리며, 어머니의 유품을 가지고 안전하게 집으로 돌아갈 수 있도록 도와줄 친구들을 사귀고, 어머니의 기억을 회복한다."
