code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
20195716,트윈스 (The Twins),공포(호러)(1),"장편 | 일반영화 | 공포(호러), 스릴러 | 97분 39초 | 베트남",해당정보없음,2016년,트란 토안,,https://www.kobis.or.kr/common/mast/movie/2019/08/thumb_x192/thn_0ca0647943264af2b35e52b9feac66c3.jpg,"메이 한은 임신 중에 낙태를 하고 이후에 악몽에 시달린다.
그러다 심령 탐정 사무실을 찾게 되고, 두이 안에게 의뢰를 한다.

한편, 쌍둥이의 한 아이만 실종되는 사건이 벌어진다.

린 단은 두이 안을 좋아하지만
죽은 쌍둥이 형의 애인이어서 서로 계속 엇갈린다.
린 단의 아버지 또한 쌍둥이었고, 엄마를 서로 좋아한 두 형제는 결국
돌이킬 수 없는 짓을 저지르고 마는데..."
20215841,트윈스베베 (I want to become mother),기타,장편 | 일반영화 | 기타 | 86분 34초 | 몽고,해당정보없음,2015년,,,https://www.kobis.or.kr/common/mast/movie/2021/01/thumb_x192/thn_78169f34ade54450948810fecd51e59a.jpg,"솔롱구는 오랫동안 아이를 원했지만 쉽사리 생기지 않아 부부간의 갈등으로까지 이어진 상태이다.
친구 오드코와 점쟁이까지 찾아가 아이를 갖게 해달라고 간청하지만 그들에게 남은 시간은 단 4일뿐.
점집에서 4일 안에 배우자와 밤을 보내야만 아이가 생길 것이라는 이야기를 듣게 된다.
하지만 솔롱구의 남편은 2주 동안 시골에 내려가 있기로 한 상황이었고
아이를 그토록 원하는 솔롱구를 위해 오드코는 신박한 제안을 하게 된다."
20202723,특경대 S.W.A.T (S.W.A.T.),액션(1),"장편 | 일반영화 | 액션, 범죄 | 110분 0초 | 홍콩",해당정보없음,2019년,딩성,,https://www.kobis.or.kr/common/mast/movie/2020/07/thumb_x192/thn_bf7b929c5f424da682e1b892b2abd983.jpg,"북경시 특경 남검돌격대 1팀과 2팀은 늘 티격태격하는 관계. 특경 훈련에서 2팀이 번번이 1팀에게 밀리는 바람에 2팀장 유랑은 대원들을 격려할 궁리로 바쁘다. 마약조직 체포를 위해 실전에 투입된 특경대원들은 클럽에서 뛰어난 실력을 발휘하고, 2팀은 실전 경험을 바탕으로 다음 훈련에서 1팀과 비슷한 성적을 올린다. 한편, 공안 마약팀이 신종 마약 ‘홍’ 제조공장의 위치를 알아내고 특경에 협조 요청이 들어온다. 늘 경쟁하던 1팀과 2팀은 한 조를 이루어 현장에 투입되는데…"
20228855,특공여전사 (Rescue),액션,장편 | 일반영화 | 액션 | 99분 45초 | 15세이상관람가 | 중국,2022-12-26,2019년,,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"T국의 국왕이 총리 관저에서 테러범에게 납치되고 경호를 맡고 있던 바이즈는 눈앞에서 국왕을 놓친다.
바이즈는 구출 작전을 위해 전우들을 소환하고 미녀 특공대는 국왕을 구출하기 위해 밀림으로 향한다.
구출 작전은 생각지도 못한 변수로 인해 난관에 빠지고 국왕 납치의 배후 세력이 점차 드러나는데..."
20202552,특공황비 (Princess the Secret Service Part 1),액션,장편 | 일반영화 | 액션 | 93분 1초 | 중국,해당정보없음,2018년,,장양,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"특공 여전사 류여연은 도둑맞은 국보 천기현옥을 되찾기 위해 악당들과 싸우다 정신을 잃고 미지의 세계로 순간이동을 하는데 도착한 곳은 고대의 중국. 여연은 그 곳에서 살아남기 위해 현대 물건과 혁신적인 생각으로 하루 하루를 버티면서 하루 빨리 천기현옥을 찾아 자신이 살던 현대로 돌아갈 방법을 궁리한다. 그러다 여연은 우연히 황권을 노리는 궁내 싸움에 말려들게 되는데... 황제의 병세가 악화되자 직계 태자인 우 태자와 악독한 황후의 아들 주 친왕이 계승자 자리를 놓고 다투게 된다. 황제의 자리를 노리는 자와 그 자리를 지키려는 자, 그리고 천기현옥의 행방을 쫓는 류여연, 이들의 고군분투가 시작된다."
20215106,특공황비2-무적의 적소검 (Princess the Secret Service Part 2),액션,장편 | 예술영화 | 액션 | 97분 6초 | 15세이상관람가 | 중국,2021-05-11,2017년,,장양,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"현대의 특공요원 류여연은 고대 세계에 와서 태자를 도와 황위를 되찾아 주었다. 그러나 사악한 신족은 다시금 힘을 되찾아 황권의 상징인 ‘적소검’을 탈취하고, 이를 마화(魔化)시켜 전 세계를 정복하려 한다. 류여연과 친구들은 여러 고난 끝에 ‘적소검’의 마화를 저지하고 사악한 세력의 음모를 다시 한번 쳐부수는데..."
20199267,특권 (THE PRIVILEGED),드라마(1),"장편 | 일반영화 | 드라마, 스릴러 | 78분 36초 | 캐나다",해당정보없음,2013년,리 워커,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"일류 기업의 유망한 젊은 변호사 리차드 헌터는 완벽한 미래를 계획했다. 그러나, 값비싼 고객과의 강력한 실수 때문에 모든 것이 위험에 처하게 되었다. 일자리를 구하기 위한 필사적인 시도로, 리차드와 그의 아내 타라는 선임 파트너인 프레스턴 웨스트우드의 오두막에서 주말을 보낸다. 리차드 부부는 카리스마 넘치는 그들의 사치스러운 생활 방식에 빠르게 매료되지만, 뭔가 불길한 것이 표면밑에 있다는 것이 분명했다. 파괴적인 폭력 행위가 그들이 웨스트우드 가문과 지역 가정 간의 혈투에서 볼모가 되었다는 것을 밝힌 후에, 리차드와 타라는 성공을 위해 무엇을 희생할 것인지 결정해야한다. 그들의 도덕, 결혼, 또는 삶을."
20148147,특명:돈가방을 찾아라 (BAD GIRL),액션(1),"장편 | 일반영화 | 액션, 드라마 | 80분 22초 | 청소년관람불가 | 일본",2014-03-20,2015년,야마가 타카유키,,https://www.kobis.or.kr/common/mast/movie/2019/03/thumb_x192/thn_968026f10cfa4873b9571fd533cd8b53.jpg,"집안 대대로 대도 가문 하마시마의 딸인 성적 매력이 철철 넘치는 유키는 많은 남자들도만나보며 보통 여자로 살고 싶어 아버지에게서 떠나려고 한다. 아버지 밑에서 일을 하는 아카이는 유키와 가장 친한 친구인 미카의 오빠로, 어릴 적 부모에게 버림받은 후 남매 둘이 힘들게 자라왔다.
그러나 미카가 심장병으로 심장을 이식받지 못 하면 죽을 수밖에 없는 상황이 되자 아카이는 동생의 수술비 마련을 위해 하마시마 밑에서 일을 해온 것이었다.
아카이는 유키의 아버지 하마시마에게 수술비를 빌리려고 하지만 하마시마는 냉정하게
거절을 하고 좌절에 빠진 아카이에게 범죄 설계자인 쓰도가 손을 내민다.
하마시마는 쓰도를 통해 중국 마피아와 일본 범죄조직의 마약 거래정보를 알게 되고는
마약 거래 현장을 덮치기로 계획한다. 그러나 인원이 부족하자 하마시마는 건달인
토라 형제를 끌어들여 일을 하려 하는데..."
20215931,특명: 스피드 레스큐 (Speed Rescue),액션(1),"장편 | 일반영화 | 액션, 전쟁 | 82분 2초 | 15세이상관람가 | 홍콩",2021-03-29,2020년,,왕해상,https://www.kobis.or.kr/common/mast/movie/2021/02/thumb_x192/thn_721b4f70fc224248b3a321ccc42f357e.jpg,"2021년 상반기를 장악할 초대형 밀리터리 액션 무비!
거대 범죄 조직 14D를 제패하라!

마약 밀매 조직 14D가 자신들을 방해하는 대부호를 납치하고 대규모 범죄 사건을 계획한다.
이를 저지하기 위해 특수부대 스워드팀이 투입되고 그들에게는 또 다른 전대미문 미션이 주어진다.

최악의 마약 범죄단 VS 지상 최고의 특수부대 스워드팀

3월, 숨 막히는 전투가 펼쳐진다!"
20078360,특별시 사람들 (Where Are You Going?),드라마,장편 | 예술영화 | 드라마 | 110분 0초 | 15세이상관람가 | 한국,해당정보없음,2007년,박철웅,,https://www.kobis.or.kr/upload/up_img/2011/04/thumb_x192/thn_mov_341J24_20110419184032_1.jpg,"하늘이 가장 높은 판자촌에 삼남이네 가족이 살고 있다. 서울 특별시 강남 한복판, 높이 솟은 타워팰리스 바로 옆에 무허가 집들이 즐비한 판자촌이 있다. 판자촌에는 힘든 막노동으로 가족을 생계를 꾸려가는 아버지와 전교 5등하는 모범생 둘째형 이남, 배시시 웃는 모습이 천사 같은 착한 누나 초롱과 거동이 불편한 할머니와 함께 사는 장난꾸러기 삼남이의 집이 있다. 듣는 이의 정신이 몽롱해질 만큼 아름다운 목소리로 노래 부르는 삼남이의 음악적 재능을 알아본 담임 선생님이 삼남이에게 노래 경연대회 출전을 권유하지만 아버지의 완고한 성격과 어려운 집안 형편 때문에 망설여진다. 하지만 삼남이는 남몰래 병을 팔아 산 멜로디언으로 열심히 연습하면서 점점 노래의 매력에 빠져든다. 그곳에는 힘겨울수록 간절해지는 꿈이 있다.어느 날 재개발 소문으로 동네가 술렁이기 시작할 무렵, 집 나갔던 사고 뭉치 첫째 형 ‘일남’이 불쑥 찾아온다. 판자촌 집을 팔면 큰 돈을 벌 수 있다는 ‘일남’과 집을 지키려는 ‘아버지’ 사이에 언성이 높아지고, 모범생이던 둘째 형 ‘이남’마저 밖으로 나돌기만 한다. 의심스러운 외부인들까지 등장한 후 ‘일남’은 상처 투성이가 되어 들어오고 ‘아버지’는 절도 의심을 받고 경찰서에 끌려가게 되는 등 사건이 끊이질 않는다. 동네도 집안도 소란스러워지는 와중에 4남매 집도 다른 사람의 손에 넘어갈 위기에 처하게 된다. 무슨 일이 벌어지는 건지 도통 알 수가 없는 ‘삼남’은 학교 대표로 ‘전국 어린이 노래 경연대회’에 나가서 부를 ‘아베마리아’ 연습에 여념이 없지만, 집을 빼앗기면 대회에도 나갈 수 없다는데…"
