code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
2023C302,포트리스2 : 스나이퍼 아이 (Fortress: Sniper's Eye),액션,장편 | 일반영화 | 액션 | 96분 58초 | 15세이상관람가 | 미국,2023-06-15,2022년,조쉬 스턴펠드,브루스 윌리스 | 제시 멧칼피,https://www.kobis.or.kr/common/mast/movie/2023/04/thumb_x192/thn_3e5b629ad03c46e0bb889df0b295c3f0.jpg,"끝나지 않은 전쟁
목숨을 건 복수가 시작된다!

포트리스 기지에 공격이 가해진 후 자신의 숙적 발자리를 처리한 로버트는 발자리의 아내 샤샤를 구출해 포트리스로 데려온다. 한편 폴의 여자친구 케이트의 어머니와 여동생도 포트리스를 방문하고, 어느 때보다도 평화로운 시간을 보낸다. 그러던 어느 날 정체를 알 수 없는 괴한들이 습격해오고, 로버트를 깜짝 놀라게 한 그들의 정체가 밝혀지는데…"
2023C947,핌프 (Pimp),범죄(1),"온라인전용 | 일반영화 | 범죄, 드라마 | 85분 37초 | 미국",해당정보없음,2018년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_bbf98b2a5a2847329b21d306e04230f6.jpg,"돌아가신 아버지의 뒤를 이어 매춘 사업을 운영하는 웬즈데이. 연인 니키와 함께하는 더 밝은 미래를 꿈꾸며 고군분투하지만 망가진 가정과 어긋난 사업, 그리고 자신의 욕망이 올가미처럼 점점 그녀의 목을 죄어온다."
20232078,풍재기시 (Where the Wind Blows),범죄(1),"장편 | 일반영화 | 범죄, 드라마 | 143분 32초 | 15세이상관람가 | 홍콩",2023-07-05,2022년,옹자광,양조위 | 곽부성,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_5686239773564c28bfe1ec1e0edc264f.jpg,"여기 홍콩에서는 힘 있는 놈이 최고죠

1960년대 영국령 홍콩, 삼합회와 경찰 조직을 장악해
비즈니스 제국을 설계하려는 엘리트 브레인 ‘남강’(양조위)은
신분 상승을 꿈꾸는 거침없는 행동파 ‘뇌락’(곽부성)을 만나게 된다.

머리 잘 쓰는 비리 경찰 ‘남강’과 들끓는 야망을 품은 ‘뇌락’은
홍콩 전역에서 힘 있는 경찰이자 파트너로 승승장구한다.

그들이 세운 제국이 몸집을 키울수록, ‘뇌락’의 욕망은 선을 넘고
‘남강’과 ‘뇌락’은 충돌이 잦아지다 급기야 서로에게 총구를 겨누게 되는데…

올여름, 범죄의 신세계가 열린다!"
20231589,파이어하트 (Fireheart),애니메이션(3),"장편 | 일반영화 | 애니메이션, 어드벤처, 코미디, 가족 | 92분 9초 | 전체관람가 | 프랑스",2023-06-28,2022년,시어도어 타이|로랑 제툰,엘리스 폴 | 뱅상 카셀,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_4cc80d90a4b84e3d85d76f12838b8020.jpg,"1932년 뉴욕, 브로드웨이 극장가를 노리는 연쇄 방화 사건 발생!

800명의 소방관이 실종되는 전대미문의 사건으로 혼란에 빠진 뉴욕의 ‘지미 시장’은
은퇴한 소방관 ‘숀’을 다시 불러 긴급 소방팀을 꾸린다.
어릴 때부터 아버지 ‘숀’처럼 멋진 소방관이 되고 싶은 꿈을 가진 ‘조지아’는
초보 소방관 ‘조’로 감쪽같이 변장해 긴급 소방팀에 몰래 합류하는 데 성공하는데…

방화범을 잡기 위한 소방 대작전 개시!
의욕은 충만! 실전 경험 전무!

과연 조지아와 초보 소방팀은 최악의 위기에 처한 뉴욕시를 구할 수 있을 것인가..!"
20232491,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라 (Pinkfong Sing-Along Movie3: Catch the Gingerbread Man),애니메이션,장편 | 일반영화 | 애니메이션 | 65분 14초 | 전체관람가 | 한국,2023-07-26,2023년,변희선,조경이(핑크퐁) | 이소은(호기) | 박요한(진저브레드맨) | 김새해(제니) | 장예나(아기상어),https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_6856a99594cd455da47364ec947f21f1.png,"“세상에서 가장 맛있는 아이스크림을 먹고 싶어!”

아기상어가 원하는 최고의 아이스크림을 위해
진저브레드맨을 잡아라!

맛있는 아이스크림을 향한 달콤바삭 추격전
핑크퐁 & 호기와 SING나게 떠나볼까?"
20231888,플래닛 (MIRA),SF(1),"장편 | 일반영화 | SF, 어드벤처 | 114분 56초 | 12세이상관람가 | 러시아",2023-07-05,2022년,드미트리 키셀레브,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_0a0a7d98a45941f1b21acd4a0bb4f03b.jpg,"‘우주정거장 미르’에서는 24시간 뒤 지나갈 소행성을 추적 중
운석 충돌 가능성을 말하지만 무시되고 만다.

한편 지구에서는 이러한 영문도 모른 채
지구를 비켜갈 화려한 유성우의 우주쇼를 볼 기대에 들떠 있다.

그 시각, 소행성 뒤편 사각 지대의 운석 파편들이
핵폭탄보다 10배 강력한 파워로 우주정거장을 파괴한 후 지구를 향해 나아가고
소행성에 강타당한 지구는 모든 건물과 도로가 붕괴되며 대재앙이 펼쳐지는데..."
20010036,파이란 (Failan),드라마,장편 | 일반영화 | 드라마 | 116분 0초 | 15세관람가 | 한국,2001년,개봉,송해성,최민식 | 장백지 | 김지영,https://www.kobis.or.kr/common/mast/movie/2021/10/thumb_x192/thn_cca6d7e2981e49f98424ae89e3742910.jpg,"어디에서도 인정받지 못하는 삼류 건달 ‘강재’는 막장 인생의 마지막 찬스로
평생 꿈인 배 한 척을 살 돈을 받고 보스 대신 감옥에 가기로 한다.
자수를 준비하던 그에게 뜬금없이 아내의 부고 소식이 전해지는데 그녀의 이름은 ‘파이란’.
돈 몇 푼 받고 위장 결혼을 해준 중국 여인이었다.
얼굴도 기억나지 않는 그녀의 마지막을 배웅하러 가는 길.
너무 늦게 전해진 ‘파이란’의 편지에는 ‘강재’에 대한 고마움과 그리움, 그리고 사랑이 적혀있다.
‘모두 친절하지만 강재 씨가 가장 친절합니다.
잊어버리지 않도록 보고 있는 사이에 강재 씨를 좋아하게 됐습니다.
당신의 아내로 죽는다는 것 괜찮습니까?’
세상은 날 삼류라 하고 이 여자는 날 사랑이라 한다"
20231971,플래시 (The Flash),액션,장편 | 일반영화 | 액션 | 143분 54초 | 12세이상관람가 | 미국,2023-06-14,2023년,안드레스 무시에티,에즈라 밀러 | 마이클 키튼,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_c9f3381f0e21432298cf04256bf47ce8.jpg,"시공간이 붕괴된 세계, 차원이 다른 히어로가 온다! 빛보다 빠른 스피드, 물체 투과, 전기 방출, 자체 회복, 천재적인 두뇌까지 갓벽한 능력을 자랑하지만 존재감은 제로, 저스티스 리그에서 궂은일을 도맡아 하는 히어로 ‘플래시’. 어느 날 자신에게 빛보다 빠른 속도로 달리면 시공간 이동 능력이 있음을 알게 된 그는 ‘브루스 웨인’의 만류를 무시한 채 끔찍한 상처로 얼룩진 과거를 바꾸기 위해 시간을 역행한다. 의도치 않은 장소에 불시착한 ‘플래시’는 멀티버스 세상 속 또 다른 자신과 맞닥뜨리고 메타 휴먼이 흔적도 없이 사라지고 모든 것이 뒤엉킨 세상과 마주하게 된다. ‘플래시’는 자신이 알던 모습과 전혀 달라진 나이 들고 은퇴한 ‘배트맨’과 크립톤 행성에서 온 ‘슈퍼걸’의 도움으로 외계의 침공으로부터 시간과 차원이 붕괴된 지구를 구하려 나서는데…"
20226540,프램 (Frem),다큐멘터리,"장편 | 일반영화 | 다큐멘터리 | 73분 46초 | 체코, 슬로바키아",해당정보없음,2019년,비에라 차카뇨바,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"기후 위기가 되돌릴 수 없는 지경에 이를 정도로 점점 더 긴급해지고 인공지능이 기하급수적으로 확장됨에 따라, FREM은 포스트 휴머니즘적이고 인간중심적인 사고의 현재 흐름에 대해 놀랍고 때로는 불편한 반응을 보인다. 독특하고 실험적인 다큐멘터리인 비에라 차카뇨바의 영화는 지구상에서 가장 아름답지만 극단적인 풍경들 중 하나인 남극해 연안의 킹 조지 섬에 대한 잊을 수 없는 그리고 미래주의적인 묘사를 제공한다."
20090860,포켓 몬스터 DP: 아르세우스 초극의 시공으로 (Pokemon: Arceus To The Conquering Of Space-Time),애니메이션(3),"장편 | 일반영화 | 애니메이션, 어드벤처, 판타지, 액션 | 94분 4초 | 전체관람가 | 일본",2009년,개봉,유야마 쿠니히코,오오타니 이쿠에,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_d2949354a8b54605b5083e07cb0a1f96.png,"미케나 마을에 도착한 지우와 피카츄.

갑자기 등장한 디아루가와 펄기아, 기라티나의 싸움으로
수천 년 전, 인간에게 배신 당해 잠들었던 아르세우스가 분노와 함께 깨어난다!

복수를 위해 아르세우스는 미케나 마을을 공격하고,
신전의 수호자 시나는 이를 막아보려 하지만
그의 강대한 분노 앞에 마을은 돌이킬 수 없는 위험에 빠진다.

“초극하라! 시공의 운명이여!”
지우와 피카츄 일행은 미래를 구하기 위해 시공간을 초월한 모험을 떠나고,
그곳에서 엄청난 비밀을 마주하는데…"
