code,title,genre,summering,first_day,production_year,movie_director,star_actor,img,synopsis
2023C926,헤어브레인드 (HairBrained ),코미디(1),"온라인전용 | 일반영화 | 코미디, 드라마 | 96분 50초 | 미국",해당정보없음,2013년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_c95385075a6b4bc3adf76c9d84715c35.jpg,"휘트먼 대학에 독특한 신입생이 두 명 들어왔다. 한 명은 13살의 천재 소년, 일라이 페티포그. 한 명은 40대의 늦깎이 학생 리오 설리다. 정반대의 두 학생, 대학교 퀴즈쇼로 하버드를 타도하려 하는데. 과연 휘트먼 대학에 우승의 영광을 가져올 수 있을까?"
20231895,하나님의 마음 (His Only Son),드라마,장편 | 일반영화 | 드라마 | 102분 15초 | 12세이상관람가 | 미국,2023-06-28,2023년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_f2c3885731a9421da091491259bb03cb.jpg,"“왜 하필 하나님께서는 외아들을 번제로 바치라고 하셨을까?”

어느 날 밤, 하나님이 아브라함을 찾아와 모리아 땅으로 가서 외아들 이삭을 번제로 바치라고 명령하신다.
아브라함은 다음 날 아내 사라를 뒤로 한 채 이삭과 3일간의 험난한 여정을 시작한다.
“왜 하필 100살에 낳은 아들 이삭을 제물로 바치라고 하시는 걸까?”
“왜 하필 3일이나 가야 하는 모리아에서 제사를 드리라고 하시는 걸까?”
탄식으로 가득한 질문은 여정 내내 계속되지만 마침내 예루살렘 모리아 산에서 그 해답을 찾게 되는데.."
20232568,하얀봄,공연,장편 | 일반영화 | 공연 | 98분 52초 | 15세이상관람가 | 한국,2023-07-05,2023년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_6859022954884aef92c993253d2ed8c0.png,"90년대 초, 거리를 걸으면 ‘학원자주’를 외치는 목소리와 서태지의 ‘난 알아요’가 함께 뒤섞여 흐르던 시대. 가장 친밀하면서도 때로는 서로를 전혀 이해할 수 없는 두 친구가 있다. 수연과 정운은 연애 이야기를 함게 고민하고 나누기도, 함께 고인돌을 보러가기도, 함께 가두 시위에 참여하기도 한다. 그렇게 늘 함께였던 두 사람은 시간이 흘러 각자 다른 삶의 길을 가게 되고, 30년이 지난 후 우연히 거리에서 다시 마주친다. 그 때 그들이 나누었던 것은 무엇이었을까? 질풍노도의 시기를 함께 보냈던 이들은 무엇을 같이 꿈꾸었고 무엇이 서로 달랐을까."
19960060,학생부군신위 (Farewell My Darling),드라마,장편 | 일반영화 | 드라마 | 118분 0초 | 고등학생이상관람가 | 한국,1996-03-01,1996년,박철수,방은진 | 최성(아버지) | 권성덕 | 김보라나 | 문정숙 | 박철수 | 주진모(찬길) | 송옥숙(고 마담),https://www.kobis.or.kr/upload/up_img/cleansing/x00/00/08/thumb_x192/thn_mov_19960060_32280.jpg,"시골노인 박씨가 죽자 영화감독인 큰아들 찬우, 카페를 경영하는 골칫덩어리 딸 미선은 서둘러 고향으로 돌아오고 미국에 사는 셋째아들 찬세도 귀국한다. 적막한 시골엔 장례식 준비하느라 갑자기 분주해지면서, 초상집은 동네 사람들이 모여들며 소식을 묻고 옛 사람을 만나는 만남의 장이 된다. 자식들은 부친의 죽음을 애석해 하며 대성통곡하는데, 그 중에서도 부모 속을 썩이던 미선이 제일 가슴 아파하며 울음을 그치지 않는다. 상주인 찬우는 자기의 직업대로 부친의 죽음을 한편의 파노라마로 인식하고, 찬세는 신앙에 따라 유교식 장례절차가 진행되는 가운데 찬송가를 소리 높여 부른다. 게다가 박노인의 여동생은 보험 세일을 하며 장례식은 점차 죽인 자보다 산자의 몫으로 남는다."
20225884,하숙집오!번지 (Oh! Boarding House),멜로/로맨스,장편 | 일반영화 | 멜로/로맨스 | 101분 42초 | 12세이상관람가 | 한국,해당정보없음,2022년,박은주,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_ede7b2841ce14049817baa28a9316751.jpg,오번지 하숙집에 모여 사는 남자들의 연애 이야기를 다룬 영화
20227626,화란 (Hopeless),드라마,장편 | 일반영화 | 드라마 | 한국,2023,2022년,김창훈,홍사빈 | 송중기 | 김형서,https://www.kobis.or.kr/common/mast/movie/2023/05/thumb_x192/thn_819a8c8bc9b641e281040274df709cd2.jpg,지옥 같은 현실에서 벗어나고 싶은 소년 ‘연규’가 조직의 중간 보스 ‘치건’을 만나 위태로운 세계에 함께 하게 되며 펼쳐지는 이야기
20232319,해피메리엔딩 (HappyMerryEnding),멜로/로맨스(1),"장편 | 일반영화 | 멜로/로맨스, 드라마 | 107분 47초 | 12세이상관람가 | 한국",해당정보없음,2023년,민채연,이동원(승준) | 신명성(호연) | 성태(재현),https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_ba1fd49057d34ef99fc279b26f42a115.jpg,"방어력 만렙 결혼식 축가자 ‘승준’과 공격력 만렙 결혼식 반주자 ‘재현’이 만나
과거의 아픔을 위로하고 스며들어 서로의 멜로디가 되어주는 뮤직 로맨스 드라마

결혼식 축가 아르바이트를 하는 ‘승준’은 반주자 아르바이트를 대신하러 온 ‘재현’을 만난다.
승준은 공황장애가 있어 선글라스 없이는 사람들 앞에서 노래도 못 부르지만, 재현의 성화에 못 이겨 처음으로 회식자리에 나가게 된다.
그날 밤 술에 취한 승준은 재현에게 실수를 하게 되고, 그 대가로 재현에게 보컬 레슨을 해주게 된다.
한편, 과거 승준에게 트라우마를 줬던 소속사 사장 '주원'은 연습생 '찬우'를 빌미로 승준에게 불쑥불쑥 나타나며 그를 괴롭게 하는데.
승준은 트라우마를 극복하고 재현과의 관계를 이어나갈 수 있을까?"
2023C764,황비홍vs소걸아 (Kungfu Master Su: Red Lotus),액션,온라인전용 | 일반영화 | 액션 | 78분 38초 | 중국,해당정보없음,2022년,,,https://www.kobis.or.kr/common/mast/movie/2023/06/thumb_x192/thn_37e834d25e6f4e449e11138d0ed3d5c3.jpg,"영웅들의 전쟁이 시작된다!

세상을 어지럽히는 화련교에 맞서
불산 황비홍과 무장원 소걸아가 힘을 합치지만
왕야의 계략에 둘은 최강의 자리를 건 승부를 벌인다."
19990053,해피엔드 (Happy End),멜로/로맨스(1),"장편 | 일반영화 | 멜로/로맨스, 스릴러 | 99분 0초 | 18세관람가 | 한국",1999-12-11,1999년,정지우,최민식(서민기) | 전도연(최보라) | 주진모(김일범),https://www.kobis.or.kr/common/mast/movie/2011/12/thumb_x192/thn_4f921d9348ea4fe683547a27be60ba72.jpg,"남편 서민기. 은행에서 6년간 근무하다 실직한 지 3개월이 된 서민기는 실직 상태의 불안감을 떨치지 못하면서도 새삼스레 맛보는 일상의 한가로움을 즐기고 있다. 그의 그런 생활이 가능한 것은 성공한 커리어우먼인 아내 최보라 덕분. 바쁜 아내 대신 딸 서연을 돌보면서 공원에서 소설도 읽고, 요리책을 펴놓고 음식을 만들고, 분리수거 요령도 터득해가는 서민기. 아내 최보라. 그의 아내 최보라는 대학시절 애인이었으나 군입대로 헤어졌던 김일범과 우연히 재회한 후 남편 몰래 그와 상습적인 만남을 거듭하고 있다. 그녀는 5개월된 딸과 믿음직했던 남편을 여전히 소중하게 생각하지만, 김일범의 한결같은 사랑에 감동하거나 그와의 만남에서 빛나는 젊음의 기억을 떠올리는 것에서도 행복을 느낀다. 그러던 어느날 서민기가 아내의 불륜을 눈치채게 되고, 얼마 지나지 않아 그들의 밀회장소인 김일범의 오피스텔까지 알아내게 되면서 그들 세 사람의 서로 다른 욕망이 팽팽한 긴장을 일으키기 시작한다. 서민기는 아내에 대한 배반감과 상실감에 괴로워하면서도 아내에겐 내색하지 않은채 고통의 시간을 보내고, 자신에 대한 김일범의 집착이 점점 강해져 가는 것을 느끼고 심란해진 최보라는 마침내 김일범과의 관계를 정리하려고 결심하는데... 서로 다른 해피 엔딩을 꿈꾸는 사람들...그들의 애정, 집착, 살의의 삼각관계는 예상치 못한 엔딩을 향해 치닫는다."
20144528,항구의 일본 소녀들 (Japanese Girls at the Harbor),드라마,장편 | 일반영화 | 드라마 | 72분 0초 | 일본,해당정보없음,1933년,시미즈 히로시,,https://www.kobis.or.kr/kobis/web/comm/images/noimage289.jpg,"항구 도시 요코하마의 카톨릭 학교를 다니는 스나코는 자신의 가장 친한 친구 도라가 사랑하는 헨리를 가로채자 질투에 휩싸여 그녀를 죽이려 하다 실패하고 만다. 이후 게이샤가 된 그녀는 우연히 결혼한 헨리와 도라를 만나게 되고, 세 사람은 다시 질투와 애증의 관계에 빠진다. 전형적인 삼각관계를 그린 멜로드라마이나 현지 로케이션 촬영으로 연출되어 시미즈 히로시 감독의 독특한 스타일을 엿볼 수 있는 작품이다."
